TM;Category;unknown;Quantity
2010-05-30T00:01:00.0000000;Delta;6.341077446E+17;826
2019-08-30T00:01:00.0000000;Theta;6.37027E+017;0
2014-05-13T00:01:00.0000000;Theta;6.353553606E+17;832
2012-11-15T00:01:00.0000000;Epsilon;6.34885E+017;174
2018-10-06T00:01:00.0000000;Xi;636743808600000000;142
2014-07-27T00:01:00.0000000;Delta;6.354201606E+17;736
2010-03-09T00:01:00.0000000;Mu;634036896600000000;519
2014-10-24T00:01:00.0000000;Eta;6.354970566E+17;315
2013-08-07T00:02:00.0000000;Lambda;635,114,305,200,000,000.00000000;958
2010-07-02T00:01:00.0000000;Rho;6.341362566E+17;84
2013-04-23T00:01:00.0000000;Delta;635022720600000000;459
2017-06-07T00:01:00.0000000;Rho;6.36324E+017;613
2011-01-06T00:02:00.0000000;Kappa;634,298,689,200,000,000.00000000;462
2019-07-31T00:01:00.0000000;Omicron;6.370012806E+17;951
2013-02-18T00:02:00.0000000;Rho;6.349674252E+17;770
2010-09-26T00:01:00.0000000;Sigma;6.34211E+017;494
2013-07-11T00:01:00.0000000;Tau;6.350909766E+17;144
2015-04-16T00:01:00.0000000;Chi;635647392600000000;556
2014-11-29T00:01:00.0000000;Zeta;6.355281606E+17;744
2018-03-14T00:01:00.0000000;Omega;636565824600000000;133
2019-03-09T00:01:00.0000000;Zeta;6.368768646E+17;988
2016-03-26T00:01:00.0000000;Upsilon;635945472600000000;168
2017-08-24T00:01:00.0000000;Sigma;6.363912966E+17;89
2014-01-05T00:01:00.0000000;Phi;6.35245E+017;91
2018-11-05T00:01:00.0000000;Omega;636769728600000000;956
2013-06-06T00:02:00.0000000;Pi;6.350607372E+17;809
2018-10-18T00:02:00.0000000;Sigma;636754177200000000;147
2018-04-19T00:01:00.0000000;Psi;636596928600000000;0
2012-09-30T00:01:00.0000000;Nu;634845600600000000;579
2012-12-26T00:02:00.0000000;Alpha;6.349207692E+17;958
2013-02-06T00:01:00.0000000;Chi;634,957,056,600,000,000.00000000;581
2019-02-05T00:01:00.0000000;Omega;636,849,216,600,000,000.00000000;459
2011-11-08T00:01:00.0000000;Zeta;634563072600000000;60
2014-02-16T00:02:00.0000000;Phi;6.352810572E+17;106
2011-11-02T00:01:00.0000000;Alpha;6.345578886E+17;570
2010-06-12T00:02:00.0000000;Xi;6.341189772E+17;499
2015-02-27T00:01:00.0000000;Xi;6.356059206E+17;225
2016-10-26T00:02:00.0000000;Omega;636,130,369,200,000,000.00000000;433
2013-03-13T00:01:00.0000000;Omega;634987296600000000;415
2018-08-10T00:01:00.0000000;Mu;636,694,560,600,000,000.00000000;817
2015-08-29T00:02:00.0000000;Upsilon;6.357640332E+17;728
2015-08-31T00:01:00.0000000;Gamma;6.357657606E+17;294
2016-09-05T00:01:00.0000000;Alpha;636086304600000000;706
2013-01-30T00:01:00.0000000;Sigma;6.349510086E+17;282
2019-08-08T00:01:00.0000000;Tau;637,008,192,600,000,000.00000000;435
