TM;Category;unknown;Quantity
2019-12-04T00:01:00.0000000;Psi;6.371101446E+17;879
2017-04-16T00:01:00.0000000;Xi;6.362789766E+17;720
2019-10-12T00:02:00.0000000;Chi;6.370643532E+17;294
2015-06-03T00:01:00.0000000;Zeta;635688864600000000;654
2016-02-17T00:02:00.0000000;Rho;635912641200000000;638
2013-04-04T00:01:00.0000000;Iota;635006304600000000;218
2019-11-29T00:01:00.0000000;Alpha;6.37106E+017;820
2019-03-06T00:01:00.0000000;Beta;6.368742726E+17;30
2019-01-21T00:01:00.0000000;Sigma;636836256600000000;420
2010-10-18T00:01:00.0000000;Xi;6.342295686E+17;80
2010-02-02T00:01:00.0000000;Nu;634006656600000000;357
2012-05-14T00:01:00.0000000;Upsilon;634725504600000000;79
2015-01-20T00:01:00.0000000;Beta;6.35573E+017;479
2012-04-01T00:01:00.0000000;Upsilon;634688352600000000;271
2019-02-27T00:01:00.0000000;Mu;636868224600000000;515
2012-02-13T00:01:00.0000000;Upsilon;634646880600000000;587
2012-08-15T00:01:00.0000000;Nu;6.34806E+017;432
2013-08-23T00:01:00.0000000;Phi;635128128600000000;790
2013-04-28T00:01:00.0000000;Zeta;6.350270406E+17;183
2010-07-27T00:01:00.0000000;Xi;634157856600000000;300
2014-07-15T00:01:00.0000000;Delta;635409792600000000;272
2018-12-18T00:02:00.0000000;Mu;6.36807E+017;360
2014-08-08T00:01:00.0000000;Gamma;635430528600000000;592
2013-10-15T00:01:00.0000000;Kappa;635173920600000000;509
2018-04-11T00:01:00.0000000;Psi;6.36590E+017;324
2012-03-09T00:01:00.0000000;Delta;6.346684806E+17;156
2019-12-31T00:01:00.0000000;Zeta;637133472600000000;881
2017-12-06T00:02:00.0000000;Mu;6.364811532E+17;857
2016-12-10T00:02:00.0000000;Phi;6.361692492E+17;37
2017-07-30T00:01:00.0000000;Iota;6.36370E+017;376
2011-09-14T00:01:00.0000000;Nu;634515552600000000;158
2015-10-29T00:01:00.0000000;Eta;635,816,736,600,000,000.00000000;932
2015-05-28T00:01:00.0000000;Epsilon;6.356836806E+17;202
2016-11-14T00:01:00.0000000;Upsilon;636,146,784,600,000,000.00000000;824
2010-12-19T00:01:00.0000000;Xi;634283136600000000;275
2015-03-09T00:01:00.0000000;Delta;635,614,560,600,000,000.00000000;389
2019-01-22T00:02:00.0000000;Beta;636837121200000000;796
2015-03-15T00:02:00.0000000;Iota;6.35620E+017;921
2019-05-30T00:02:00.0000000;Theta;6.36948E+017;700
2010-01-03T00:01:00.0000000;Lambda;6.339807366E+17;351
2016-09-02T00:01:00.0000000;Tau;636,083,712,600,000,000.00000000;794
2011-07-08T00:01:00.0000000;Upsilon;634,456,800,600,000,000.00000000;661
2010-07-24T00:02:00.0000000;Chi;634155265200000000;405
2017-06-10T00:01:00.0000000;Omicron;6.363264966E+17;725
2016-11-18T00:01:00.0000000;Pi;636150240600000000;41
2015-01-30T00:03:00.0000000;Epsilon;635,581,729,800,000,000.00000000;687
2016-03-27T00:01:00.0000000;Lambda;635946336600000000;905
2012-04-02T00:01:00.0000000;Delta;634689216600000000;2
2019-02-11T00:01:00.0000000;Delta;6.36854E+017;855
2010-12-16T00:01:00.0000000;Omega;6.342805446E+17;218
2019-10-03T00:02:00.0000000;Mu;637056577200000000;583
2015-01-20T00:01:00.0000000;Nu;6.35573E+017;819
2018-02-04T00:02:00.0000000;Chi;636532993200000000;329
2017-04-30T00:02:00.0000000;Kappa;6.36291E+017;617
2018-10-22T00:01:00.0000000;Pi;636,757,632,600,000,000.00000000;816
2012-08-16T00:02:00.0000000;Eta;6.34807E+017;387
2016-06-23T00:02:00.0000000;Phi;636022369200000000;970
2015-04-29T00:02:00.0000000;Upsilon;635658625200000000;158
2011-10-07T00:02:00.0000000;Omicron;634,535,425,200,000,000.00000000;205
2018-07-30T00:01:00.0000000;Gamma;6.366850566E+17;776
2011-06-27T00:01:00.0000000;Psi;6.34447E+017;674
2017-06-19T00:02:00.0000000;Tau;636,334,273,200,000,000.00000000;955
2010-10-13T00:02:00.0000000;Alpha;634225249200000000;958
2010-05-22T00:01:00.0000000;Mu;634100832600000000;920
2011-06-08T00:02:00.0000000;Mu;6.34431E+017;103
2017-01-29T00:02:00.0000000;Epsilon;6.36212E+017;91
2013-09-21T00:02:00.0000000;Rho;6.351531852E+17;829
2015-04-19T00:03:00.0000000;Kappa;6.35650E+017;550
2017-11-23T00:01:00.0000000;Omicron;6.364699206E+17;763
2017-12-06T00:02:00.0000000;Psi;6.364811532E+17;843
2011-12-31T00:01:00.0000000;Tau;6.346088646E+17;747
2010-06-30T00:01:00.0000000;Sigma;6.34135E+017;122
2019-06-03T00:01:00.0000000;Alpha;6.369511686E+17;50
