TM;Category;unknown;Quantity
2012-10-06T00:01:00.0000000;Mu;634850784600000000;43
2017-10-23T00:01:00.0000000;Alpha;636,443,136,600,000,000.00000000;910
2011-12-05T00:01:00.0000000;Nu;6.34586E+017;545
2018-06-07T00:01:00.0000000;Theta;6.366392646E+17;429
2019-03-21T00:01:00.0000000;Xi;6.36887E+017;969
2015-07-01T00:01:00.0000000;Eta;6.35713E+017;54
2012-09-15T00:01:00.0000000;Phi;634,832,640,600,000,000.00000000;252
2017-12-08T00:01:00.0000000;Psi;6.364828806E+17;576
2013-02-01T00:02:00.0000000;Tau;6.349527372E+17;8
2017-12-04T00:01:00.0000000;Psi;6.36479E+017;576
2015-03-26T00:01:00.0000000;Gamma;635,629,248,600,000,000.00000000;34
2018-08-04T00:01:00.0000000;Delta;6.366893766E+17;801
2019-03-26T00:01:00.0000000;Lambda;6.368915526E+17;868
2012-03-15T00:02:00.0000000;Nu;634673665200000000;781
2013-01-20T00:01:00.0000000;Xi;634,942,368,600,000,000.00000000;261
2010-03-03T00:01:00.0000000;Upsilon;634031712600000000;343
2011-04-24T00:01:00.0000000;Tau;634392000600000000;72
2014-12-11T00:01:00.0000000;Zeta;635538528600000000;498
2017-10-11T00:02:00.0000000;Psi;6.36433E+017;530
2018-12-06T00:02:00.0000000;Nu;6.367965132E+17;803
2010-03-20T00:02:00.0000000;Theta;634046401200000000;693
2011-09-28T00:01:00.0000000;Rho;6.345276486E+17;255
2013-09-17T00:01:00.0000000;Epsilon;6.35150E+017;918
2013-11-02T00:01:00.0000000;Theta;635189472600000000;460
2018-08-13T00:01:00.0000000;Delta;636697152600000000;225
2010-10-31T00:01:00.0000000;Sigma;634240800600000000;363
2014-06-27T00:01:00.0000000;Psi;635,394,240,600,000,000.00000000;880
2015-10-16T00:01:00.0000000;Tau;635805504600000000;183
2012-03-23T00:01:00.0000000;Pi;6.34681E+017;421
2014-10-01T00:01:00.0000000;Sigma;635477184600000000;963
2010-07-07T00:01:00.0000000;Pi;634140576600000000;499
2019-03-31T00:01:00.0000000;Sigma;636895872600000000;255
