TM;Category;unknown;Quantity
2012-09-18T00:01:00.0000000;Delta;634835232600000000;185
2015-09-07T00:01:00.0000000;Psi;635,771,808,600,000,000.00000000;879
2014-08-06T00:01:00.0000000;Chi;635428800600000000;21
2012-01-18T00:01:00.0000000;Nu;6.346244166E+17;354
2018-10-25T00:01:00.0000000;Gamma;636760224600000000;660
2010-04-09T00:01:00.0000000;Lambda;634063680600000000;757
2014-04-06T00:01:00.0000000;Epsilon;6.35323E+017;776
2012-09-23T00:01:00.0000000;Rho;6.348395526E+17;616
2012-03-31T00:01:00.0000000;Delta;6.346874886E+17;979
2019-05-18T00:01:00.0000000;Omega;6.369373446E+17;179
2011-02-16T00:01:00.0000000;Epsilon;634334112600000000;48
2016-10-03T00:01:00.0000000;Zeta;6.361104966E+17;174
2015-03-28T00:01:00.0000000;Rho;635,630,976,600,000,000.00000000;805
2018-01-02T00:01:00.0000000;Lambda;636504480600000000;826
2018-01-28T00:01:00.0000000;Xi;6.36527E+017;89
2015-03-09T00:01:00.0000000;Chi;635,614,560,600,000,000.00000000;162
2019-03-21T00:01:00.0000000;Mu;6.36887E+017;855
2017-09-28T00:01:00.0000000;Kappa;6.364215366E+17;556
2012-03-28T00:01:00.0000000;Sigma;6.346848966E+17;876
2012-04-18T00:01:00.0000000;Lambda;6.347030406E+17;488
2014-10-06T00:01:00.0000000;Omicron;6.354815046E+17;850
2018-06-03T00:01:00.0000000;Mu;6.36636E+017;316
2010-02-07T00:01:00.0000000;Delta;6.340109766E+17;927
2018-06-26T00:01:00.0000000;Gamma;6.366556806E+17;239
2010-07-09T00:01:00.0000000;Iota;634142304600000000;508
2011-02-27T00:01:00.0000000;Upsilon;634343616600000000;264
2013-07-17T00:01:00.0000000;Tau;635096160600000000;13
2018-02-27T00:01:00.0000000;Epsilon;636,552,864,600,000,000.00000000;273
2018-12-28T00:01:00.0000000;Kappa;636815520600000000;139
2010-02-09T00:01:00.0000000;Epsilon;6.340127046E+17;311
2011-04-19T00:01:00.0000000;Xi;6.343876806E+17;762
2010-09-26T00:01:00.0000000;Phi;6.34211E+017;258
2011-01-11T00:01:00.0000000;Iota;634303008600000000;531
2019-08-14T00:01:00.0000000;Lambda;6.37013E+017;5
2015-09-15T00:02:00.0000000;Mu;6.357787212E+17;791
