TM;Category;unknown;Quantity
2018-07-17T00:01:00.0000000;Nu;6.366738246E+17;193
2019-09-07T00:01:00.0000000;Chi;6.370341126E+17;176
2012-01-18T00:01:00.0000000;Phi;6.346244166E+17;705
2014-08-31T00:01:00.0000000;Gamma;6.354504006E+17;805
2014-03-21T00:01:00.0000000;Kappa;6.353095686E+17;854
2010-09-03T00:01:00.0000000;Alpha;634,190,688,600,000,000.00000000;640
2012-11-20T00:01:00.0000000;Kappa;6.348896646E+17;678
2013-08-15T00:01:00.0000000;Pi;6.351212166E+17;861
2012-02-05T00:01:00.0000000;Upsilon;6.346399686E+17;153
2014-06-29T00:01:00.0000000;Phi;635,395,968,600,000,000.00000000;13
2012-01-05T00:01:00.0000000;Eta;634,613,184,600,000,000.00000000;378
2010-10-02T00:01:00.0000000;Chi;6.342157446E+17;902
2012-09-09T00:02:00.0000000;Epsilon;6.348274572E+17;354
2018-06-03T00:01:00.0000000;Phi;6.36636E+017;6
2014-09-15T00:01:00.0000000;Theta;6.35463E+017;636
2013-05-06T00:01:00.0000000;Tau;635033952600000000;538
2016-12-01T00:01:00.0000000;Theta;636,161,472,600,000,000.00000000;108
2011-12-20T00:01:00.0000000;Beta;634599360600000000;892
2010-01-04T00:01:00.0000000;Pi;6.339816006E+17;305
2018-08-18T00:02:00.0000000;Theta;6.367014732E+17;679
2017-04-09T00:01:00.0000000;Rho;636272928600000000;402
2017-11-07T00:02:00.0000000;Zeta;636456097200000000;496
2016-08-19T00:01:00.0000000;Delta;636071616600000000;315
2010-09-08T00:01:00.0000000;Zeta;6.34195E+017;3
2010-01-30T00:01:00.0000000;Eta;634,004,064,600,000,000.00000000;896
2019-04-25T00:01:00.0000000;Lambda;6.36917E+017;282
2016-10-02T00:01:00.0000000;Gamma;6.361096326E+17;148
2013-10-05T00:02:00.0000000;Upsilon;6.35165E+017;885
2014-10-27T00:02:00.0000000;Lambda;6.354996492E+17;921
2015-09-28T00:01:00.0000000;Eta;635789952600000000;96
2012-09-04T00:01:00.0000000;Psi;6.348231366E+17;577
2013-11-14T00:01:00.0000000;Upsilon;6.351998406E+17;267
2017-12-28T00:02:00.0000000;Lambda;6.365001612E+17;41
2014-06-14T00:01:00.0000000;Iota;635383008600000000;295
2019-06-28T00:01:00.0000000;Lambda;636972768600000000;159
2019-07-23T00:01:00.0000000;Xi;636994368600000000;383
2014-09-28T00:01:00.0000000;Upsilon;635,474,592,600,000,000.00000000;668
2018-01-04T00:01:00.0000000;Upsilon;636,506,208,600,000,000.00000000;369
2019-02-19T00:01:00.0000000;Rho;6.368613126E+17;767
2012-04-19T00:01:00.0000000;Nu;634703904600000000;320
2010-08-20T00:01:00.0000000;Lambda;634178592600000000;132
2014-03-17T00:01:00.0000000;Mu;6.35306E+017;519
2016-08-28T00:01:00.0000000;Kappa;6.360793926E+17;322
2012-11-23T00:02:00.0000000;Sigma;634892257200000000;823
2011-02-14T00:01:00.0000000;Theta;634,332,384,600,000,000.00000000;788
2016-03-20T00:01:00.0000000;Omicron;635940288600000000;826
2012-03-02T00:02:00.0000000;Pi;634662433200000000;786
2010-05-24T00:01:00.0000000;Theta;6.34103E+017;646
2012-03-31T00:01:00.0000000;Rho;6.346874886E+17;29
2013-04-07T00:01:00.0000000;Theta;6.35009E+017;516
2012-03-17T00:02:00.0000000;Xi;634,675,393,200,000,000.00000000;785
2013-09-04T00:01:00.0000000;Phi;6.351384966E+17;652
2011-11-06T00:01:00.0000000;Omicron;6.345613446E+17;292
2016-02-22T00:01:00.0000000;Gamma;6.35917E+017;438
2018-01-27T00:02:00.0000000;Theta;6.36526E+017;614
2016-02-16T00:02:00.0000000;Eta;635,911,777,200,000,000.00000000;744
2014-03-19T00:01:00.0000000;Nu;6.35308E+017;752
2015-07-25T00:02:00.0000000;Gamma;6.357337932E+17;152
2013-05-30T00:02:00.0000000;Iota;6.35055E+017;691
2014-04-02T00:01:00.0000000;Tau;635319936600000000;620
2010-02-03T00:02:00.0000000;Delta;6.34008E+017;411
2010-12-11T00:01:00.0000000;Xi;6.342762246E+17;70
2012-01-27T00:01:00.0000000;Mu;634632192600000000;34
2013-12-10T00:01:00.0000000;Nu;635,222,304,600,000,000.00000000;443
2012-05-04T00:01:00.0000000;Omega;6.347168646E+17;757
2012-12-24T00:02:00.0000000;Tau;6.349190412E+17;570
2018-04-10T00:01:00.0000000;Alpha;6.36589E+017;857
