TM;Category;unknown;Quantity
2014-12-10T00:01:00.0000000;Chi;635537664600000000;306
2011-03-09T00:01:00.0000000;Delta;6.34352E+017;855
2015-09-01T00:02:00.0000000;Rho;635766625200000000;691
2011-01-16T00:01:00.0000000;Sigma;6.343073286E+17;739
2019-08-02T00:01:00.0000000;Kappa;637003008600000000;378
2019-02-14T00:01:00.0000000;Zeta;6.368569926E+17;284
2016-04-18T00:01:00.0000000;Sigma;6.359653446E+17;377
2019-01-05T00:01:00.0000000;Iota;636822432600000000;816
2016-01-09T00:01:00.0000000;Iota;635878944600000000;200
2019-07-06T00:01:00.0000000;Xi;6.36980E+017;525
2018-11-09T00:01:00.0000000;Beta;636,773,184,600,000,000.00000000;7
2019-08-04T00:01:00.0000000;Epsilon;637004736600000000;359
2011-06-22T00:01:00.0000000;Phi;634442976600000000;728
2010-12-16T00:01:00.0000000;Mu;6.342805446E+17;2
2017-05-26T00:01:00.0000000;Rho;6.363135366E+17;605
2017-08-09T00:01:00.0000000;Epsilon;636378336600000000;360
2013-11-21T00:01:00.0000000;Upsilon;635205888600000000;349
2018-09-02T00:01:00.0000000;Pi;6.36714E+017;583
2018-04-21T00:01:00.0000000;Upsilon;636598656600000000;26
2015-11-07T00:02:00.0000000;Zeta;6.358245132E+17;423
2017-08-30T00:01:00.0000000;Theta;636,396,480,600,000,000.00000000;753
2015-06-26T00:01:00.0000000;Beta;635,708,736,600,000,000.00000000;235
2019-06-09T00:02:00.0000000;Mu;636956353200000000;124
2019-02-05T00:01:00.0000000;Gamma;636,849,216,600,000,000.00000000;128
2019-11-22T00:01:00.0000000;Omicron;637,099,776,600,000,000.00000000;756
2011-04-20T00:01:00.0000000;Gamma;6.343885446E+17;839
2012-02-23T00:01:00.0000000;Iota;6.346555206E+17;238
2011-06-03T00:01:00.0000000;Nu;634,426,560,600,000,000.00000000;72
2017-03-31T00:02:00.0000000;Omicron;6.362651532E+17;173
2011-11-06T00:02:00.0000000;Psi;6.345613452E+17;597
2013-06-22T00:03:00.0000000;Psi;6.350745618E+17;338
2011-06-24T00:01:00.0000000;Nu;634444704600000000;915
2013-03-21T00:01:00.0000000;Rho;6.34994E+017;970
2012-05-17T00:01:00.0000000;Sigma;6.34728E+017;310
2012-08-21T00:03:00.0000000;Psi;6.348110418E+17;428
2011-01-16T00:01:00.0000000;Phi;6.343073286E+17;581
2011-08-17T00:01:00.0000000;Lambda;634491360600000000;823
2015-03-13T00:02:00.0000000;Nu;6.35618E+017;529
2014-09-05T00:01:00.0000000;Lambda;635454720600000000;352
2016-02-21T00:01:00.0000000;Phi;6.35916E+017;973
2019-02-15T00:01:00.0000000;Upsilon;6.368578566E+17;870
2016-07-04T00:01:00.0000000;Kappa;6.360318726E+17;379
2018-05-01T00:02:00.0000000;Psi;6.366072972E+17;208
2013-09-10T00:02:00.0000000;Nu;635,143,681,200,000,000.00000000;775
2014-11-23T00:01:00.0000000;Pi;635522976600000000;567
2015-09-27T00:02:00.0000000;Omicron;635789089200000000;24
2019-09-25T00:01:00.0000000;Omicron;6.370496646E+17;68
2011-12-09T00:01:00.0000000;Phi;6.345898566E+17;471
2015-08-08T00:02:00.0000000;Pi;6.357458892E+17;389
2016-05-20T00:02:00.0000000;Pi;635992993200000000;830
2014-07-21T00:01:00.0000000;Xi;635414976600000000;291
2017-12-10T00:01:00.0000000;Lambda;6.364846086E+17;965
2015-05-09T00:03:00.0000000;Chi;6.356672658E+17;612
2012-12-14T00:02:00.0000000;Omega;634,910,401,200,000,000.00000000;488
2019-03-06T00:01:00.0000000;Epsilon;6.368742726E+17;492
2014-11-01T00:01:00.0000000;Rho;635,503,968,600,000,000.00000000;16
2016-02-06T00:01:00.0000000;Mu;6.359031366E+17;109
2013-11-11T00:01:00.0000000;Pi;6.35197E+017;884
2010-03-14T00:01:00.0000000;Theta;6.340412166E+17;53
2011-10-15T00:04:00.0000000;Chi;6.345423384E+17;411
2019-08-16T00:02:00.0000000;Xi;6.370151052E+17;463
2017-07-24T00:03:00.0000000;Rho;636,364,513,800,000,000.00000000;304
2015-08-09T00:01:00.0000000;Omega;6.357467526E+17;321
2016-10-19T00:03:00.0000000;Lambda;6.361243218E+17;630
2016-04-02T00:01:00.0000000;Xi;6.359515206E+17;11
2012-11-24T00:02:00.0000000;Kappa;634,893,121,200,000,000.00000000;728
2016-04-11T00:02:00.0000000;Omega;635959297200000000;607
2011-07-15T00:01:00.0000000;Psi;6.34463E+017;634
2017-05-07T00:02:00.0000000;Phi;6.362971212E+17;345
2017-11-04T00:01:00.0000000;Kappa;6.364535046E+17;971
2012-02-14T00:01:00.0000000;Beta;634647744600000000;659
2017-06-14T00:01:00.0000000;Delta;6.363299526E+17;32
2012-06-25T00:01:00.0000000;Zeta;6.347617926E+17;560
2019-07-02T00:01:00.0000000;Eta;636,976,224,600,000,000.00000000;69
2010-11-26T00:01:00.0000000;Delta;6.342632646E+17;940
2011-06-05T00:02:00.0000000;Psi;634428289200000000;516
2012-05-18T00:02:00.0000000;Alpha;6.347289612E+17;611
2018-06-26T00:02:00.0000000;Eta;6.366556812E+17;725
2015-04-11T00:01:00.0000000;Rho;635643072600000000;319
2012-07-06T00:01:00.0000000;Delta;634771296600000000;836
2018-05-16T00:01:00.0000000;Lambda;6.36620E+017;60
2012-08-26T00:01:00.0000000;Pi;634,815,360,600,000,000.00000000;59
2015-01-27T00:03:00.0000000;Sigma;635579137800000000;932
2010-05-20T00:03:00.0000000;Rho;634099105800000000;930
2010-07-23T00:02:00.0000000;Omicron;6.341544012E+17;163
2017-01-12T00:02:00.0000000;Pi;6.36198E+017;505
2018-07-15T00:02:00.0000000;Theta;6.366720972E+17;62
2011-06-06T00:02:00.0000000;Theta;6.34429E+017;59
2016-01-07T00:03:00.0000000;Nu;635877217800000000;472
2019-05-31T00:01:00.0000000;Epsilon;6.36949E+017;830
2011-10-05T00:02:00.0000000;Kappa;634,533,697,200,000,000.00000000;671
2017-10-24T00:01:00.0000000;Rho;636,444,000,600,000,000.00000000;437
2011-07-26T00:01:00.0000000;Psi;634,472,352,600,000,000.00000000;308
2010-10-14T00:02:00.0000000;Gamma;6.34226E+017;861
2017-06-06T00:02:00.0000000;Omicron;6.36323E+017;978
2010-07-22T00:02:00.0000000;Alpha;6.341535372E+17;633
2013-11-12T00:01:00.0000000;Nu;6.35198E+017;875
2012-04-29T00:03:00.0000000;Chi;6.347125458E+17;742
2014-11-01T00:03:00.0000000;Beta;635,503,969,800,000,000.00000000;624
2019-08-07T00:02:00.0000000;Chi;637,007,329,200,000,000.00000000;403
2017-02-25T00:01:00.0000000;Phi;6.362357766E+17;379
2018-07-31T00:01:00.0000000;Phi;6.366859206E+17;319
2019-05-08T00:02:00.0000000;Lambda;636,928,705,200,000,000.00000000;255
2014-11-02T00:02:00.0000000;Psi;635,504,833,200,000,000.00000000;609
2013-09-23T00:01:00.0000000;Rho;6.351549126E+17;713
2017-11-21T00:02:00.0000000;Nu;6.364681932E+17;713
2010-07-09T00:03:00.0000000;Upsilon;634,142,305,800,000,000.00000000;434
2018-01-26T00:03:00.0000000;Delta;6.36525E+017;445
2016-11-20T00:02:00.0000000;Alpha;6.36152E+017;271
2017-06-09T00:03:00.0000000;Gamma;6.363256338E+17;391
2012-01-08T00:02:00.0000000;Eta;634615777200000000;400
2012-06-07T00:01:00.0000000;Delta;6.347462406E+17;576
2016-01-01T00:01:00.0000000;Lambda;6.358720326E+17;501
2015-11-27T00:01:00.0000000;Iota;6.358417926E+17;924
2011-09-22T00:02:00.0000000;Kappa;634522465200000000;922
2016-09-27T00:02:00.0000000;Rho;6.361053132E+17;675
2012-12-01T00:02:00.0000000;Tau;6.34899E+017;462
2013-09-03T00:03:00.0000000;Sigma;6.351376338E+17;238
2017-10-22T00:02:00.0000000;Pi;636,442,273,200,000,000.00000000;967
2019-10-31T00:02:00.0000000;Zeta;637080769200000000;425
2018-12-31T00:02:00.0000000;Xi;636,818,113,200,000,000.00000000;121
2016-12-10T00:01:00.0000000;Gamma;6.361692486E+17;926
2014-03-23T00:01:00.0000000;Pi;6.353112966E+17;729
2010-01-18T00:02:00.0000000;Iota;6.339936972E+17;773
2016-10-28T00:01:00.0000000;Lambda;636132096600000000;417
2017-01-26T00:01:00.0000000;Lambda;636,209,856,600,000,000.00000000;411
2019-09-07T00:03:00.0000000;Epsilon;637034113800000000;315
2010-04-28T00:01:00.0000000;Iota;634,080,096,600,000,000.00000000;421
2013-12-31T00:01:00.0000000;Phi;635240448600000000;467
2012-12-01T00:03:00.0000000;Tau;6.34899E+017;5
2010-12-07T00:02:00.0000000;Theta;6.34273E+017;878
2012-01-21T00:02:00.0000000;Zeta;634,627,009,200,000,000.00000000;517
2011-12-12T00:02:00.0000000;Pi;6.345924492E+17;178
2016-09-28T00:02:00.0000000;Eta;6.361061772E+17;406
2011-05-11T00:01:00.0000000;Zeta;634406688600000000;62
2011-07-03T00:01:00.0000000;Lambda;6.344524806E+17;994
2011-05-16T00:02:00.0000000;Omicron;634411009200000000;671
2013-10-28T00:03:00.0000000;Alpha;6.351851538E+17;13
2010-09-03T00:04:00.0000000;Mu;634190690400000000;836
2011-07-13T00:02:00.0000000;Rho;6.34461E+017;149
2017-07-30T00:03:00.0000000;Psi;6.36370E+017;926
2019-09-25T00:02:00.0000000;Eta;637049665200000000;255
2019-08-11T00:04:00.0000000;Lambda;6.37011E+017;490
2010-12-06T00:02:00.0000000;Mu;634271905200000000;694
2016-11-01T00:02:00.0000000;Nu;6.36136E+017;352
2019-01-09T00:02:00.0000000;Nu;6.368258892E+17;419
2018-12-04T00:02:00.0000000;Iota;6.367947852E+17;354
2015-01-08T00:02:00.0000000;Rho;6.355627212E+17;769
2019-04-16T00:03:00.0000000;Omicron;636909697800000000;252
2015-09-01T00:02:00.0000000;Kappa;635766625200000000;968
2013-04-23T00:03:00.0000000;Gamma;6.35023E+017;367
2016-10-26T00:02:00.0000000;Delta;636,130,369,200,000,000.00000000;943
2010-11-25T00:02:00.0000000;Tau;6.342624012E+17;772
2013-01-18T00:01:00.0000000;Kappa;634,940,640,600,000,000.00000000;831
2011-06-27T00:02:00.0000000;Mu;6.344472972E+17;950
2015-09-01T00:01:00.0000000;Theta;6.357666246E+17;649
2019-07-06T00:02:00.0000000;Omega;6.36980E+017;962
2018-02-02T00:02:00.0000000;Iota;6.365312652E+17;120
2014-09-26T00:01:00.0000000;Omicron;635,472,864,600,000,000.00000000;234
2016-07-19T00:02:00.0000000;Upsilon;6.360448332E+17;576
2017-08-01T00:03:00.0000000;Omega;6.363714258E+17;388
2018-05-21T00:03:00.0000000;Delta;6.366245778E+17;891
2012-10-26T00:04:00.0000000;Sigma;6.348680664E+17;209
2016-09-04T00:03:00.0000000;Tau;636085441800000000;743
2016-04-07T00:03:00.0000000;Phi;635955841800000000;833
2019-12-16T00:02:00.0000000;Phi;6.37121E+017;502
2015-12-04T00:02:00.0000000;Rho;635,847,841,200,000,000.00000000;958
2013-04-15T00:01:00.0000000;Upsilon;6.350158086E+17;959
2017-09-04T00:02:00.0000000;Theta;6.36401E+017;229
2016-01-01T00:01:00.0000000;Xi;6.358720326E+17;781
2016-07-25T00:02:00.0000000;Alpha;636050017200000000;196
2019-10-27T00:01:00.0000000;Sigma;6.370773126E+17;533
2012-03-14T00:02:00.0000000;Pi;634672801200000000;324
2010-10-03T00:02:00.0000000;Rho;6.342166092E+17;483
2011-10-18T00:03:00.0000000;Zeta;6.345449298E+17;737
2015-07-18T00:01:00.0000000;Mu;635727744600000000;350
2014-01-31T00:02:00.0000000;Sigma;635267233200000000;402
2012-09-29T00:04:00.0000000;Pi;634,844,738,400,000,000.00000000;295
2015-10-17T00:01:00.0000000;Delta;6.35806E+017;722
2010-12-07T00:04:00.0000000;Kappa;6.34273E+017;164
2012-05-25T00:02:00.0000000;Kappa;634735009200000000;959
2015-08-07T00:04:00.0000000;Psi;6.357450264E+17;90
2015-08-30T00:01:00.0000000;Alpha;6.357648966E+17;683
2010-04-27T00:02:00.0000000;Pi;634079233200000000;268
2019-01-24T00:01:00.0000000;Pi;6.36839E+017;433
2011-06-13T00:02:00.0000000;Beta;6.344352012E+17;233
2013-04-25T00:03:00.0000000;Omicron;6.35024E+017;709
2018-10-31T00:02:00.0000000;Upsilon;6.367654092E+17;797
2012-06-19T00:03:00.0000000;Upsilon;6.34757E+017;547
2010-03-22T00:02:00.0000000;Rho;634,048,129,200,000,000.00000000;76
2018-04-15T00:03:00.0000000;Beta;6.365934738E+17;533
2014-02-17T00:02:00.0000000;Pi;635281921200000000;151
2018-01-19T00:01:00.0000000;Rho;636519168600000000;355
2018-01-04T00:03:00.0000000;Alpha;636506209800000000;422
2013-10-31T00:04:00.0000000;Epsilon;635187746400000000;710
2014-06-20T00:05:00.0000000;Chi;6.35388195E+17;692
2019-10-01T00:02:00.0000000;Kappa;637054849200000000;794
2011-07-24T00:02:00.0000000;Epsilon;634,470,625,200,000,000.00000000;818
2012-06-20T00:02:00.0000000;Nu;6.34757E+017;30
2016-08-29T00:02:00.0000000;Phi;636080257200000000;581
2011-07-13T00:03:00.0000000;Omicron;6.34461E+017;662
2019-03-30T00:02:00.0000000;Alpha;636895009200000000;171
2012-05-14T00:02:00.0000000;Epsilon;634725505200000000;558
2016-08-14T00:01:00.0000000;Theta;636,067,296,600,000,000.00000000;363
2018-02-17T00:01:00.0000000;Epsilon;6.365442246E+17;117
2016-05-01T00:02:00.0000000;Epsilon;635976577200000000;664
2015-05-12T00:04:00.0000000;Chi;6.356698584E+17;570
2018-05-22T00:01:00.0000000;Alpha;6.366254406E+17;822
2019-12-23T00:04:00.0000000;Lambda;637126562400000000;973
2018-04-28T00:02:00.0000000;Tau;6.36605E+017;326
2012-08-19T00:03:00.0000000;Lambda;6.348093138E+17;649
2017-07-28T00:02:00.0000000;Alpha;636367969200000000;615
2010-01-22T00:01:00.0000000;Phi;6.339971526E+17;625
2016-06-05T00:02:00.0000000;Eta;636006817200000000;875
2016-10-14T00:02:00.0000000;Phi;6.36120E+017;531
2010-05-09T00:03:00.0000000;Delta;6.340896018E+17;651
2014-04-06T00:03:00.0000000;Delta;6.353233938E+17;905
2011-06-20T00:02:00.0000000;Upsilon;634,441,249,200,000,000.00000000;384
2011-08-10T00:02:00.0000000;Tau;634485313200000000;701
2016-06-25T00:01:00.0000000;Lambda;636024096600000000;894
2014-02-21T00:01:00.0000000;Delta;635,285,376,600,000,000.00000000;69
2017-09-24T00:02:00.0000000;Tau;6.36418E+017;201
2011-06-23T00:03:00.0000000;Theta;6.34444E+017;428
2010-08-21T00:04:00.0000000;Lambda;6.34179E+017;992
2016-02-27T00:02:00.0000000;Pi;6.359212812E+17;469
2010-06-11T00:03:00.0000000;Zeta;6.341181138E+17;226
2011-12-31T00:02:00.0000000;Theta;634608865200000000;734
2016-06-24T00:03:00.0000000;Omicron;636023233800000000;160
2016-02-21T00:05:00.0000000;Nu;6.35916099E+17;606
2015-12-26T00:02:00.0000000;Eta;635866849200000000;717
2015-04-03T00:04:00.0000000;Omega;6.356361624E+17;106
2016-11-23T00:03:00.0000000;Mu;6.361545618E+17;329
2010-07-14T00:02:00.0000000;Phi;634146625200000000;97
2014-12-04T00:03:00.0000000;Omega;635532481800000000;749
2015-05-28T00:03:00.0000000;Eta;6.356836818E+17;166
2013-11-22T00:05:00.0000000;Eta;635206755000000000;269
2012-09-10T00:02:00.0000000;Sigma;634828321200000000;370
2017-08-31T00:04:00.0000000;Delta;636397346400000000;607
2016-08-30T00:03:00.0000000;Chi;636,081,121,800,000,000.00000000;587
2013-07-10T00:02:00.0000000;Iota;6.350901132E+17;891
2019-09-15T00:04:00.0000000;Beta;6.37041E+017;598
2010-01-28T00:03:00.0000000;Eta;634,002,337,800,000,000.00000000;894
2010-03-16T00:03:00.0000000;Lambda;6.340429458E+17;630
2014-12-10T00:03:00.0000000;Nu;635537665800000000;127
2013-07-28T00:02:00.0000000;Rho;6.351056652E+17;195
2019-08-21T00:02:00.0000000;Alpha;637019425200000000;251
2011-12-21T00:02:00.0000000;Rho;634600225200000000;545
2018-02-23T00:03:00.0000000;Mu;636549409800000000;571
2011-09-04T00:04:00.0000000;Sigma;6.34507E+017;527
2019-07-02T00:03:00.0000000;Epsilon;636976225800000000;20
2012-10-17T00:04:00.0000000;Theta;634,860,290,400,000,000.00000000;448
2011-02-10T00:03:00.0000000;Psi;634,328,929,800,000,000.00000000;255
2019-11-24T00:04:00.0000000;Pi;637101506400000000;423
