TM;Category;unknown;Quantity
2019-09-05T00:01:00.0000000;Eta;6.370323846E+17;403
2010-12-06T00:01:00.0000000;Rho;634271904600000000;291
2014-06-11T00:01:00.0000000;Tau;635,380,416,600,000,000.00000000;940
2011-08-14T00:01:00.0000000;Lambda;634,488,768,600,000,000.00000000;402
2015-02-12T00:02:00.0000000;Mu;6.355929612E+17;920
2016-08-24T00:01:00.0000000;Eta;6.360759366E+17;220
2011-12-04T00:01:00.0000000;Psi;634585536600000000;931
2018-06-04T00:01:00.0000000;Tau;6.36637E+017;220
2019-07-12T00:01:00.0000000;Sigma;6.369848646E+17;821
2011-04-03T00:02:00.0000000;Eta;6.343738572E+17;137
2018-01-16T00:02:00.0000000;Eta;6.365165772E+17;837
2017-05-19T00:01:00.0000000;Kappa;6.36307E+017;267
2016-07-29T00:01:00.0000000;Sigma;636,053,472,600,000,000.00000000;230
2016-06-17T00:02:00.0000000;Nu;636017185200000000;806
2015-07-18T00:01:00.0000000;Delta;635727744600000000;154
2013-12-23T00:01:00.0000000;Gamma;6.352335366E+17;719
2015-05-30T00:01:00.0000000;Kappa;6.356854086E+17;233
2012-12-04T00:01:00.0000000;Omicron;6.349017606E+17;662
2014-07-01T00:01:00.0000000;Xi;635397696600000000;954
2011-07-02T00:01:00.0000000;Zeta;6.344516166E+17;918
2019-03-20T00:01:00.0000000;Epsilon;6.36886E+017;122
2016-07-08T00:01:00.0000000;Alpha;636035328600000000;457
2015-01-28T00:01:00.0000000;Tau;635580000600000000;248
2016-06-12T00:02:00.0000000;Omicron;6.360128652E+17;970
2014-12-03T00:01:00.0000000;Psi;6.355316166E+17;498
2017-11-09T00:01:00.0000000;Psi;636457824600000000;654
2010-07-29T00:02:00.0000000;Tau;634,159,585,200,000,000.00000000;65
2010-03-10T00:01:00.0000000;Nu;634037760600000000;726
2010-01-06T00:01:00.0000000;Kappa;6.339833286E+17;585
2019-07-17T00:01:00.0000000;Nu;636989184600000000;290
2017-06-06T00:02:00.0000000;Rho;6.36323E+017;277
2011-02-23T00:02:00.0000000;Omicron;6.343401612E+17;981
2013-07-28T00:01:00.0000000;Pi;6.351056646E+17;584
2013-05-17T00:01:00.0000000;Xi;6.350434566E+17;483
2013-01-30T00:01:00.0000000;Epsilon;6.349510086E+17;601
2015-01-06T00:01:00.0000000;Omega;6.355609926E+17;301
2012-06-06T00:01:00.0000000;Mu;6.347453766E+17;620
2011-09-06T00:01:00.0000000;Epsilon;6.34509E+017;231
2010-02-15T00:02:00.0000000;Omega;634,017,889,200,000,000.00000000;77
2010-06-06T00:01:00.0000000;Sigma;634,113,792,600,000,000.00000000;677
2014-10-11T00:01:00.0000000;Mu;635485824600000000;623
2018-04-15T00:01:00.0000000;Delta;6.365934726E+17;42
2015-04-03T00:01:00.0000000;Zeta;6.35636E+017;846
2011-07-29T00:01:00.0000000;Beta;634474944600000000;658
2011-11-12T00:01:00.0000000;Eta;634,566,528,600,000,000.00000000;698
2011-09-11T00:02:00.0000000;Pi;6.345129612E+17;140
2012-03-09T00:03:00.0000000;Xi;6.346684818E+17;857
2010-10-12T00:01:00.0000000;Theta;634224384600000000;404
