TM;Category;unknown;Quantity
2017-02-19T00:01:00.0000000;Kappa;6.36231E+017;23
2016-08-08T00:01:00.0000000;Delta;6.360621126E+17;487
2015-10-31T00:01:00.0000000;Omega;635,818,464,600,000,000.00000000;484
2017-08-06T00:01:00.0000000;Pi;6.363757446E+17;79
2010-06-20T00:01:00.0000000;Theta;634125888600000000;930
2010-06-08T00:01:00.0000000;Omega;634115520600000000;133
2018-04-26T00:02:00.0000000;Omega;636602977200000000;804
2013-02-12T00:01:00.0000000;Pi;6.34962E+017;305
2012-01-22T00:01:00.0000000;Lambda;634,627,872,600,000,000.00000000;606
2010-09-03T00:02:00.0000000;Psi;634,190,689,200,000,000.00000000;473
2018-08-21T00:02:00.0000000;Lambda;6.367040652E+17;670
2010-09-12T00:01:00.0000000;Zeta;6.341984646E+17;956
2014-08-17T00:01:00.0000000;Kappa;6.354383046E+17;489
2010-10-13T00:01:00.0000000;Mu;634225248600000000;228
2019-02-16T00:03:00.0000000;Theta;6.368587218E+17;756
2017-03-06T00:01:00.0000000;Gamma;636243552600000000;241
2011-04-09T00:02:00.0000000;Omicron;634,379,041,200,000,000.00000000;493
2015-07-20T00:01:00.0000000;Epsilon;6.35729E+017;305
2013-01-27T00:02:00.0000000;Rho;6.349484172E+17;166
2015-06-03T00:01:00.0000000;Phi;635688864600000000;249
2010-10-31T00:01:00.0000000;Gamma;634240800600000000;466
2012-02-11T00:02:00.0000000;Pi;634645153200000000;446
2011-01-21T00:02:00.0000000;Eta;634311649200000000;97
2011-08-13T00:01:00.0000000;Epsilon;634,487,904,600,000,000.00000000;744
2012-01-07T00:02:00.0000000;Tau;634614913200000000;131
2017-03-06T00:01:00.0000000;Upsilon;636243552600000000;551
2019-04-14T00:02:00.0000000;Lambda;6.369079692E+17;623
2010-09-01T00:01:00.0000000;Gamma;634188960600000000;532
2018-12-01T00:02:00.0000000;Eta;6.36792E+017;480
2011-06-23T00:01:00.0000000;Iota;634443840600000000;508
2011-06-27T00:01:00.0000000;Xi;6.34447E+017;754
2014-02-16T00:02:00.0000000;Iota;6.352810572E+17;490
2012-06-19T00:01:00.0000000;Pi;634756608600000000;485
2012-11-20T00:02:00.0000000;Pi;6.348896652E+17;39
2017-10-28T00:02:00.0000000;Rho;6.36447E+017;272
2012-11-17T00:02:00.0000000;Rho;6.348870732E+17;278
2011-08-29T00:01:00.0000000;Epsilon;634501728600000000;558
2012-04-24T00:01:00.0000000;Chi;634,708,224,600,000,000.00000000;636
2010-05-31T00:01:00.0000000;Delta;6.341086086E+17;230
2012-10-15T00:01:00.0000000;Omicron;6.348585606E+17;764
2014-01-20T00:02:00.0000000;Sigma;635257729200000000;838
2018-01-30T00:01:00.0000000;Eta;6.365286726E+17;859
2019-03-25T00:02:00.0000000;Alpha;6.368906892E+17;339
2016-04-03T00:01:00.0000000;Omicron;6.359523846E+17;725
2018-12-07T00:01:00.0000000;Alpha;6.367973766E+17;117
2015-12-06T00:01:00.0000000;Lambda;635,849,568,600,000,000.00000000;805
2011-10-04T00:01:00.0000000;Lambda;634532832600000000;615
2014-08-25T00:01:00.0000000;Chi;635445216600000000;923
2016-03-05T00:02:00.0000000;Kappa;635,927,329,200,000,000.00000000;495
2014-07-14T00:03:00.0000000;Psi;635,408,929,800,000,000.00000000;72
2017-07-15T00:02:00.0000000;Omicron;6.363567372E+17;551
2012-08-14T00:01:00.0000000;Eta;6.34805E+017;3
2015-06-01T00:02:00.0000000;Rho;6.356871372E+17;450
2015-10-03T00:01:00.0000000;Phi;6.357942726E+17;490
2013-07-02T00:02:00.0000000;Iota;635083201200000000;785
2012-06-04T00:02:00.0000000;Gamma;6.34744E+017;593
2012-04-18T00:02:00.0000000;Psi;634703041200000000;175
2017-05-02T00:03:00.0000000;Kappa;6.362928018E+17;394
2010-09-08T00:01:00.0000000;Beta;6.34195E+017;183
2018-03-29T00:01:00.0000000;Sigma;6.365787846E+17;825
2015-12-14T00:01:00.0000000;Beta;6.358564806E+17;785
2019-05-21T00:03:00.0000000;Chi;636939937800000000;702
2016-08-04T00:02:00.0000000;Beta;6.360586572E+17;180
2017-09-23T00:02:00.0000000;Delta;6.36417E+017;475
2010-07-27T00:01:00.0000000;Delta;634157856600000000;778
2014-09-06T00:01:00.0000000;Phi;635455584600000000;574
2019-05-30T00:01:00.0000000;Kappa;636947712600000000;996
2014-03-29T00:01:00.0000000;Delta;635,316,480,600,000,000.00000000;243
2011-06-24T00:03:00.0000000;Mu;6.34445E+017;682
2016-04-22T00:02:00.0000000;Sigma;6.359688012E+17;33
2015-10-01T00:02:00.0000000;Xi;6.357925452E+17;548
2016-05-10T00:02:00.0000000;Mu;6.359843532E+17;693
2011-12-01T00:02:00.0000000;Iota;634582945200000000;38
2013-05-22T00:01:00.0000000;Psi;635047776600000000;549
2016-01-26T00:01:00.0000000;Theta;635893632600000000;866
2010-03-10T00:01:00.0000000;Omega;634037760600000000;747
2010-02-26T00:03:00.0000000;Chi;6.340273938E+17;728
2019-10-13T00:02:00.0000000;Gamma;637065217200000000;605
2015-09-05T00:01:00.0000000;Mu;635,770,080,600,000,000.00000000;357
2018-06-13T00:02:00.0000000;Omega;636644449200000000;877
2015-11-13T00:03:00.0000000;Xi;635829697800000000;795
2013-11-06T00:02:00.0000000;Sigma;635192929200000000;106
2015-10-26T00:01:00.0000000;Xi;635814144600000000;562
2011-12-12T00:02:00.0000000;Rho;6.345924492E+17;834
2019-12-17T00:01:00.0000000;Sigma;6.37121E+017;33
2015-11-03T00:02:00.0000000;Lambda;635821057200000000;509
2012-03-10T00:02:00.0000000;Kappa;6.346693452E+17;856
2017-08-27T00:02:00.0000000;Beta;636393889200000000;18
2010-03-14T00:02:00.0000000;Sigma;6.340412172E+17;737
2012-09-05T00:02:00.0000000;Rho;6.348240012E+17;849
2014-11-18T00:02:00.0000000;Psi;635,518,657,200,000,000.00000000;303
2014-10-11T00:03:00.0000000;Mu;635485825800000000;416
2018-11-10T00:01:00.0000000;Beta;636774048600000000;912
2017-05-01T00:01:00.0000000;Epsilon;6.36292E+017;572
2017-12-12T00:01:00.0000000;Kappa;6.364863366E+17;112
2016-05-12T00:02:00.0000000;Zeta;635986081200000000;383
2019-10-26T00:03:00.0000000;Pi;6.370764498E+17;809
2018-07-27T00:02:00.0000000;Nu;6.36682E+017;417
2014-07-05T00:01:00.0000000;Zeta;6.35401E+017;247
2016-07-09T00:01:00.0000000;Rho;636,036,192,600,000,000.00000000;106
2019-09-17T00:02:00.0000000;Alpha;6.37043E+017;115
2016-07-01T00:02:00.0000000;Chi;6.360292812E+17;402
2016-07-27T00:02:00.0000000;Sigma;636,051,745,200,000,000.00000000;629
2010-03-10T00:01:00.0000000;Rho;634037760600000000;309
2015-02-06T00:03:00.0000000;Nu;6.35588E+017;846
2013-12-02T00:02:00.0000000;Pi;6.352153932E+17;115
2013-12-30T00:02:00.0000000;Psi;635,239,585,200,000,000.00000000;727
2012-03-11T00:02:00.0000000;Omicron;6.346702092E+17;651
2016-05-29T00:03:00.0000000;Rho;636000769800000000;881
