TM;Category;unknown;Quantity
2011-01-22T00:01:00.0000000;Phi;634312512600000000;521
2010-01-30T00:01:00.0000000;Theta;634,004,064,600,000,000.00000000;683
2010-04-18T00:01:00.0000000;Sigma;6.34071E+017;433
2013-12-01T00:01:00.0000000;Chi;6.352145286E+17;603
2019-03-03T00:01:00.0000000;Alpha;6.36872E+017;699
2017-09-01T00:01:00.0000000;Phi;636398208600000000;540
2018-10-12T00:01:00.0000000;Alpha;6.367489926E+17;971
2012-07-17T00:01:00.0000000;Gamma;6.347808006E+17;400
2015-10-16T00:01:00.0000000;Pi;635805504600000000;438
2012-09-19T00:01:00.0000000;Mu;634836096600000000;606
2015-06-03T00:01:00.0000000;Chi;635688864600000000;704
2018-06-27T00:01:00.0000000;Nu;6.366565446E+17;105
2018-06-12T00:02:00.0000000;Chi;636643585200000000;727
2011-11-02T00:01:00.0000000;Chi;6.345578886E+17;589
2016-04-09T00:01:00.0000000;Iota;635,957,568,600,000,000.00000000;728
2018-01-11T00:01:00.0000000;Mu;6.36512E+017;238
2017-02-08T00:02:00.0000000;Epsilon;636221089200000000;528
2013-09-17T00:02:00.0000000;Mu;6.35150E+017;414
2017-10-28T00:01:00.0000000;Sigma;636447456600000000;800
2013-04-07T00:01:00.0000000;Chi;6.35009E+017;9
2013-08-24T00:01:00.0000000;Upsilon;635,128,992,600,000,000.00000000;950
2019-08-10T00:02:00.0000000;Xi;637009921200000000;286
2019-09-25T00:01:00.0000000;Gamma;6.370496646E+17;994
2014-08-10T00:01:00.0000000;Theta;6.35432E+017;609
2016-04-18T00:02:00.0000000;Gamma;6.359653452E+17;345
2017-03-12T00:02:00.0000000;Pi;6.362487372E+17;488
2012-09-22T00:02:00.0000000;Xi;6.348386892E+17;387
2013-04-16T00:01:00.0000000;Chi;635016672600000000;485
2011-06-29T00:03:00.0000000;Gamma;6.344490258E+17;368
2013-01-20T00:01:00.0000000;Omega;634,942,368,600,000,000.00000000;457
2015-03-25T00:01:00.0000000;Chi;635628384600000000;525
2019-06-01T00:01:00.0000000;Phi;6.36949E+017;737
2011-09-22T00:01:00.0000000;Lambda;634522464600000000;747
2012-04-10T00:01:00.0000000;Iota;6.34696E+017;390
2013-09-01T00:02:00.0000000;Gamma;6.351359052E+17;250
2011-12-16T00:01:00.0000000;Xi;634595904600000000;783
2011-04-06T00:02:00.0000000;Mu;634376449200000000;518
2012-12-20T00:02:00.0000000;Xi;6.34916E+017;219
2018-10-12T00:01:00.0000000;Rho;6.367489926E+17;227
2017-07-02T00:02:00.0000000;Phi;636345505200000000;522
2013-09-09T00:03:00.0000000;Beta;635,142,817,800,000,000.00000000;454
2012-06-29T00:02:00.0000000;Epsilon;634765249200000000;534
2018-10-04T00:02:00.0000000;Kappa;636742081200000000;199
2019-03-23T00:01:00.0000000;Zeta;6.368889606E+17;192
2017-08-02T00:01:00.0000000;Iota;6.363722886E+17;326
2015-03-22T00:02:00.0000000;Omega;635625793200000000;345
2016-02-11T00:01:00.0000000;Pi;6.359074566E+17;256
2011-12-01T00:02:00.0000000;Gamma;634582945200000000;673
2013-06-06T00:01:00.0000000;Epsilon;6.350607366E+17;921
2019-03-06T00:02:00.0000000;Nu;6.368742732E+17;286
2014-05-08T00:01:00.0000000;Tau;635351040600000000;369
2016-12-09T00:02:00.0000000;Iota;6.361683852E+17;258
2014-01-24T00:02:00.0000000;Nu;6.352611852E+17;396
2015-03-12T00:01:00.0000000;Lambda;635617152600000000;881
2011-06-24T00:02:00.0000000;Mu;6.34445E+017;124
2011-07-25T00:02:00.0000000;Omicron;634,471,489,200,000,000.00000000;254
2012-05-20T00:01:00.0000000;Psi;6.347306886E+17;27
2019-03-21T00:02:00.0000000;Delta;6.36887E+017;697
2016-12-06T00:02:00.0000000;Epsilon;6.36166E+017;40
2016-11-14T00:01:00.0000000;Nu;636,146,784,600,000,000.00000000;922
