TM;Category;unknown;Quantity
2019-08-17T00:01:00.0000000;Nu;6.370159686E+17;972
2018-09-24T00:01:00.0000000;Zeta;6.367334406E+17;315
2012-05-28T00:01:00.0000000;Omicron;634,737,600,600,000,000.00000000;746
2013-01-31T00:01:00.0000000;Alpha;6.349518726E+17;112
2016-07-31T00:01:00.0000000;Zeta;636055200600000000;408
2018-08-28T00:01:00.0000000;Omega;636,710,112,600,000,000.00000000;984
2013-12-15T00:01:00.0000000;Gamma;635226624600000000;362
2016-08-18T00:02:00.0000000;Psi;636070753200000000;398
2010-05-30T00:02:00.0000000;Nu;6.341077452E+17;451
2018-12-17T00:01:00.0000000;Mu;636806016600000000;763
2014-01-12T00:02:00.0000000;Pi;635250817200000000;782
2019-10-15T00:01:00.0000000;Rho;637066944600000000;902
2017-07-02T00:01:00.0000000;Omega;6.363455046E+17;498
2013-08-05T00:01:00.0000000;Phi;635,112,576,600,000,000.00000000;937
2010-06-18T00:01:00.0000000;Gamma;6.341241606E+17;359
2014-05-16T00:01:00.0000000;Sigma;6.353579526E+17;343
2016-01-11T00:02:00.0000000;Iota;635,880,673,200,000,000.00000000;154
2015-05-11T00:01:00.0000000;Gamma;6.356689926E+17;15
2013-04-19T00:03:00.0000000;Sigma;635,019,265,800,000,000.00000000;767
2010-01-11T00:01:00.0000000;Upsilon;633,987,648,600,000,000.00000000;780
2013-10-09T00:01:00.0000000;Zeta;6.351687366E+17;876
2018-05-17T00:01:00.0000000;Xi;6.36621E+017;376
2010-02-26T00:03:00.0000000;Delta;6.340273938E+17;19
2010-03-23T00:01:00.0000000;Beta;634,048,992,600,000,000.00000000;28
2014-12-31T00:01:00.0000000;Nu;635555808600000000;213
2017-04-17T00:01:00.0000000;Eta;6.362798406E+17;691
2012-06-29T00:01:00.0000000;Mu;6.347652486E+17;845
2014-07-20T00:02:00.0000000;Tau;635414113200000000;337
2013-07-13T00:03:00.0000000;Theta;6.350927058E+17;874
2017-09-27T00:01:00.0000000;Chi;6.364206726E+17;953
2012-03-15T00:01:00.0000000;Xi;634673664600000000;975
2013-03-08T00:01:00.0000000;Pi;6.349829766E+17;67
2010-10-18T00:01:00.0000000;Omicron;6.342295686E+17;64
2016-11-18T00:01:00.0000000;Xi;636150240600000000;763
2014-01-22T00:01:00.0000000;Theta;6.35259E+017;104
2012-05-04T00:03:00.0000000;Upsilon;6.347168658E+17;622
2016-04-18T00:02:00.0000000;Delta;6.359653452E+17;51
2010-06-13T00:01:00.0000000;Kappa;6.341198406E+17;12
2017-11-16T00:01:00.0000000;Xi;6.36464E+017;643
2014-09-23T00:02:00.0000000;Delta;635470273200000000;149
2011-01-17T00:01:00.0000000;Omicron;6.343081926E+17;695
2012-11-04T00:02:00.0000000;Pi;634875841200000000;193
2010-06-18T00:02:00.0000000;Pi;634124161200000000;464
2015-12-12T00:02:00.0000000;Delta;6.35855E+017;985
2014-06-28T00:02:00.0000000;Pi;635,395,105,200,000,000.00000000;158
2016-09-23T00:02:00.0000000;Beta;636101857200000000;337
2010-09-27T00:04:00.0000000;Lambda;6.342114264E+17;725
2015-01-19T00:02:00.0000000;Tau;6.35572E+017;327
2010-11-11T00:01:00.0000000;Omicron;634250304600000000;273
2015-09-25T00:01:00.0000000;Omega;635,787,360,600,000,000.00000000;500
2013-12-01T00:02:00.0000000;Mu;6.352145292E+17;199
2012-09-10T00:02:00.0000000;Kappa;634828321200000000;628
2013-02-01T00:01:00.0000000;Rho;6.349527366E+17;565
2010-04-04T00:01:00.0000000;Zeta;6.340593606E+17;998
2013-01-23T00:02:00.0000000;Upsilon;6.34945E+017;961
2019-12-09T00:01:00.0000000;Sigma;637114464600000000;46
2017-06-03T00:02:00.0000000;Omicron;636320449200000000;853
2011-11-03T00:01:00.0000000;Upsilon;6.345587526E+17;307
2012-07-07T00:02:00.0000000;Phi;634772161200000000;674
2010-06-03T00:01:00.0000000;Kappa;634111200600000000;976
2016-01-26T00:01:00.0000000;Rho;635893632600000000;420
2012-03-31T00:01:00.0000000;Xi;6.346874886E+17;85
2015-10-31T00:01:00.0000000;Tau;635,818,464,600,000,000.00000000;485
2015-02-24T00:02:00.0000000;Psi;6.35603E+017;839
2012-01-11T00:02:00.0000000;Rho;6.34618E+017;786
2018-10-03T00:01:00.0000000;Pi;636,741,216,600,000,000.00000000;322
2018-06-24T00:02:00.0000000;Pi;6.366539532E+17;8
2018-05-05T00:01:00.0000000;Theta;6.366107526E+17;614
2015-10-16T00:01:00.0000000;Alpha;635805504600000000;547
2015-01-05T00:02:00.0000000;Phi;6.355601292E+17;976
2019-12-14T00:03:00.0000000;Zeta;637118785800000000;730
2016-05-02T00:01:00.0000000;Omega;635977440600000000;487
2011-12-16T00:02:00.0000000;Beta;634,595,905,200,000,000.00000000;576
2018-05-08T00:01:00.0000000;Lambda;636613344600000000;615
2010-09-21T00:02:00.0000000;Gamma;634,206,241,200,000,000.00000000;74
2010-04-17T00:02:00.0000000;Iota;6.34071E+017;236
2017-07-22T00:01:00.0000000;Eta;636362784600000000;978
2011-11-18T00:01:00.0000000;Omega;6.34572E+017;757
2014-05-09T00:02:00.0000000;Phi;6.35352E+017;892
2018-02-11T00:02:00.0000000;Nu;636539041200000000;994
2019-04-10T00:02:00.0000000;Theta;6.369045132E+17;973
2012-03-20T00:01:00.0000000;Epsilon;634677984600000000;785
2013-12-01T00:01:00.0000000;Alpha;6.352145286E+17;863
2013-09-06T00:01:00.0000000;Epsilon;6.351402246E+17;857
2011-03-04T00:01:00.0000000;Omicron;634,347,936,600,000,000.00000000;373
2019-06-22T00:02:00.0000000;Nu;6.369675852E+17;827
2011-04-12T00:01:00.0000000;Gamma;634381632600000000;302
2016-04-10T00:02:00.0000000;Psi;635,958,433,200,000,000.00000000;682
2017-01-28T00:01:00.0000000;Upsilon;636211584600000000;898
2013-05-04T00:01:00.0000000;Psi;635032224600000000;394
2016-05-04T00:03:00.0000000;Tau;6.35979E+017;304
2015-09-29T00:01:00.0000000;Nu;6.35791E+017;874
2015-12-16T00:02:00.0000000;Beta;6.358582092E+17;113
2012-03-19T00:02:00.0000000;Sigma;634677121200000000;941
2018-08-12T00:02:00.0000000;Chi;636696289200000000;403
2012-02-23T00:01:00.0000000;Nu;6.346555206E+17;601
2015-03-11T00:01:00.0000000;Eta;635616288600000000;586
2015-01-01T00:02:00.0000000;Upsilon;6.35557E+017;628
2019-12-18T00:01:00.0000000;Epsilon;6.37122E+017;99
2012-12-16T00:03:00.0000000;Xi;634912129800000000;917
2012-01-08T00:04:00.0000000;Alpha;6.34616E+017;37
2019-08-19T00:01:00.0000000;Pi;6.370176966E+17;17
2013-02-12T00:02:00.0000000;Phi;6.34962E+017;906
2015-11-14T00:02:00.0000000;Chi;635830561200000000;461
2014-02-20T00:01:00.0000000;Nu;635284512600000000;22
2012-12-16T00:03:00.0000000;Omega;634912129800000000;908
2015-10-04T00:02:00.0000000;Nu;6.357951372E+17;975
2016-07-26T00:03:00.0000000;Zeta;636,050,881,800,000,000.00000000;642
2013-02-20T00:03:00.0000000;Upsilon;634969153800000000;335
2010-03-01T00:03:00.0000000;Gamma;634029985800000000;509
2014-05-31T00:04:00.0000000;Chi;6.353709144E+17;941
2019-04-24T00:02:00.0000000;Chi;6.36917E+017;453
2015-09-26T00:02:00.0000000;Pi;635788225200000000;312
2015-01-30T00:01:00.0000000;Omega;635581728600000000;389
2019-08-22T00:01:00.0000000;Nu;637020288600000000;272
2019-04-01T00:03:00.0000000;Chi;636,896,737,800,000,000.00000000;845
2019-01-26T00:01:00.0000000;Iota;6.36841E+017;778
2015-02-19T00:02:00.0000000;Beta;635,599,009,200,000,000.00000000;836
2017-08-27T00:02:00.0000000;Psi;636393889200000000;665
2016-06-18T00:02:00.0000000;Theta;636018049200000000;496
2012-03-12T00:02:00.0000000;Theta;6.346710732E+17;949
2016-05-22T00:01:00.0000000;Zeta;6.35995E+017;262
2011-07-08T00:02:00.0000000;Omega;634,456,801,200,000,000.00000000;538
2011-07-29T00:03:00.0000000;Theta;6.34475E+017;920
2015-05-17T00:01:00.0000000;Omega;635674176600000000;348
2015-08-23T00:01:00.0000000;Omega;635758848600000000;145
2013-06-19T00:02:00.0000000;Tau;6.35072E+017;124
2016-07-12T00:02:00.0000000;Delta;636038785200000000;628
2014-01-25T00:02:00.0000000;Zeta;6.352620492E+17;831
2018-05-03T00:02:00.0000000;Psi;6.366090252E+17;50
2012-01-21T00:03:00.0000000;Psi;634,627,009,800,000,000.00000000;466
2018-01-13T00:02:00.0000000;Omega;6.365139852E+17;554
2018-07-08T00:01:00.0000000;Iota;636666048600000000;161
2018-06-30T00:02:00.0000000;Zeta;636659137200000000;709
2019-10-20T00:02:00.0000000;Omicron;637071265200000000;693
2016-07-12T00:02:00.0000000;Rho;636038785200000000;380
2015-01-05T00:03:00.0000000;Tau;6.355601298E+17;156
2011-12-16T00:02:00.0000000;Epsilon;634,595,905,200,000,000.00000000;265
2015-09-07T00:01:00.0000000;Upsilon;635,771,808,600,000,000.00000000;292
2016-10-17T00:02:00.0000000;Zeta;6.361225932E+17;31
2012-07-18T00:03:00.0000000;Kappa;634781665800000000;574
