TM;Category;unknown;Quantity
2019-07-05T00:01:00.0000000;Iota;636978816600000000;32
2019-02-14T00:01:00.0000000;Sigma;6.368569926E+17;481
2018-04-13T00:01:00.0000000;Upsilon;6.365917446E+17;973
2015-05-02T00:01:00.0000000;Omega;635,661,216,600,000,000.00000000;778
2013-01-17T00:01:00.0000000;Sigma;634939776600000000;176
2013-06-28T00:01:00.0000000;Gamma;635079744600000000;345
2018-04-11T00:01:00.0000000;Delta;6.36590E+017;90
2012-07-22T00:01:00.0000000;Theta;634,785,120,600,000,000.00000000;782
2016-07-06T00:01:00.0000000;Mu;636033600600000000;584
2017-07-16T00:01:00.0000000;Omicron;6.363576006E+17;787
2017-03-12T00:01:00.0000000;Gamma;6.362487366E+17;71
2017-01-24T00:01:00.0000000;Psi;636,208,128,600,000,000.00000000;668
2013-06-03T00:02:00.0000000;Theta;6.350581452E+17;581
2011-12-14T00:01:00.0000000;Alpha;634594176600000000;946
2014-08-25T00:01:00.0000000;Iota;635445216600000000;573
2019-07-08T00:01:00.0000000;Lambda;6.36981E+017;557
2017-12-19T00:01:00.0000000;Alpha;636492384600000000;509
2012-04-21T00:01:00.0000000;Gamma;634705632600000000;339
2018-05-14T00:01:00.0000000;Mu;636618528600000000;12
2014-08-03T00:02:00.0000000;Upsilon;635,426,209,200,000,000.00000000;73
2010-06-11T00:01:00.0000000;Psi;6.34118E+017;751
2013-05-03T00:02:00.0000000;Kappa;635031361200000000;293
2019-10-22T00:02:00.0000000;Beta;6.37073E+017;615
2017-05-25T00:01:00.0000000;Chi;6.363126726E+17;221
2012-03-30T00:01:00.0000000;Kappa;6.346866246E+17;85
2016-05-11T00:01:00.0000000;Gamma;6.359852166E+17;244
2014-02-13T00:01:00.0000000;Lambda;6.352784646E+17;334
2018-06-21T00:02:00.0000000;Epsilon;6.36651E+017;566
2016-04-02T00:02:00.0000000;Alpha;6.359515212E+17;342
2012-09-25T00:01:00.0000000;Gamma;6.348412806E+17;889
2019-06-09T00:02:00.0000000;Gamma;636956353200000000;52
2013-09-01T00:01:00.0000000;Phi;6.35136E+017;709
2013-08-30T00:03:00.0000000;Gamma;6.35134E+017;333
2017-06-14T00:02:00.0000000;Kappa;636329953200000000;1
2019-12-14T00:01:00.0000000;Gamma;637118784600000000;31
2010-05-28T00:01:00.0000000;Lambda;6.341060166E+17;754
2013-03-22T00:02:00.0000000;Pi;6.349950732E+17;138
2011-07-29T00:02:00.0000000;Sigma;634474945200000000;471
2019-12-24T00:02:00.0000000;Nu;6.371274252E+17;234
2019-03-22T00:02:00.0000000;Phi;6.368880972E+17;464
2016-04-04T00:01:00.0000000;Upsilon;6.359532486E+17;997
2017-08-19T00:01:00.0000000;Psi;6.36387E+017;104
2016-10-14T00:03:00.0000000;Gamma;6.36120E+017;240
2019-04-21T00:01:00.0000000;Psi;636,914,016,600,000,000.00000000;445
2011-04-05T00:02:00.0000000;Tau;634375585200000000;684
2018-02-12T00:01:00.0000000;Upsilon;636539904600000000;202
2018-06-30T00:01:00.0000000;Zeta;636659136600000000;205
2016-06-21T00:01:00.0000000;Omega;636,020,640,600,000,000.00000000;417
2019-11-08T00:01:00.0000000;Tau;637087680600000000;189
2010-07-18T00:01:00.0000000;Tau;6.34150E+017;945
2011-12-03T00:02:00.0000000;Zeta;634584673200000000;193
2018-11-06T00:02:00.0000000;Tau;636,770,593,200,000,000.00000000;612
2019-11-13T00:01:00.0000000;Delta;6.370920006E+17;133
2012-11-17T00:02:00.0000000;Upsilon;6.348870732E+17;961
2013-06-30T00:01:00.0000000;Omega;635,081,472,600,000,000.00000000;530
2017-02-07T00:02:00.0000000;Tau;636220225200000000;491
2010-10-17T00:02:00.0000000;Xi;6.342287052E+17;633
2019-09-14T00:01:00.0000000;Epsilon;637040160600000000;964
2010-02-11T00:01:00.0000000;Tau;6.340144326E+17;725
2010-02-16T00:03:00.0000000;Xi;634018753800000000;132
2010-01-19T00:01:00.0000000;Xi;6.339945606E+17;265
2016-02-12T00:01:00.0000000;Omega;635908320600000000;490
2017-03-03T00:01:00.0000000;Sigma;636,240,960,600,000,000.00000000;168
2018-11-01T00:02:00.0000000;Rho;6.367662732E+17;549
