TM;Category;unknown;Quantity
2019-11-17T00:01:00.0000000;Mu;6.370954566E+17;232
2019-01-13T00:01:00.0000000;Psi;6.368293446E+17;527
2018-07-27T00:01:00.0000000;Beta;6.36682E+017;157
2010-06-24T00:01:00.0000000;Xi;634,129,344,600,000,000.00000000;937
2017-11-02T00:01:00.0000000;Lambda;6.364517766E+17;311
2012-08-23T00:01:00.0000000;Zeta;634812768600000000;164
2013-06-10T00:01:00.0000000;Eta;635064192600000000;979
2012-08-24T00:01:00.0000000;Beta;634813632600000000;931
2013-09-29T00:02:00.0000000;Upsilon;635,160,097,200,000,000.00000000;713
2013-08-29T00:01:00.0000000;Tau;635133312600000000;560
2016-05-05T00:01:00.0000000;Gamma;6.35980E+017;609
2010-08-21T00:01:00.0000000;Mu;6.34179E+017;77
2010-04-24T00:01:00.0000000;Gamma;6.340766406E+17;379
2018-08-23T00:01:00.0000000;Epsilon;636705792600000000;654
2015-07-30T00:01:00.0000000;Epsilon;635738112600000000;361
2011-10-28T00:01:00.0000000;Zeta;634553568600000000;290
2013-04-14T00:01:00.0000000;Gamma;6.350149446E+17;197
2015-03-04T00:01:00.0000000;Omega;6.356102406E+17;225
2015-03-09T00:01:00.0000000;Psi;635,614,560,600,000,000.00000000;686
2012-07-19T00:01:00.0000000;Xi;634782528600000000;563
2017-01-17T00:01:00.0000000;Alpha;6.362020806E+17;356
2016-10-04T00:02:00.0000000;Lambda;636111361200000000;572
2011-10-09T00:01:00.0000000;Beta;634537152600000000;831
2011-08-31T00:01:00.0000000;Xi;634,503,456,600,000,000.00000000;66
2014-05-17T00:01:00.0000000;Lambda;6.353588166E+17;548
2019-09-11T00:01:00.0000000;Lambda;637,037,568,600,000,000.00000000;802
2011-12-22T00:01:00.0000000;Phi;634601088600000000;32
2013-05-02T00:01:00.0000000;Iota;6.350304966E+17;845
2010-03-06T00:02:00.0000000;Upsilon;634,034,305,200,000,000.00000000;178
2017-09-25T00:02:00.0000000;Lambda;6.364189452E+17;163
2010-12-18T00:01:00.0000000;Pi;634282272600000000;864
2014-06-02T00:02:00.0000000;Rho;6.353726412E+17;443
2019-11-09T00:01:00.0000000;Pi;637088544600000000;743
2015-11-05T00:01:00.0000000;Phi;6.35823E+017;561
2017-10-11T00:01:00.0000000;Delta;6.36433E+017;907
2012-04-27T00:01:00.0000000;Alpha;634710816600000000;643
2011-02-27T00:01:00.0000000;Omega;634343616600000000;906
2018-08-12T00:01:00.0000000;Zeta;636696288600000000;624
2012-02-21T00:01:00.0000000;Beta;6.346537926E+17;312
2019-07-20T00:02:00.0000000;Omega;636,991,777,200,000,000.00000000;591
2018-11-02T00:02:00.0000000;Chi;6.367671372E+17;581
2018-07-12T00:01:00.0000000;Upsilon;6.366695046E+17;600
2010-02-28T00:01:00.0000000;Alpha;6.340291206E+17;882
2017-08-31T00:02:00.0000000;Phi;636397345200000000;161
2017-10-07T00:02:00.0000000;Beta;636429313200000000;96
2013-09-13T00:01:00.0000000;Rho;635,146,272,600,000,000.00000000;987
2016-11-02T00:01:00.0000000;Zeta;6.36136E+017;251
2012-08-20T00:01:00.0000000;Psi;6.348101766E+17;952
2017-06-12T00:01:00.0000000;Epsilon;6.363282246E+17;700
2012-09-24T00:01:00.0000000;Iota;6.348404166E+17;981
2019-11-30T00:01:00.0000000;Rho;6.37107E+017;932
2013-07-19T00:02:00.0000000;Lambda;635,097,889,200,000,000.00000000;404
2018-11-09T00:01:00.0000000;Iota;636,773,184,600,000,000.00000000;186
2010-04-03T00:03:00.0000000;Epsilon;6.340584978E+17;32
2017-11-06T00:02:00.0000000;Rho;636455233200000000;568
2017-09-10T00:02:00.0000000;Chi;6.364059852E+17;638
2014-06-19T00:01:00.0000000;Rho;6.353873286E+17;36
2017-09-29T00:01:00.0000000;Zeta;6.364224006E+17;810
2018-10-24T00:02:00.0000000;Sigma;636759361200000000;755
2012-09-10T00:02:00.0000000;Chi;634828321200000000;931
2017-02-05T00:01:00.0000000;Pi;6.362184966E+17;534
2019-10-06T00:03:00.0000000;Upsilon;6.370591698E+17;363
2010-08-26T00:02:00.0000000;Omicron;6.341837772E+17;513
2011-07-24T00:01:00.0000000;Epsilon;634470624600000000;278
2013-09-04T00:02:00.0000000;Phi;6.351384972E+17;710
2011-02-06T00:01:00.0000000;Kappa;6.343254726E+17;711
2011-10-13T00:02:00.0000000;Lambda;6.34541E+017;302
2016-08-29T00:01:00.0000000;Pi;636080256600000000;19
2012-11-04T00:01:00.0000000;Gamma;634875840600000000;466
2015-06-28T00:03:00.0000000;Omicron;635710465800000000;942
2019-03-04T00:02:00.0000000;Kappa;6.368725452E+17;220
2019-08-23T00:02:00.0000000;Kappa;637,021,153,200,000,000.00000000;830
2018-07-15T00:01:00.0000000;Epsilon;6.366720966E+17;160
2015-09-15T00:02:00.0000000;Kappa;6.357787212E+17;2
2019-09-27T00:02:00.0000000;Xi;637051393200000000;799
2011-04-11T00:02:00.0000000;Nu;634380769200000000;23
2012-10-01T00:01:00.0000000;Xi;634846464600000000;429
2010-07-18T00:01:00.0000000;Gamma;6.34150E+017;421
2016-07-14T00:02:00.0000000;Eta;6.36041E+017;626
