TM;Category;unknown;Quantity
2013-11-20T00:01:00.0000000;Chi;635205024600000000;864
2012-02-15T00:01:00.0000000;Tau;6.34649E+017;985
2010-12-15T00:01:00.0000000;Zeta;6.342796806E+17;296
2017-11-21T00:01:00.0000000;Alpha;6.364681926E+17;141
2014-01-11T00:01:00.0000000;Phi;6.352499526E+17;12
2013-08-21T00:01:00.0000000;Delta;635126400600000000;214
2011-09-27T00:01:00.0000000;Kappa;6.345267846E+17;73
2016-04-04T00:01:00.0000000;Phi;6.359532486E+17;475
2013-06-20T00:01:00.0000000;Mu;6.35073E+017;755
2012-11-09T00:01:00.0000000;Beta;634,880,160,600,000,000.00000000;626
2016-10-31T00:01:00.0000000;Kappa;636134688600000000;134
2017-05-22T00:01:00.0000000;Iota;6.363100806E+17;687
2015-04-08T00:01:00.0000000;Theta;6.356404806E+17;983
2013-02-09T00:01:00.0000000;Iota;634959648600000000;55
2010-09-27T00:01:00.0000000;Epsilon;6.34211E+017;286
2018-11-23T00:02:00.0000000;Sigma;636785281200000000;853
2018-12-31T00:02:00.0000000;Upsilon;636,818,113,200,000,000.00000000;618
2014-03-15T00:01:00.0000000;Epsilon;635304384600000000;462
2017-10-27T00:01:00.0000000;Epsilon;636446592600000000;972
2017-06-07T00:01:00.0000000;Tau;6.36324E+017;128
2010-06-09T00:01:00.0000000;Kappa;634116384600000000;688
2012-12-17T00:01:00.0000000;Sigma;634912992600000000;912
2013-07-11T00:01:00.0000000;Alpha;6.350909766E+17;99
2017-02-13T00:01:00.0000000;Theta;636,225,408,600,000,000.00000000;964
2010-08-03T00:01:00.0000000;Alpha;6.34164E+017;802
2011-03-27T00:01:00.0000000;Epsilon;6.34368E+017;939
2016-08-07T00:01:00.0000000;Upsilon;6.360612486E+17;648
2011-05-22T00:01:00.0000000;Pi;6.34416E+017;974
2019-04-29T00:01:00.0000000;Zeta;6.369209286E+17;29
2011-10-30T00:01:00.0000000;Omicron;6.34555E+017;385
2010-03-21T00:01:00.0000000;Zeta;634047264600000000;454
2015-05-21T00:01:00.0000000;Psi;635,677,632,600,000,000.00000000;247
2019-03-11T00:01:00.0000000;Psi;636878592600000000;142
2017-01-27T00:01:00.0000000;Theta;636210720600000000;998
2010-05-08T00:01:00.0000000;Psi;6.340887366E+17;863
2019-12-26T00:01:00.0000000;Phi;637129152600000000;361
2014-10-19T00:02:00.0000000;Sigma;6.35493E+017;253
2013-09-13T00:02:00.0000000;Beta;635146273200000000;284
2013-12-09T00:03:00.0000000;Mu;635,221,441,800,000,000.00000000;99
2019-04-14T00:02:00.0000000;Gamma;6.369079692E+17;327
2019-02-04T00:01:00.0000000;Alpha;636848352600000000;222
2013-01-20T00:01:00.0000000;Eta;634,942,368,600,000,000.00000000;993
2014-11-05T00:01:00.0000000;Pi;635507424600000000;640
2013-04-16T00:01:00.0000000;Beta;635016672600000000;204
2018-03-16T00:01:00.0000000;Omicron;636,567,552,600,000,000.00000000;461
2011-12-20T00:02:00.0000000;Zeta;634599361200000000;546
2014-07-28T00:01:00.0000000;Epsilon;6.354210246E+17;500
