TM;Category;unknown;Quantity
2011-03-23T00:01:00.0000000;Kappa;634364352600000000;582
2015-01-06T00:01:00.0000000;Delta;6.355609926E+17;686
2012-09-24T00:01:00.0000000;Xi;6.348404166E+17;984
2011-04-06T00:01:00.0000000;Xi;634376448600000000;265
2017-09-18T00:01:00.0000000;Pi;636,412,896,600,000,000.00000000;395
2012-04-14T00:01:00.0000000;Upsilon;6.346995846E+17;356
2010-03-27T00:01:00.0000000;Eta;634052448600000000;958
2019-08-14T00:01:00.0000000;Omega;6.37013E+017;781
2018-08-17T00:01:00.0000000;Iota;6.367006086E+17;77
2017-01-03T00:01:00.0000000;Eta;636189984600000000;866
2011-09-13T00:01:00.0000000;Mu;6.345146886E+17;803
2019-06-27T00:01:00.0000000;Gamma;636971904600000000;4
2018-08-06T00:02:00.0000000;Eta;636691105200000000;424
2017-04-28T00:01:00.0000000;Theta;636289344600000000;257
2014-11-04T00:01:00.0000000;Gamma;635506560600000000;927
2017-11-17T00:01:00.0000000;Tau;6.36465E+017;824
2012-12-10T00:02:00.0000000;Epsilon;634906945200000000;368
2017-07-23T00:01:00.0000000;Theta;636363648600000000;253
2015-12-21T00:01:00.0000000;Epsilon;635862528600000000;821
2012-11-07T00:02:00.0000000;Psi;634,878,433,200,000,000.00000000;301
2012-06-27T00:01:00.0000000;Beta;6.347635206E+17;428
2012-03-04T00:02:00.0000000;Chi;6.34664E+017;130
2016-08-08T00:01:00.0000000;Omega;6.360621126E+17;652
2011-05-19T00:02:00.0000000;Zeta;6.34414E+017;209
2019-05-22T00:01:00.0000000;Pi;636940800600000000;504
2013-02-12T00:01:00.0000000;Delta;6.34962E+017;876
2016-12-06T00:02:00.0000000;Beta;6.36166E+017;419
2015-09-26T00:01:00.0000000;Beta;635788224600000000;762
2012-05-01T00:02:00.0000000;Gamma;6.347142732E+17;503
2012-04-03T00:01:00.0000000;Omega;634690080600000000;522
2013-01-12T00:02:00.0000000;Tau;6.349354572E+17;793
2019-04-25T00:02:00.0000000;Chi;6.36917E+017;629
2015-07-24T00:02:00.0000000;Kappa;6.357329292E+17;675
2017-11-28T00:02:00.0000000;Zeta;636,474,241,200,000,000.00000000;702
2019-07-09T00:01:00.0000000;Beta;6.369822726E+17;342
2015-04-17T00:01:00.0000000;Gamma;635648256600000000;534
2015-03-30T00:01:00.0000000;Beta;635632704600000000;876
2010-08-26T00:01:00.0000000;Eta;6.341837766E+17;319
2017-07-06T00:01:00.0000000;Nu;636,348,960,600,000,000.00000000;462
2010-01-07T00:01:00.0000000;Upsilon;633984192600000000;27
2013-07-13T00:01:00.0000000;Omega;6.350927046E+17;638
2010-09-24T00:01:00.0000000;Beta;634208832600000000;705
2015-06-20T00:02:00.0000000;Phi;6.357035532E+17;372
2017-08-07T00:02:00.0000000;Alpha;636376609200000000;530
2011-01-10T00:02:00.0000000;Phi;634302145200000000;840
2010-07-19T00:02:00.0000000;Lambda;6.341509452E+17;549
2018-11-02T00:01:00.0000000;Theta;6.367671366E+17;56
2016-11-13T00:02:00.0000000;Chi;636,145,921,200,000,000.00000000;665
2015-06-28T00:01:00.0000000;Xi;635710464600000000;421
2011-12-18T00:01:00.0000000;Upsilon;634,597,632,600,000,000.00000000;792
2017-03-17T00:01:00.0000000;Delta;636253056600000000;279
2017-04-26T00:02:00.0000000;Tau;636,287,617,200,000,000.00000000;353
2010-09-08T00:02:00.0000000;Iota;6.34195E+017;839
2013-09-20T00:01:00.0000000;Iota;6.351523206E+17;753
2017-06-30T00:02:00.0000000;Eta;6.363437772E+17;300
2016-05-30T00:01:00.0000000;Phi;6.360016326E+17;845
2010-12-10T00:01:00.0000000;Omicron;6.34275E+017;884
2016-11-05T00:03:00.0000000;Omicron;6.361390098E+17;298
2014-11-09T00:02:00.0000000;Theta;6.355108812E+17;209
2013-02-16T00:01:00.0000000;Kappa;6.349656966E+17;946
2016-04-15T00:03:00.0000000;Rho;6.35963E+017;145
2018-06-02T00:03:00.0000000;Tau;6.36635E+017;868
2011-05-04T00:01:00.0000000;Eta;6.34401E+017;274
2010-04-09T00:02:00.0000000;Rho;634,063,681,200,000,000.00000000;498
2011-07-03T00:02:00.0000000;Eta;634452481200000000;724
2019-04-11T00:02:00.0000000;Rho;6.369053772E+17;818
2015-04-26T00:01:00.0000000;Gamma;6.356560326E+17;759
2013-07-14T00:02:00.0000000;Mu;6.350935692E+17;126
2019-06-08T00:02:00.0000000;Psi;636955489200000000;96
2019-06-22T00:02:00.0000000;Psi;6.369675852E+17;887
2018-09-21T00:01:00.0000000;Eta;6.36731E+017;139
2010-03-22T00:01:00.0000000;Psi;634048128600000000;661
2011-08-21T00:03:00.0000000;Iota;6.344948178E+17;265
