TM;Category;unknown;Quantity
2012-06-30T00:01:00.0000000;Omicron;634766112600000000;875
2011-02-09T00:01:00.0000000;Beta;634328064600000000;773
2011-08-03T00:01:00.0000000;Upsilon;6.344792646E+17;493
2019-12-06T00:01:00.0000000;Phi;6.371118726E+17;858
2016-06-15T00:01:00.0000000;Upsilon;6.360154566E+17;935
2014-09-22T00:02:00.0000000;Pi;635469409200000000;14
2015-05-27T00:01:00.0000000;Pi;6.35683E+017;146
2018-07-13T00:01:00.0000000;Pi;6.366703686E+17;125
2012-03-05T00:01:00.0000000;Phi;6.34665E+017;136
2017-06-30T00:01:00.0000000;Rho;6.363437766E+17;663
2013-10-25T00:01:00.0000000;Delta;6.35183E+017;325
2015-08-18T00:01:00.0000000;Upsilon;635,754,528,600,000,000.00000000;883
2017-01-18T00:01:00.0000000;Nu;6.362029446E+17;410
2015-11-07T00:01:00.0000000;Alpha;6.358245126E+17;520
2015-01-09T00:01:00.0000000;Kappa;6.355635846E+17;678
2010-02-25T00:02:00.0000000;Epsilon;6.340265292E+17;959
2013-11-24T00:02:00.0000000;Theta;635208481200000000;345
2010-01-04T00:01:00.0000000;Chi;6.339816006E+17;484
2012-05-02T00:02:00.0000000;Phi;6.347151372E+17;472
2012-01-31T00:01:00.0000000;Chi;6.346356486E+17;690
2010-06-26T00:01:00.0000000;Kappa;634131072600000000;77
2011-04-13T00:01:00.0000000;Theta;6.34382E+017;242
2013-01-04T00:01:00.0000000;Epsilon;634928544600000000;834
2012-09-19T00:01:00.0000000;Iota;634836096600000000;725
2018-04-26T00:01:00.0000000;Psi;636602976600000000;608
2013-05-24T00:01:00.0000000;Omicron;635049504600000000;930
2017-06-21T00:01:00.0000000;Alpha;636336000600000000;863
2011-04-26T00:02:00.0000000;Xi;634,393,729,200,000,000.00000000;373
2011-04-29T00:01:00.0000000;Chi;634396320600000000;31
2012-04-16T00:01:00.0000000;Kappa;6.347013126E+17;939
2015-12-31T00:01:00.0000000;Xi;6.35871E+017;693
