TM;Category;unknown;Quantity
2013-12-08T00:01:00.0000000;Gamma;635220576600000000;91
2016-11-15T00:01:00.0000000;Delta;636,147,648,600,000,000.00000000;822
2016-12-03T00:01:00.0000000;Omega;636,163,200,600,000,000.00000000;348
2014-11-26T00:01:00.0000000;Rho;6.35526E+017;872
2014-07-30T00:01:00.0000000;Omicron;6.354227526E+17;771
2014-11-25T00:01:00.0000000;Iota;6.35525E+017;670
2012-10-12T00:01:00.0000000;Kappa;6.348559686E+17;616
2014-03-29T00:01:00.0000000;Epsilon;635,316,480,600,000,000.00000000;881
2013-01-11T00:01:00.0000000;Theta;6.349345926E+17;222
2015-02-03T00:01:00.0000000;Chi;635585184600000000;225
2012-04-04T00:01:00.0000000;Xi;634,690,944,600,000,000.00000000;415
2016-11-19T00:02:00.0000000;Pi;6.36151E+017;326
2011-08-01T00:01:00.0000000;Iota;6.34478E+017;962
2011-05-08T00:01:00.0000000;Pi;6.344040966E+17;599
2013-07-10T00:01:00.0000000;Psi;6.350901126E+17;402
2018-06-03T00:01:00.0000000;Kappa;6.36636E+017;552
2014-06-15T00:01:00.0000000;Nu;6.35384E+017;907
2010-05-19T00:01:00.0000000;Phi;634,098,240,600,000,000.00000000;95
2018-02-01T00:01:00.0000000;Iota;6.365304006E+17;804
2010-03-10T00:01:00.0000000;Gamma;634037760600000000;209
2015-10-26T00:01:00.0000000;Pi;635814144600000000;518
2013-02-12T00:01:00.0000000;Mu;6.34962E+017;269
2014-04-18T00:01:00.0000000;Psi;635,333,760,600,000,000.00000000;753
2010-05-23T00:01:00.0000000;Tau;6.34102E+017;662
2017-05-06T00:01:00.0000000;Pi;6.362962566E+17;567
2018-08-22T00:01:00.0000000;Lambda;6.367049286E+17;383
2014-12-04T00:01:00.0000000;Xi;635532480600000000;279
2013-06-11T00:01:00.0000000;Epsilon;635065056600000000;232
2014-09-26T00:01:00.0000000;Rho;635,472,864,600,000,000.00000000;958
2018-02-10T00:01:00.0000000;Phi;636,538,176,600,000,000.00000000;476
2019-05-30T00:01:00.0000000;Rho;636947712600000000;755
2018-03-06T00:02:00.0000000;Sigma;6.36559E+017;128
2011-01-20T00:02:00.0000000;Alpha;6.343107852E+17;114
2014-09-05T00:01:00.0000000;Delta;635454720600000000;900
2018-09-21T00:01:00.0000000;Zeta;6.36731E+017;285
2010-07-30T00:01:00.0000000;Sigma;634,160,448,600,000,000.00000000;988
2012-06-21T00:02:00.0000000;Sigma;6.34758E+017;309
2015-05-08T00:01:00.0000000;Rho;6.35666E+017;791
2010-12-13T00:01:00.0000000;Xi;6.342779526E+17;638
2017-01-04T00:01:00.0000000;Beta;636190848600000000;583
2010-07-25T00:01:00.0000000;Sigma;634156128600000000;137
2012-08-31T00:02:00.0000000;Iota;634819681200000000;711
2014-03-08T00:01:00.0000000;Nu;635298336600000000;133
2018-08-07T00:01:00.0000000;Phi;636691968600000000;731
2010-11-16T00:01:00.0000000;Eta;634,254,624,600,000,000.00000000;403
2016-06-06T00:02:00.0000000;Eta;636007681200000000;955
2013-09-25T00:01:00.0000000;Upsilon;6.351566406E+17;369
2019-11-06T00:03:00.0000000;Upsilon;637085953800000000;330
2019-12-06T00:01:00.0000000;Kappa;6.371118726E+17;457
2010-07-25T00:02:00.0000000;Nu;634156129200000000;196
2012-03-03T00:03:00.0000000;Beta;6.34663E+017;182
2016-02-16T00:02:00.0000000;Lambda;635,911,777,200,000,000.00000000;13
2011-06-08T00:01:00.0000000;Mu;6.34431E+017;248
2012-07-05T00:01:00.0000000;Lambda;634,770,432,600,000,000.00000000;584
2010-04-08T00:02:00.0000000;Beta;634062817200000000;126
2012-04-26T00:01:00.0000000;Mu;634709952600000000;290
2012-10-03T00:01:00.0000000;Xi;634,848,192,600,000,000.00000000;785
2016-10-24T00:01:00.0000000;Tau;636128640600000000;977
2019-04-06T00:02:00.0000000;Gamma;6.36901E+017;295
2011-11-11T00:01:00.0000000;Chi;634,565,664,600,000,000.00000000;587
2014-06-01T00:02:00.0000000;Chi;6.353717772E+17;202
2015-05-11T00:01:00.0000000;Alpha;6.356689926E+17;166
2016-01-05T00:01:00.0000000;Omicron;6.358754886E+17;539
2016-11-25T00:01:00.0000000;Omega;6.361562886E+17;251
2013-12-14T00:01:00.0000000;Iota;635225760600000000;170
2012-11-18T00:02:00.0000000;Rho;6.348879372E+17;76
2011-10-13T00:01:00.0000000;Delta;6.34541E+017;837
2013-10-25T00:03:00.0000000;Omega;6.351825618E+17;717
2010-10-06T00:01:00.0000000;Alpha;634219200600000000;340
2019-01-11T00:01:00.0000000;Sigma;6.368276166E+17;543
2011-02-28T00:01:00.0000000;Gamma;634344480600000000;50
2018-10-03T00:02:00.0000000;Phi;636,741,217,200,000,000.00000000;309
2012-01-09T00:01:00.0000000;Eta;634616640600000000;299
2012-10-21T00:01:00.0000000;Zeta;634,863,744,600,000,000.00000000;34
2014-07-14T00:01:00.0000000;Sigma;635408928600000000;150
2014-10-17T00:01:00.0000000;Xi;635491008600000000;732
2019-11-30T00:02:00.0000000;Sigma;6.371066892E+17;165
2017-07-23T00:02:00.0000000;Iota;636,363,649,200,000,000.00000000;119
2012-11-10T00:01:00.0000000;Xi;634881024600000000;22
2011-11-02T00:01:00.0000000;Epsilon;6.345578886E+17;47
2013-07-18T00:01:00.0000000;Phi;635,097,024,600,000,000.00000000;897
2016-02-20T00:02:00.0000000;Phi;6.35915E+017;999
2018-06-27T00:01:00.0000000;Beta;6.366565446E+17;512
2014-05-19T00:03:00.0000000;Chi;635360545800000000;512
2018-10-24T00:01:00.0000000;Omicron;636759360600000000;74
2015-07-05T00:01:00.0000000;Rho;6.357165126E+17;115
2011-09-01T00:02:00.0000000;Mu;634504321200000000;521
2011-08-21T00:01:00.0000000;Omicron;6.344948166E+17;387
2016-05-28T00:01:00.0000000;Delta;6.359999046E+17;115
2010-06-25T00:01:00.0000000;Omicron;634130208600000000;49
2017-08-05T00:01:00.0000000;Nu;6.363748806E+17;40
2012-10-11T00:01:00.0000000;Omega;6.348551046E+17;319
2017-12-16T00:01:00.0000000;Phi;636,489,792,600,000,000.00000000;866
2017-09-14T00:02:00.0000000;Mu;636409441200000000;786
2010-07-15T00:01:00.0000000;Tau;634147488600000000;532
2013-11-16T00:01:00.0000000;Eta;6.352015686E+17;713
2019-06-05T00:02:00.0000000;Lambda;6.369528972E+17;657
2011-03-24T00:02:00.0000000;Beta;634365217200000000;506
2012-09-03T00:02:00.0000000;Delta;6.34822E+017;131
2019-08-19T00:01:00.0000000;Tau;6.370176966E+17;671
2015-07-06T00:02:00.0000000;Rho;6.357173772E+17;289
2013-10-20T00:01:00.0000000;Upsilon;635178240600000000;297
2016-10-05T00:01:00.0000000;Delta;636112224600000000;487
2011-07-04T00:02:00.0000000;Epsilon;634453345200000000;626
2017-08-23T00:01:00.0000000;Kappa;6.363904326E+17;839
2011-06-27T00:01:00.0000000;Chi;6.34447E+017;367
2013-09-03T00:02:00.0000000;Gamma;6.351376332E+17;339
2011-08-05T00:03:00.0000000;Psi;6.344809938E+17;797
2015-01-25T00:03:00.0000000;Kappa;6.355774098E+17;491
2017-08-01T00:02:00.0000000;Pi;6.363714252E+17;432
2014-05-17T00:01:00.0000000;Delta;6.353588166E+17;670
2010-04-02T00:03:00.0000000;Gamma;6.340576338E+17;426
2011-10-05T00:02:00.0000000;Rho;634,533,697,200,000,000.00000000;721
2018-07-26T00:02:00.0000000;Omicron;6.36682E+017;345
2012-10-31T00:03:00.0000000;Beta;6.348723858E+17;260
2011-03-14T00:01:00.0000000;Psi;6.343565766E+17;53
2019-03-01T00:02:00.0000000;Eta;6.36870E+017;217
2014-01-11T00:02:00.0000000;Upsilon;6.352499532E+17;609
2019-11-18T00:01:00.0000000;Psi;6.370963206E+17;963
2015-10-17T00:03:00.0000000;Omega;6.35806E+017;504
2018-04-18T00:02:00.0000000;Upsilon;636596065200000000;287
2019-05-11T00:02:00.0000000;Theta;636931297200000000;751
2018-08-24T00:02:00.0000000;Nu;636706657200000000;32
2017-11-08T00:01:00.0000000;Gamma;636456960600000000;521
2013-04-21T00:03:00.0000000;Gamma;635020993800000000;464
2010-01-09T00:03:00.0000000;Iota;633,985,921,800,000,000.00000000;626
2017-06-21T00:03:00.0000000;Omicron;636336001800000000;825
2017-01-12T00:01:00.0000000;Alpha;6.36198E+017;571
2012-02-06T00:01:00.0000000;Theta;634640832600000000;963
2018-04-11T00:01:00.0000000;Nu;6.36590E+017;586
2017-02-26T00:02:00.0000000;Psi;636236641200000000;719
2016-08-27T00:02:00.0000000;Delta;6.360785292E+17;80
2011-07-05T00:04:00.0000000;Chi;634,454,210,400,000,000.00000000;71
2016-12-16T00:02:00.0000000;Tau;636174433200000000;992
2013-05-10T00:02:00.0000000;Zeta;635037409200000000;819
2015-07-28T00:02:00.0000000;Gamma;635736385200000000;518
2014-09-11T00:02:00.0000000;Xi;635459905200000000;722
2013-06-30T00:03:00.0000000;Delta;635,081,473,800,000,000.00000000;238
2012-02-09T00:01:00.0000000;Eta;634,643,424,600,000,000.00000000;978
2016-08-27T00:02:00.0000000;Rho;6.360785292E+17;177
2011-11-17T00:02:00.0000000;Nu;6.34571E+017;418
2018-01-27T00:02:00.0000000;Sigma;6.36526E+017;371
2019-08-24T00:02:00.0000000;Epsilon;637,022,017,200,000,000.00000000;492
2015-04-10T00:01:00.0000000;Omicron;635642208600000000;989
2015-12-06T00:03:00.0000000;Upsilon;635849569800000000;84
2010-12-05T00:03:00.0000000;Nu;634271041800000000;526
2018-01-28T00:03:00.0000000;Omicron;6.36527E+017;805
2010-08-24T00:02:00.0000000;Omicron;6.341820492E+17;115
2011-12-24T00:02:00.0000000;Gamma;6.34603E+017;459
2011-10-31T00:03:00.0000000;Phi;6.345561618E+17;221
2013-02-06T00:03:00.0000000;Epsilon;634,957,057,800,000,000.00000000;876
2012-07-28T00:02:00.0000000;Gamma;6.34790E+017;698
2017-07-07T00:02:00.0000000;Xi;636,349,825,200,000,000.00000000;576
2012-02-29T00:02:00.0000000;Eta;634,660,705,200,000,000.00000000;433
2010-08-22T00:03:00.0000000;Mu;6.341803218E+17;129
2010-11-24T00:02:00.0000000;Alpha;6.342615372E+17;485
2019-07-04T00:04:00.0000000;Alpha;6.36978E+017;394
2014-05-07T00:02:00.0000000;Kappa;635350177200000000;81
2019-12-25T00:03:00.0000000;Beta;637128289800000000;628
2018-06-22T00:04:00.0000000;Phi;6.366522264E+17;931
2010-07-02T00:03:00.0000000;Nu;6.341362578E+17;504
2015-12-23T00:02:00.0000000;Phi;635,864,257,200,000,000.00000000;932
2018-08-29T00:03:00.0000000;Omicron;636710977800000000;436
2014-12-03T00:01:00.0000000;Gamma;6.355316166E+17;586
2014-06-13T00:02:00.0000000;Rho;635382145200000000;568
2017-08-03T00:02:00.0000000;Kappa;6.363731532E+17;161
2012-05-10T00:04:00.0000000;Gamma;634722050400000000;440
2015-08-22T00:01:00.0000000;Chi;635757984600000000;584
2013-09-01T00:02:00.0000000;Upsilon;6.351359052E+17;953
2016-01-05T00:04:00.0000000;Lambda;635875490400000000;197
2018-04-24T00:02:00.0000000;Lambda;636601249200000000;744
2012-05-19T00:01:00.0000000;Sigma;6.347298246E+17;42
2015-01-15T00:03:00.0000000;Chi;635568769800000000;95
2017-11-17T00:03:00.0000000;Psi;6.364647378E+17;39
2013-04-01T00:04:00.0000000;Omega;635003714400000000;729
2016-04-26T00:03:00.0000000;Delta;635,972,257,800,000,000.00000000;616
2014-11-27T00:02:00.0000000;Zeta;6.355264332E+17;44
2010-09-14T00:02:00.0000000;Beta;6.342001932E+17;288
2016-04-24T00:03:00.0000000;Alpha;635970529800000000;411
2016-05-05T00:02:00.0000000;Mu;6.35980E+017;333
2016-11-03T00:01:00.0000000;Iota;6.36137E+017;747
2015-03-03T00:06:00.0000000;Upsilon;635609379600000000;283
2016-08-16T00:02:00.0000000;Delta;636069025200000000;734
2012-03-26T00:03:00.0000000;Gamma;6.346831698E+17;782
2016-08-26T00:03:00.0000000;Rho;6.360776658E+17;405
2014-06-23T00:03:00.0000000;Omega;635390785800000000;363
2018-01-20T00:03:00.0000000;Beta;636,520,033,800,000,000.00000000;114
2010-07-14T00:02:00.0000000;Chi;634146625200000000;346
2019-04-18T00:05:00.0000000;Phi;636,911,427,000,000,000.00000000;437
2018-08-12T00:01:00.0000000;Tau;636696288600000000;702
2014-05-27T00:04:00.0000000;Eta;6.35367E+017;151
2019-06-17T00:05:00.0000000;Lambda;6.36963E+017;136
2017-07-09T00:03:00.0000000;Omicron;636351553800000000;705
2016-12-29T00:02:00.0000000;Lambda;6.361856652E+17;899
2013-11-08T00:05:00.0000000;Lambda;6.35195E+017;388
2019-04-23T00:04:00.0000000;Beta;6.36916E+017;867
2011-02-22T00:04:00.0000000;Rho;6.343392984E+17;104
2013-05-31T00:03:00.0000000;Epsilon;6.35056E+017;711
2011-01-17T00:02:00.0000000;Kappa;6.343081932E+17;935
2012-06-25T00:02:00.0000000;Psi;6.347617932E+17;217
2016-06-19T00:03:00.0000000;Iota;636,018,913,800,000,000.00000000;836
2012-11-18T00:03:00.0000000;Upsilon;6.348879378E+17;98
2017-09-19T00:02:00.0000000;Mu;636413761200000000;799
2016-04-19T00:05:00.0000000;Xi;6.35966211E+17;57
2011-06-30T00:03:00.0000000;Zeta;6.344498898E+17;670
2018-05-08T00:03:00.0000000;Kappa;636,613,345,800,000,000.00000000;959
2010-05-01T00:03:00.0000000;Iota;634082689800000000;408
2016-09-05T00:01:00.0000000;Theta;636086304600000000;498
2018-04-07T00:03:00.0000000;Zeta;636586561800000000;107
2017-03-02T00:02:00.0000000;Rho;636,240,097,200,000,000.00000000;50
2018-12-24T00:04:00.0000000;Alpha;6.368120664E+17;93
2013-04-17T00:03:00.0000000;Beta;635,017,537,800,000,000.00000000;711
2013-06-20T00:02:00.0000000;Beta;6.350728332E+17;269
2015-08-29T00:05:00.0000000;Rho;6.35764035E+17;271
2019-04-10T00:04:00.0000000;Beta;6.369045144E+17;216
2019-10-29T00:02:00.0000000;Phi;6.370790412E+17;206
2018-10-10T00:03:00.0000000;Omega;6.367472658E+17;878
2017-07-17T00:03:00.0000000;Mu;6.363584658E+17;380
2017-11-05T00:03:00.0000000;Lambda;636454369800000000;743
2012-01-12T00:04:00.0000000;Theta;6.346192344E+17;653
2018-12-13T00:05:00.0000000;Theta;636802563000000000;127
2018-10-30T00:02:00.0000000;Theta;6.367645452E+17;564
2013-07-19T00:01:00.0000000;Xi;635,097,888,600,000,000.00000000;379
2010-05-29T00:02:00.0000000;Zeta;6.341068812E+17;737
2016-07-08T00:02:00.0000000;Upsilon;636,035,329,200,000,000.00000000;126
2015-02-25T00:03:00.0000000;Xi;6.356041938E+17;665
2015-10-03T00:03:00.0000000;Gamma;6.357942738E+17;821
2018-06-19T00:03:00.0000000;Pi;6.36650E+017;175
2019-06-16T00:04:00.0000000;Tau;6.36962E+017;738
2016-05-22T00:04:00.0000000;Zeta;6.359947224E+17;415
2012-05-16T00:02:00.0000000;Tau;6.34727E+017;226
2019-03-08T00:03:00.0000000;Gamma;6.368760018E+17;666
2015-02-03T00:05:00.0000000;Phi;6.35585E+017;859
2015-07-15T00:02:00.0000000;Chi;635725153200000000;133
2019-03-21T00:03:00.0000000;Nu;6.368872338E+17;95
2014-08-18T00:03:00.0000000;Lambda;635439169800000000;235
2015-04-28T00:05:00.0000000;Pi;635,657,763,000,000,000.00000000;735
