TM;Category;unknown;Quantity
2012-06-30T00:01:00.0000000;Gamma;634766112600000000;594
2019-02-05T00:01:00.0000000;Upsilon;636,849,216,600,000,000.00000000;452
2014-02-01T00:01:00.0000000;Nu;635268096600000000;933
2019-01-08T00:01:00.0000000;Iota;6.36825E+017;312
2010-04-29T00:01:00.0000000;Tau;634,080,960,600,000,000.00000000;450
2011-05-20T00:01:00.0000000;Mu;6.34414E+017;329
2011-11-26T00:02:00.0000000;Rho;634578625200000000;404
2014-09-23T00:01:00.0000000;Iota;635470272600000000;930
2013-03-11T00:01:00.0000000;Upsilon;634985568600000000;683
2018-03-23T00:01:00.0000000;Lambda;6.36574E+017;611
2018-10-09T00:01:00.0000000;Pi;6.36746E+017;372
2010-08-26T00:01:00.0000000;Omicron;6.341837766E+17;531
2015-11-03T00:01:00.0000000;Zeta;635821056600000000;757
2016-02-07T00:01:00.0000000;Xi;6.359040006E+17;979
2015-09-28T00:01:00.0000000;Upsilon;635789952600000000;72
2016-03-14T00:01:00.0000000;Alpha;6.359351046E+17;684
2011-11-25T00:01:00.0000000;Kappa;6.345777606E+17;841
2011-10-30T00:01:00.0000000;Rho;6.34555E+017;917
2014-12-22T00:01:00.0000000;Delta;635548032600000000;860
2015-06-08T00:01:00.0000000;Upsilon;635,693,184,600,000,000.00000000;44
2016-02-04T00:01:00.0000000;Rho;6.35901E+017;327
2014-08-29T00:01:00.0000000;Phi;6.35449E+017;315
2014-11-23T00:01:00.0000000;Phi;635522976600000000;632
2012-04-06T00:01:00.0000000;Phi;634,692,672,600,000,000.00000000;589
2010-07-14T00:01:00.0000000;Gamma;634146624600000000;17
2013-08-30T00:02:00.0000000;Delta;6.35134E+017;245
2017-11-17T00:01:00.0000000;Sigma;6.36465E+017;404
2019-06-25T00:01:00.0000000;Chi;6.369701766E+17;589
2015-12-23T00:01:00.0000000;Kappa;635,864,256,600,000,000.00000000;64
2010-08-17T00:01:00.0000000;Alpha;634,176,000,600,000,000.00000000;723
2010-07-31T00:01:00.0000000;Mu;634161312600000000;553
2011-06-16T00:01:00.0000000;Zeta;634437792600000000;738
2016-03-15T00:01:00.0000000;Beta;6.359359686E+17;528
2014-08-10T00:01:00.0000000;Pi;6.35432E+017;830
2016-01-25T00:01:00.0000000;Kappa;635892768600000000;185
2014-10-03T00:02:00.0000000;Omicron;6.35479E+017;423
2010-09-08T00:01:00.0000000;Alpha;6.34195E+017;194
2013-09-29T00:01:00.0000000;Kappa;635,160,096,600,000,000.00000000;136
2016-10-09T00:01:00.0000000;Iota;636,115,680,600,000,000.00000000;67
2014-03-18T00:01:00.0000000;Sigma;6.35307E+017;51
2016-11-26T00:01:00.0000000;Pi;6.361571526E+17;65
2013-06-23T00:01:00.0000000;Tau;6.350754246E+17;633
2017-01-28T00:01:00.0000000;Epsilon;636211584600000000;125
2012-12-14T00:01:00.0000000;Epsilon;634,910,400,600,000,000.00000000;77
2017-01-16T00:02:00.0000000;Xi;6.362012172E+17;578
2019-05-02T00:01:00.0000000;Chi;6.369235206E+17;152
2016-07-21T00:02:00.0000000;Omega;6.360465612E+17;798
2016-01-01T00:01:00.0000000;Alpha;6.358720326E+17;676
2015-09-24T00:01:00.0000000;Zeta;635,786,496,600,000,000.00000000;535
2012-12-01T00:02:00.0000000;Omega;6.34899E+017;349
2011-09-28T00:02:00.0000000;Kappa;6.345276492E+17;431
2018-01-06T00:03:00.0000000;Epsilon;636507937800000000;805
2018-06-09T00:01:00.0000000;Delta;6.366409926E+17;60
2018-11-04T00:01:00.0000000;Upsilon;636768864600000000;747
2014-07-01T00:01:00.0000000;Tau;635397696600000000;575
2015-03-03T00:03:00.0000000;Omega;635609377800000000;985
2015-03-09T00:01:00.0000000;Gamma;635,614,560,600,000,000.00000000;154
2014-10-03T00:02:00.0000000;Xi;6.35479E+017;719
2015-09-18T00:03:00.0000000;Theta;635781313800000000;685
2017-11-08T00:01:00.0000000;Zeta;636456960600000000;509
2018-06-21T00:02:00.0000000;Sigma;6.36651E+017;408
2019-11-05T00:01:00.0000000;Pi;637,085,088,600,000,000.00000000;130
2012-11-13T00:01:00.0000000;Lambda;6.34884E+017;366
2019-01-22T00:03:00.0000000;Rho;636837121800000000;967
2014-07-07T00:02:00.0000000;Chi;6.354028812E+17;152
2014-08-06T00:01:00.0000000;Pi;635428800600000000;850
2013-09-22T00:02:00.0000000;Epsilon;6.351540492E+17;403
2019-04-08T00:02:00.0000000;Zeta;6.36903E+017;896
2017-10-08T00:02:00.0000000;Alpha;636430177200000000;141
2017-01-01T00:01:00.0000000;Kappa;6.361882566E+17;413
2014-01-21T00:02:00.0000000;Phi;6.35259E+017;533
2018-06-23T00:02:00.0000000;Psi;6.366530892E+17;776
2018-08-31T00:03:00.0000000;Upsilon;6.36713E+017;384
2012-06-06T00:01:00.0000000;Kappa;6.347453766E+17;61
2018-12-18T00:02:00.0000000;Rho;6.36807E+017;652
2019-10-01T00:02:00.0000000;Xi;637054849200000000;724
2015-11-01T00:02:00.0000000;Kappa;635819329200000000;691
2014-05-17T00:01:00.0000000;Psi;6.353588166E+17;950
2019-01-22T00:02:00.0000000;Pi;636837121200000000;682
2018-04-18T00:02:00.0000000;Xi;636596065200000000;213
2014-11-01T00:01:00.0000000;Eta;635,503,968,600,000,000.00000000;645
2010-07-26T00:02:00.0000000;Tau;634156993200000000;965
2014-11-28T00:01:00.0000000;Omega;6.355272966E+17;457
2016-09-06T00:03:00.0000000;Phi;6.36087E+017;233
2019-10-24T00:01:00.0000000;Mu;6.37075E+017;990
2012-06-28T00:02:00.0000000;Sigma;6.347643852E+17;123
2015-01-16T00:01:00.0000000;Sigma;635569632600000000;199
2017-01-29T00:02:00.0000000;Omicron;6.36212E+017;109
