TM;Category;unknown;Quantity
2011-03-15T00:01:00.0000000;Xi;6.343574406E+17;193
2016-05-05T00:01:00.0000000;Chi;6.35980E+017;96
2013-01-08T00:01:00.0000000;Omicron;6.34932E+017;847
2015-09-18T00:01:00.0000000;Upsilon;6.357813126E+17;127
2018-10-09T00:01:00.0000000;Tau;6.36746E+017;186
2016-12-26T00:01:00.0000000;Omega;6.36183E+017;229
2010-04-04T00:01:00.0000000;Eta;6.340593606E+17;204
2014-04-02T00:01:00.0000000;Mu;635319936600000000;691
2014-07-02T00:01:00.0000000;Pi;635398560600000000;550
2019-01-12T00:01:00.0000000;Delta;6.368284806E+17;67
2019-11-04T00:01:00.0000000;Rho;637,084,224,600,000,000.00000000;139
2014-04-25T00:01:00.0000000;Psi;6.353398086E+17;317
2017-11-24T00:01:00.0000000;Mu;6.364707846E+17;430
2016-09-10T00:01:00.0000000;Tau;6.360906246E+17;517
2019-04-25T00:01:00.0000000;Pi;6.36917E+017;261
2015-01-10T00:01:00.0000000;Rho;635564448600000000;895
2013-10-03T00:02:00.0000000;Tau;635163553200000000;963
2010-03-17T00:01:00.0000000;Iota;6.340438086E+17;529
2019-03-06T00:01:00.0000000;Rho;6.368742726E+17;327
2014-01-25T00:01:00.0000000;Delta;6.352620486E+17;704
2013-04-29T00:02:00.0000000;Psi;6.350279052E+17;959
2018-08-06T00:01:00.0000000;Kappa;636691104600000000;707
2011-05-24T00:01:00.0000000;Psi;6.344179206E+17;702
2018-08-27T00:01:00.0000000;Delta;636,709,248,600,000,000.00000000;373
2014-11-03T00:02:00.0000000;Upsilon;635505697200000000;78
2015-09-21T00:01:00.0000000;Pi;635783904600000000;846
2016-05-16T00:01:00.0000000;Sigma;635,989,536,600,000,000.00000000;107
2015-11-23T00:01:00.0000000;Nu;6.35838E+017;576
2012-07-26T00:01:00.0000000;Gamma;634788576600000000;968
2018-01-04T00:02:00.0000000;Theta;636,506,209,200,000,000.00000000;675
2015-01-24T00:01:00.0000000;Theta;6.355765446E+17;925
2012-02-12T00:02:00.0000000;Epsilon;634646017200000000;255
2012-11-22T00:01:00.0000000;Xi;634891392600000000;641
2018-10-31T00:01:00.0000000;Alpha;6.367654086E+17;789
2016-08-03T00:01:00.0000000;Delta;6.36058E+017;746
2016-09-29T00:01:00.0000000;Upsilon;6.361070406E+17;473
2019-07-15T00:01:00.0000000;Omega;636987456600000000;193
2012-10-17T00:02:00.0000000;Sigma;634860289200000000;892
2013-09-03T00:01:00.0000000;Iota;6.351376326E+17;452
2013-10-01T00:02:00.0000000;Iota;635161825200000000;994
2017-12-26T00:01:00.0000000;Tau;6.364984326E+17;187
2013-07-12T00:01:00.0000000;Chi;6.350918406E+17;830
2012-08-26T00:01:00.0000000;Lambda;634,815,360,600,000,000.00000000;681
2015-03-26T00:03:00.0000000;Alpha;635,629,249,800,000,000.00000000;566
2016-02-04T00:01:00.0000000;Xi;6.35901E+017;641
2016-05-29T00:01:00.0000000;Pi;6.360007686E+17;330
2015-04-01T00:02:00.0000000;Tau;6.35634E+017;815
2013-08-06T00:01:00.0000000;Zeta;635,113,440,600,000,000.00000000;806
2014-10-18T00:02:00.0000000;Phi;635491873200000000;602
2018-03-28T00:01:00.0000000;Beta;6.365779206E+17;836
2010-08-31T00:01:00.0000000;Psi;634188096600000000;3
2013-06-09T00:01:00.0000000;Lambda;635063328600000000;19
2010-03-27T00:02:00.0000000;Upsilon;634052449200000000;598
2011-12-23T00:02:00.0000000;Upsilon;6.34602E+017;943
2013-11-14T00:02:00.0000000;Rho;6.351998412E+17;615
2013-03-23T00:02:00.0000000;Alpha;6.349959372E+17;754
2019-04-10T00:01:00.0000000;Epsilon;6.369045126E+17;118
2016-07-10T00:04:00.0000000;Epsilon;636037058400000000;774
2010-01-15T00:01:00.0000000;Eta;633991104600000000;36
2017-04-14T00:01:00.0000000;Zeta;6.36277E+017;233
2011-06-04T00:02:00.0000000;Tau;634427425200000000;79
2016-02-12T00:03:00.0000000;Epsilon;635908321800000000;626
2017-09-22T00:03:00.0000000;Theta;6.36416E+017;764
2019-11-15T00:02:00.0000000;Xi;6.370937292E+17;613
2015-07-02T00:01:00.0000000;Gamma;6.35714E+017;510
2018-08-13T00:02:00.0000000;Sigma;636697153200000000;864
2014-05-15T00:02:00.0000000;Mu;6.353570892E+17;957
2011-09-01T00:02:00.0000000;Iota;634504321200000000;562
2014-09-15T00:02:00.0000000;Pi;6.35463E+017;488
2017-10-16T00:01:00.0000000;Omega;6.364370886E+17;961
2010-12-19T00:03:00.0000000;Tau;634,283,137,800,000,000.00000000;330
2018-04-21T00:02:00.0000000;Xi;636,598,657,200,000,000.00000000;747
2019-09-19T00:02:00.0000000;Zeta;6.370444812E+17;575
2015-06-26T00:02:00.0000000;Kappa;635,708,737,200,000,000.00000000;602
2013-07-18T00:01:00.0000000;Nu;635,097,024,600,000,000.00000000;883
2017-11-23T00:01:00.0000000;Psi;6.364699206E+17;819
2017-07-14T00:02:00.0000000;Phi;6.363558732E+17;125
2019-05-27T00:03:00.0000000;Mu;636945121800000000;450
2012-12-12T00:01:00.0000000;Iota;634908672600000000;366
2017-10-13T00:02:00.0000000;Pi;6.364344972E+17;139
2014-12-02T00:03:00.0000000;Upsilon;6.355307538E+17;142
2019-09-28T00:02:00.0000000;Omega;637,052,257,200,000,000.00000000;419
2014-02-16T00:02:00.0000000;Chi;6.352810572E+17;640
2014-01-18T00:01:00.0000000;Rho;635256000600000000;940
2017-08-21T00:03:00.0000000;Mu;6.363887058E+17;130
2017-07-28T00:01:00.0000000;Sigma;636367968600000000;931
2017-10-04T00:02:00.0000000;Lambda;636,426,721,200,000,000.00000000;413
2016-09-12T00:01:00.0000000;Sigma;6.360923526E+17;557
2017-04-26T00:02:00.0000000;Zeta;636,287,617,200,000,000.00000000;435
2018-08-18T00:03:00.0000000;Epsilon;6.367014738E+17;348
2013-10-26T00:02:00.0000000;Theta;6.351834252E+17;436
2011-06-09T00:03:00.0000000;Sigma;6.344317458E+17;838
2019-04-21T00:02:00.0000000;Iota;636914017200000000;330
2012-05-23T00:01:00.0000000;Sigma;6.347332806E+17;596
2015-10-29T00:02:00.0000000;Mu;635,816,737,200,000,000.00000000;677
2011-03-08T00:01:00.0000000;Phi;6.34351E+017;88
2018-06-09T00:03:00.0000000;Chi;6.366409938E+17;646
2019-11-22T00:02:00.0000000;Alpha;637,099,777,200,000,000.00000000;466
2011-05-30T00:02:00.0000000;Theta;634423105200000000;639
2018-07-22T00:02:00.0000000;Beta;636,678,145,200,000,000.00000000;530
2019-10-25T00:01:00.0000000;Tau;6.37076E+017;684
2014-07-15T00:03:00.0000000;Phi;635,409,793,800,000,000.00000000;523
2013-05-13T00:02:00.0000000;Phi;6.35040E+017;631
2017-09-28T00:01:00.0000000;Pi;6.364215366E+17;687
2014-10-17T00:02:00.0000000;Epsilon;635491009200000000;921
2011-05-05T00:02:00.0000000;Epsilon;6.344015052E+17;126
2019-02-08T00:02:00.0000000;Upsilon;636851809200000000;673
2010-08-21T00:01:00.0000000;Rho;6.34179E+017;170
2017-11-05T00:03:00.0000000;Psi;636454369800000000;39
2015-07-28T00:02:00.0000000;Omicron;635736385200000000;715
2012-03-13T00:01:00.0000000;Chi;634671936600000000;984
2010-05-09T00:03:00.0000000;Zeta;6.340896018E+17;96
2015-09-07T00:02:00.0000000;Gamma;635771809200000000;358
2011-10-23T00:01:00.0000000;Theta;634549248600000000;6
2011-04-30T00:02:00.0000000;Upsilon;634397185200000000;550
2017-06-22T00:01:00.0000000;Omicron;636336864600000000;104
2013-11-06T00:02:00.0000000;Upsilon;635192929200000000;600
2017-07-06T00:04:00.0000000;Phi;636348962400000000;334
2014-12-17T00:02:00.0000000;Phi;6.355437132E+17;93
2013-03-30T00:01:00.0000000;Lambda;635001984600000000;391
2016-08-29T00:02:00.0000000;Sigma;636080257200000000;389
2019-02-27T00:01:00.0000000;Chi;636868224600000000;390
2013-04-22T00:01:00.0000000;Pi;635021856600000000;579
2011-08-18T00:01:00.0000000;Beta;6.34492E+017;962
2018-10-10T00:02:00.0000000;Pi;6.367472652E+17;216
2018-08-09T00:02:00.0000000;Zeta;636,693,697,200,000,000.00000000;338
2019-04-05T00:04:00.0000000;Xi;6.36900E+017;652
2014-10-12T00:01:00.0000000;Zeta;635486688600000000;57
2012-10-09T00:01:00.0000000;Alpha;6.34853E+017;90
2015-02-04T00:03:00.0000000;Alpha;6.35586E+017;863
2010-03-24T00:02:00.0000000;Rho;634,049,857,200,000,000.00000000;300
2015-08-21T00:03:00.0000000;Kappa;635757121800000000;645
2018-10-20T00:01:00.0000000;Gamma;636,755,904,600,000,000.00000000;599
2014-08-19T00:01:00.0000000;Upsilon;635440032600000000;788
2014-11-29T00:02:00.0000000;Xi;6.355281612E+17;842
2015-11-20T00:02:00.0000000;Nu;635835745200000000;947
2010-05-16T00:02:00.0000000;Omega;634,095,649,200,000,000.00000000;637
2019-10-27T00:03:00.0000000;Xi;6.370773138E+17;639
2010-04-28T00:03:00.0000000;Beta;634,080,097,800,000,000.00000000;332
2013-03-20T00:01:00.0000000;Lambda;6.34993E+017;871
2016-07-27T00:02:00.0000000;Theta;636,051,745,200,000,000.00000000;66
2015-10-11T00:03:00.0000000;Upsilon;635,801,185,800,000,000.00000000;507
2016-04-06T00:02:00.0000000;Upsilon;635954977200000000;275
2013-04-08T00:02:00.0000000;Epsilon;6.35010E+017;499
2011-09-27T00:01:00.0000000;Zeta;6.345267846E+17;164
2019-12-04T00:01:00.0000000;Theta;6.371101446E+17;17
2013-12-25T00:02:00.0000000;Omega;635235265200000000;147
2013-03-30T00:03:00.0000000;Iota;635,001,985,800,000,000.00000000;541
2011-12-20T00:02:00.0000000;Chi;634599361200000000;203
2019-06-13T00:02:00.0000000;Rho;636,959,809,200,000,000.00000000;150
2019-12-18T00:02:00.0000000;Epsilon;6.371222412E+17;820
2013-12-03T00:04:00.0000000;Pi;6.352162584E+17;443
2015-02-06T00:03:00.0000000;Epsilon;6.35588E+017;118
2013-02-25T00:02:00.0000000;Beta;634,973,473,200,000,000.00000000;722
2016-06-02T00:02:00.0000000;Delta;636,004,225,200,000,000.00000000;461
2012-01-21T00:04:00.0000000;Alpha;634,627,010,400,000,000.00000000;579
2016-07-09T00:02:00.0000000;Mu;636,036,193,200,000,000.00000000;57
2019-02-07T00:01:00.0000000;Kappa;636,850,944,600,000,000.00000000;7
2019-09-27T00:01:00.0000000;Chi;637051392600000000;871
2011-01-20T00:03:00.0000000;Zeta;634310785800000000;606
2019-06-21T00:02:00.0000000;Theta;6.369667212E+17;659
2013-06-13T00:01:00.0000000;Gamma;635,066,784,600,000,000.00000000;359
2012-08-18T00:02:00.0000000;Omicron;6.348084492E+17;637
2019-05-25T00:02:00.0000000;Omicron;636,943,393,200,000,000.00000000;544
2016-12-03T00:03:00.0000000;Epsilon;636163201800000000;740
2015-08-29T00:02:00.0000000;Kappa;6.357640332E+17;725
2011-04-07T00:03:00.0000000;Chi;634,377,313,800,000,000.00000000;768
2010-11-23T00:02:00.0000000;Gamma;6.342606732E+17;547
2010-12-25T00:02:00.0000000;Pi;6.34288E+017;559
2017-04-04T00:03:00.0000000;Phi;636268609800000000;110
2017-10-30T00:02:00.0000000;Theta;6.36449E+017;708
2012-01-03T00:02:00.0000000;Pi;634,611,457,200,000,000.00000000;56
2017-10-13T00:02:00.0000000;Omega;6.364344972E+17;601
2014-01-29T00:02:00.0000000;Xi;6.352655052E+17;130
2019-09-03T00:02:00.0000000;Gamma;6.370306572E+17;619
2019-04-15T00:01:00.0000000;Theta;6.369088326E+17;297
2018-02-14T00:03:00.0000000;Xi;6.36542E+017;528
2011-08-04T00:02:00.0000000;Mu;6.344801292E+17;251
2018-11-04T00:01:00.0000000;Beta;636768864600000000;272
2015-01-06T00:02:00.0000000;Xi;6.355609932E+17;344
2012-10-09T00:01:00.0000000;Omicron;6.34853E+017;526
2015-12-20T00:03:00.0000000;Kappa;635861665800000000;663
2013-04-07T00:02:00.0000000;Theta;6.35009E+017;44
2014-07-11T00:02:00.0000000;Alpha;6.354063372E+17;632
2012-09-01T00:03:00.0000000;Beta;6.34821E+017;980
2010-01-12T00:02:00.0000000;Beta;633988513200000000;650
2019-04-01T00:02:00.0000000;Sigma;636,896,737,200,000,000.00000000;314
2018-01-08T00:02:00.0000000;Omega;6.36510E+017;180
2015-06-02T00:04:00.0000000;Delta;635688002400000000;616
2019-05-19T00:01:00.0000000;Eta;6.369382086E+17;590
2011-07-20T00:04:00.0000000;Upsilon;634467170400000000;495
2015-12-09T00:02:00.0000000;Theta;635852161200000000;993
2011-02-10T00:02:00.0000000;Sigma;634328929200000000;528
2019-05-01T00:03:00.0000000;Alpha;6.369226578E+17;940
2015-05-29T00:02:00.0000000;Sigma;6.356845452E+17;167
2010-09-03T00:03:00.0000000;Epsilon;634190689800000000;546
2016-09-18T00:03:00.0000000;Mu;636,097,537,800,000,000.00000000;408
2016-03-13T00:02:00.0000000;Upsilon;6.359342412E+17;149
2018-07-30T00:04:00.0000000;Theta;6.366850584E+17;508
2012-08-03T00:03:00.0000000;Rho;6.347954898E+17;231
2014-10-13T00:02:00.0000000;Eta;635,487,553,200,000,000.00000000;775
2013-11-16T00:04:00.0000000;Delta;6.352015704E+17;376
2014-03-22T00:03:00.0000000;Gamma;6.353104338E+17;227
2012-06-15T00:06:00.0000000;Eta;634753155600000000;277
2011-09-09T00:03:00.0000000;Theta;6.345112338E+17;554
2010-01-19T00:03:00.0000000;Theta;6.339945618E+17;487
2017-01-03T00:02:00.0000000;Upsilon;636189985200000000;429
2014-01-14T00:04:00.0000000;Chi;635,252,546,400,000,000.00000000;288
2017-09-12T00:03:00.0000000;Psi;636407713800000000;198
2018-05-21T00:02:00.0000000;Iota;6.366245772E+17;33
2018-05-25T00:03:00.0000000;Omicron;636628033800000000;664
2017-08-21T00:03:00.0000000;Iota;6.363887058E+17;145
2017-05-28T00:04:00.0000000;Sigma;636,315,266,400,000,000.00000000;403
2012-06-18T00:04:00.0000000;Zeta;634755746400000000;754
2011-09-23T00:03:00.0000000;Alpha;6.34523E+017;208
2017-02-06T00:05:00.0000000;Beta;636219363000000000;45
2012-01-14T00:02:00.0000000;Eta;6.346209612E+17;637
2019-11-11T00:05:00.0000000;Epsilon;6.37090275E+17;443
2010-08-14T00:04:00.0000000;Tau;634,173,410,400,000,000.00000000;580
