TM;Category;unknown;Quantity
2013-12-11T00:01:00.0000000;Sigma;635,223,168,600,000,000.00000000;657
2015-02-06T00:01:00.0000000;Pi;6.35588E+017;765
2010-12-12T00:01:00.0000000;Rho;6.342770886E+17;281
2011-04-26T00:01:00.0000000;Kappa;634,393,728,600,000,000.00000000;904
2016-08-28T00:01:00.0000000;Eta;6.360793926E+17;416
2012-05-07T00:01:00.0000000;Delta;634719456600000000;596
2013-12-06T00:01:00.0000000;Theta;6.352188486E+17;722
2010-06-10T00:01:00.0000000;Zeta;6.34117E+017;468
2018-10-17T00:01:00.0000000;Kappa;636753312600000000;91
2019-12-06T00:01:00.0000000;Chi;6.371118726E+17;798
2015-12-26T00:01:00.0000000;Xi;635866848600000000;392
2015-11-25T00:01:00.0000000;Theta;6.358400646E+17;753
2013-02-10T00:01:00.0000000;Xi;634960512600000000;665
2018-05-19T00:01:00.0000000;Lambda;6.366228486E+17;779
2014-03-15T00:01:00.0000000;Kappa;635304384600000000;93
2013-09-11T00:01:00.0000000;Nu;635,144,544,600,000,000.00000000;799
2013-10-22T00:02:00.0000000;Nu;6.35180E+017;489
2015-05-18T00:01:00.0000000;Zeta;635675040600000000;171
2012-05-28T00:01:00.0000000;Kappa;634,737,600,600,000,000.00000000;972
2013-01-02T00:01:00.0000000;Lambda;634,926,816,600,000,000.00000000;962
2016-05-11T00:01:00.0000000;Epsilon;6.359852166E+17;738
2019-12-09T00:01:00.0000000;Pi;637114464600000000;397
2011-01-01T00:01:00.0000000;Tau;6.342943686E+17;740
2013-02-14T00:01:00.0000000;Psi;6.349639686E+17;741
2018-01-19T00:02:00.0000000;Mu;636519169200000000;997
2018-09-20T00:01:00.0000000;Upsilon;6.36730E+017;487
2011-09-18T00:01:00.0000000;Delta;634,519,008,600,000,000.00000000;109
2016-10-10T00:01:00.0000000;Gamma;636116544600000000;959
2018-04-27T00:01:00.0000000;Epsilon;636603840600000000;612
2010-12-10T00:01:00.0000000;Theta;6.34275E+017;130
2014-08-06T00:01:00.0000000;Phi;635428800600000000;901
2018-09-24T00:01:00.0000000;Delta;6.367334406E+17;929
2014-03-09T00:01:00.0000000;Psi;635299200600000000;207
2011-10-25T00:02:00.0000000;Mu;634,550,977,200,000,000.00000000;363
2016-07-20T00:01:00.0000000;Pi;6.360456966E+17;146
2019-07-17T00:01:00.0000000;Beta;636989184600000000;189
2016-11-21T00:01:00.0000000;Phi;6.36153E+017;546
2014-09-01T00:01:00.0000000;Beta;6.354512646E+17;83
2015-10-30T00:02:00.0000000;Psi;635,817,601,200,000,000.00000000;675
2014-04-01T00:01:00.0000000;Psi;635319072600000000;802
2015-07-20T00:02:00.0000000;Eta;6.35729E+017;589
2015-11-11T00:01:00.0000000;Phi;6.358279686E+17;299
2011-06-16T00:01:00.0000000;Pi;634437792600000000;993
2010-03-09T00:01:00.0000000;Nu;634036896600000000;807
2015-04-17T00:01:00.0000000;Zeta;635648256600000000;67
2014-06-15T00:03:00.0000000;Nu;6.35384E+017;191
2018-09-10T00:02:00.0000000;Phi;636721345200000000;41
2012-04-15T00:01:00.0000000;Beta;6.347004486E+17;371
2013-01-05T00:01:00.0000000;Iota;634929408600000000;682
2019-02-02T00:02:00.0000000;Alpha;636846625200000000;352
2013-09-11T00:01:00.0000000;Theta;635,144,544,600,000,000.00000000;613
2017-05-08T00:02:00.0000000;Pi;6.362979852E+17;220
2013-05-02T00:01:00.0000000;Psi;6.350304966E+17;504
2017-10-27T00:01:00.0000000;Rho;636446592600000000;395
2013-01-23T00:02:00.0000000;Iota;6.34945E+017;290
2014-10-08T00:01:00.0000000;Chi;6.354832326E+17;735
2011-08-30T00:01:00.0000000;Alpha;634,502,592,600,000,000.00000000;993
2017-08-13T00:03:00.0000000;Beta;636381793800000000;1
2011-06-08T00:01:00.0000000;Pi;6.34431E+017;191
2012-04-25T00:04:00.0000000;Beta;6.34709E+017;514
2012-09-18T00:01:00.0000000;Sigma;634835232600000000;101
2015-03-05T00:02:00.0000000;Pi;635611105200000000;764
2014-02-27T00:01:00.0000000;Chi;6.35291E+017;856
2014-12-01T00:01:00.0000000;Tau;6.355298886E+17;164
2016-12-07T00:01:00.0000000;Gamma;6.36167E+017;71
2016-01-14T00:01:00.0000000;Lambda;635883264600000000;250
2019-09-02T00:02:00.0000000;Pi;6.370297932E+17;849
2011-03-04T00:02:00.0000000;Delta;634347937200000000;351
2014-01-17T00:01:00.0000000;Omega;635,255,136,600,000,000.00000000;361
2017-06-16T00:01:00.0000000;Psi;636331680600000000;510
2015-02-27T00:01:00.0000000;Delta;6.356059206E+17;762
2019-12-03T00:01:00.0000000;Psi;6.371092806E+17;666
2015-04-17T00:02:00.0000000;Iota;635648257200000000;28
2014-10-16T00:01:00.0000000;Eta;635,490,144,600,000,000.00000000;783
2010-02-04T00:01:00.0000000;Alpha;6.34008E+017;223
2016-03-09T00:02:00.0000000;Rho;6.35931E+017;519
2011-03-15T00:02:00.0000000;Omicron;6.343574412E+17;683
2019-08-10T00:02:00.0000000;Iota;637009921200000000;994
2015-12-01T00:02:00.0000000;Omicron;635845249200000000;802
2017-07-27T00:01:00.0000000;Sigma;636367104600000000;395
2013-07-21T00:01:00.0000000;Rho;635099616600000000;607
2011-05-25T00:01:00.0000000;Upsilon;6.344187846E+17;746
2018-08-08T00:01:00.0000000;Sigma;636,692,832,600,000,000.00000000;486
2019-04-29T00:02:00.0000000;Lambda;6.369209292E+17;798
2017-08-28T00:01:00.0000000;Iota;636394752600000000;251
2014-10-27T00:01:00.0000000;Psi;6.354996486E+17;535
2018-08-22T00:02:00.0000000;Chi;6.367049292E+17;976
2019-11-22T00:02:00.0000000;Chi;637,099,777,200,000,000.00000000;907
2013-08-07T00:03:00.0000000;Beta;635114305800000000;797
2015-08-27T00:02:00.0000000;Kappa;6.357623052E+17;868
2013-02-24T00:02:00.0000000;Alpha;634,972,609,200,000,000.00000000;406
2016-01-15T00:01:00.0000000;Upsilon;635884128600000000;332
2011-07-28T00:01:00.0000000;Delta;634474080600000000;525
2019-05-15T00:01:00.0000000;Psi;6.36935E+017;752
2017-01-15T00:02:00.0000000;Gamma;6.362003532E+17;73
2015-10-17T00:02:00.0000000;Rho;6.35806E+017;905
2014-04-24T00:02:00.0000000;Omega;6.353389452E+17;598
2011-10-02T00:01:00.0000000;Phi;634531104600000000;175
2017-02-23T00:01:00.0000000;Xi;6.362340486E+17;462
2015-12-09T00:01:00.0000000;Lambda;635852160600000000;268
2010-08-01T00:01:00.0000000;Theta;634162176600000000;373
2012-10-13T00:03:00.0000000;Lambda;6.348568338E+17;912
2018-10-24T00:02:00.0000000;Beta;636759361200000000;182
2013-11-11T00:02:00.0000000;Tau;6.35197E+017;361
2016-11-15T00:03:00.0000000;Mu;636147649800000000;384
2016-02-04T00:02:00.0000000;Pi;6.35901E+017;768
2011-05-26T00:02:00.0000000;Phi;6.344196492E+17;575
2014-09-01T00:03:00.0000000;Eta;6.354512658E+17;383
2018-05-01T00:01:00.0000000;Rho;6.366072966E+17;404
2010-05-18T00:02:00.0000000;Theta;634,097,377,200,000,000.00000000;578
2013-09-09T00:03:00.0000000;Eta;635,142,817,800,000,000.00000000;43
2017-10-03T00:03:00.0000000;Upsilon;636,425,857,800,000,000.00000000;547
2010-05-03T00:02:00.0000000;Psi;634084417200000000;397
2013-08-07T00:01:00.0000000;Epsilon;635,114,304,600,000,000.00000000;13
2016-09-10T00:01:00.0000000;Psi;6.360906246E+17;146
2019-12-24T00:01:00.0000000;Omega;6.371274246E+17;911
2010-06-25T00:01:00.0000000;Kappa;634130208600000000;637
2017-02-04T00:02:00.0000000;Beta;6.362176332E+17;932
2014-01-04T00:02:00.0000000;Lambda;6.35244E+017;523
2012-03-01T00:02:00.0000000;Xi;634661569200000000;125
2015-04-29T00:02:00.0000000;Mu;635658625200000000;241
2013-01-22T00:01:00.0000000;Chi;634944096600000000;149
