TM;Category;unknown;Quantity
2013-08-07T00:01:00.0000000;Lambda;635,114,304,600,000,000.00000000;612
2015-05-04T00:01:00.0000000;Omicron;635662944600000000;156
2013-04-22T00:02:00.0000000;Delta;635021857200000000;112
2019-07-21T00:01:00.0000000;Upsilon;636992640600000000;884
2014-12-29T00:01:00.0000000;Chi;635554080600000000;386
2010-12-19T00:02:00.0000000;Iota;634,283,137,200,000,000.00000000;384
2011-06-11T00:01:00.0000000;Zeta;6.344334726E+17;0
2018-12-03T00:01:00.0000000;Upsilon;6.36794E+017;873
2019-02-01T00:01:00.0000000;Nu;6.368457606E+17;715
2019-11-19T00:01:00.0000000;Lambda;637097184600000000;781
2017-07-03T00:01:00.0000000;Beta;636346368600000000;220
2013-08-09T00:01:00.0000000;Phi;635116032600000000;227
2010-02-20T00:01:00.0000000;Phi;634022208600000000;282
2013-05-13T00:01:00.0000000;Sigma;6.35040E+017;265
2013-12-30T00:01:00.0000000;Phi;635,239,584,600,000,000.00000000;83
2011-05-24T00:02:00.0000000;Psi;6.344179212E+17;960
2016-10-24T00:01:00.0000000;Iota;636128640600000000;235
2011-05-11T00:01:00.0000000;Sigma;634406688600000000;693
2010-04-04T00:01:00.0000000;Mu;6.340593606E+17;38
2017-06-28T00:01:00.0000000;Upsilon;6.363420486E+17;803
2014-10-14T00:01:00.0000000;Rho;635,488,416,600,000,000.00000000;64
2012-03-27T00:01:00.0000000;Psi;6.346840326E+17;661
2018-03-26T00:01:00.0000000;Nu;6.365761926E+17;60
2016-11-24T00:01:00.0000000;Sigma;6.361554246E+17;206
2017-08-03T00:01:00.0000000;Eta;6.363731526E+17;23
2018-12-30T00:01:00.0000000;Delta;636817248600000000;69
2011-12-11T00:01:00.0000000;Chi;6.345915846E+17;343
2019-06-08T00:01:00.0000000;Theta;6.369554886E+17;148
2010-05-22T00:01:00.0000000;Alpha;634100832600000000;859
2014-01-23T00:01:00.0000000;Iota;6.35260E+017;237
2019-10-31T00:01:00.0000000;Phi;6.370807686E+17;241
2011-08-16T00:01:00.0000000;Iota;634490496600000000;435
2010-12-02T00:01:00.0000000;Omega;634,268,448,600,000,000.00000000;991
2018-11-18T00:01:00.0000000;Iota;6.367809606E+17;225
2015-04-30T00:02:00.0000000;Xi;635,659,489,200,000,000.00000000;758
2010-05-25T00:01:00.0000000;Phi;6.34103E+017;179
2018-10-23T00:04:00.0000000;Pi;6.36758E+017;912
2016-11-30T00:01:00.0000000;Iota;636160608600000000;48
2013-07-27T00:03:00.0000000;Zeta;6.351048018E+17;642
2016-05-29T00:02:00.0000000;Kappa;6.360007692E+17;860
2017-04-27T00:01:00.0000000;Nu;636,288,480,600,000,000.00000000;305
2015-04-27T00:01:00.0000000;Kappa;6.356568966E+17;188
2019-01-01T00:02:00.0000000;Beta;636,818,977,200,000,000.00000000;462
2019-02-21T00:02:00.0000000;Xi;636863041200000000;425
2013-06-04T00:02:00.0000000;Rho;6.350590092E+17;341
2014-09-03T00:01:00.0000000;Rho;6.354529926E+17;870
2013-10-30T00:01:00.0000000;Chi;6.351868806E+17;98
2016-01-29T00:02:00.0000000;Chi;635,896,225,200,000,000.00000000;407
2017-05-10T00:02:00.0000000;Chi;636299713200000000;676
2019-07-29T00:02:00.0000000;Eta;6.369995532E+17;946
2016-06-19T00:01:00.0000000;Tau;636018912600000000;636
2013-02-11T00:02:00.0000000;Omega;6.34961E+017;216
