TM;Category;unknown;Quantity
2013-12-09T00:01:00.0000000;Pi;635221440600000000;58
2011-10-22T00:01:00.0000000;Pi;634548384600000000;589
2019-08-09T00:01:00.0000000;Tau;637009056600000000;43
2016-04-10T00:01:00.0000000;Sigma;635,958,432,600,000,000.00000000;392
2019-08-23T00:01:00.0000000;Nu;637021152600000000;459
2012-06-23T00:01:00.0000000;Pi;6.34760E+017;457
2017-10-07T00:02:00.0000000;Tau;636429313200000000;334
2015-12-11T00:01:00.0000000;Iota;6.35854E+017;867
2018-04-10T00:01:00.0000000;Lambda;6.36589E+017;100
2011-07-08T00:01:00.0000000;Theta;634,456,800,600,000,000.00000000;680
2017-04-08T00:01:00.0000000;Eta;636,272,064,600,000,000.00000000;375
2017-03-04T00:01:00.0000000;Phi;636241824600000000;861
2019-11-25T00:01:00.0000000;Alpha;637102368600000000;187
2018-04-18T00:01:00.0000000;Kappa;6.365960646E+17;142
2017-12-06T00:01:00.0000000;Mu;6.36481E+017;454
2012-09-28T00:01:00.0000000;Tau;6.348438726E+17;736
2019-04-29T00:01:00.0000000;Pi;6.369209286E+17;582
2011-05-11T00:01:00.0000000;Nu;634406688600000000;323
2011-03-10T00:01:00.0000000;Alpha;6.34353E+017;752
2017-12-23T00:01:00.0000000;Rho;6.36496E+017;168
2016-05-14T00:02:00.0000000;Kappa;635987809200000000;307
2015-12-14T00:01:00.0000000;Lambda;6.358564806E+17;43
2013-02-20T00:02:00.0000000;Psi;634969153200000000;218
2018-11-02T00:02:00.0000000;Delta;6.367671372E+17;453
2010-12-28T00:02:00.0000000;Omicron;6.342909132E+17;87
2016-01-24T00:01:00.0000000;Phi;6.358919046E+17;588
2010-08-30T00:01:00.0000000;Sigma;634187232600000000;518
2010-04-16T00:02:00.0000000;Alpha;6.34070E+017;545
2011-06-09T00:03:00.0000000;Psi;6.344317458E+17;399
2014-10-18T00:01:00.0000000;Iota;635491872600000000;524
2017-06-30T00:01:00.0000000;Eta;6.363437766E+17;399
2013-01-06T00:01:00.0000000;Psi;6.34930E+017;857
2011-02-11T00:01:00.0000000;Chi;634329792600000000;770
2014-08-17T00:01:00.0000000;Upsilon;6.354383046E+17;429
2015-10-25T00:01:00.0000000;Phi;6.358132806E+17;616
2010-03-17T00:02:00.0000000;Epsilon;6.340438092E+17;910
2013-08-21T00:02:00.0000000;Sigma;635126401200000000;193
2011-10-11T00:01:00.0000000;Nu;634538880600000000;82
2019-06-04T00:01:00.0000000;Zeta;6.369520326E+17;815
2017-03-15T00:01:00.0000000;Rho;6.362513286E+17;362
2016-05-07T00:01:00.0000000;Delta;6.359817606E+17;363
2018-06-26T00:02:00.0000000;Gamma;6.366556812E+17;372
2016-08-12T00:01:00.0000000;Rho;636065568600000000;964
2016-06-24T00:01:00.0000000;Psi;636023232600000000;986
2019-07-06T00:02:00.0000000;Delta;6.36980E+017;746
2011-03-13T00:01:00.0000000;Xi;6.343557126E+17;648
2014-05-17T00:02:00.0000000;Xi;6.353588172E+17;147
2010-08-20T00:02:00.0000000;Alpha;6.34179E+017;432
2015-08-28T00:02:00.0000000;Theta;6.357631692E+17;250
2010-04-10T00:01:00.0000000;Pi;634,064,544,600,000,000.00000000;946
2016-09-17T00:01:00.0000000;Pi;636096672600000000;915
2012-04-12T00:03:00.0000000;Tau;6.346978578E+17;851
2015-02-23T00:02:00.0000000;Sigma;6.35602E+017;971
2010-08-31T00:01:00.0000000;Mu;634188096600000000;673
2017-07-06T00:03:00.0000000;Zeta;636,348,961,800,000,000.00000000;739
2011-09-18T00:01:00.0000000;Lambda;634,519,008,600,000,000.00000000;605
2010-04-07T00:01:00.0000000;Xi;634061952600000000;541
2016-12-05T00:03:00.0000000;Psi;6.36165E+017;556
2013-08-03T00:01:00.0000000;Kappa;635110848600000000;32
2010-08-20T00:02:00.0000000;Theta;6.34179E+017;38
2013-03-11T00:01:00.0000000;Chi;634985568600000000;708
2013-03-08T00:02:00.0000000;Tau;6.349829772E+17;661
2010-10-15T00:01:00.0000000;Pi;6.34227E+017;707
2019-09-11T00:01:00.0000000;Theta;637,037,568,600,000,000.00000000;527
2010-03-06T00:01:00.0000000;Beta;634,034,304,600,000,000.00000000;810
2018-01-29T00:01:00.0000000;Omicron;6.36528E+017;595
2018-04-24T00:02:00.0000000;Omega;636601249200000000;69
2018-08-22T00:01:00.0000000;Delta;6.367049286E+17;257
2011-04-09T00:01:00.0000000;Chi;634,379,040,600,000,000.00000000;800
2018-06-03T00:01:00.0000000;Beta;6.36636E+017;282
2013-07-10T00:02:00.0000000;Psi;6.350901132E+17;242
2014-10-04T00:02:00.0000000;Omicron;6.354797772E+17;968
2014-03-27T00:02:00.0000000;Alpha;635314753200000000;792
2016-09-07T00:01:00.0000000;Sigma;6.36088E+017;272
2018-01-28T00:02:00.0000000;Chi;6.36527E+017;966
2014-07-19T00:02:00.0000000;Beta;635413249200000000;417
2012-09-15T00:01:00.0000000;Upsilon;634,832,640,600,000,000.00000000;199
2019-12-08T00:01:00.0000000;Omega;637113600600000000;598
2012-01-03T00:02:00.0000000;Omega;634,611,457,200,000,000.00000000;195
2018-01-16T00:04:00.0000000;Lambda;636516578400000000;496
2014-05-30T00:03:00.0000000;Epsilon;6.353700498E+17;194
2018-09-06T00:02:00.0000000;Nu;6.367178892E+17;210
2017-01-06T00:02:00.0000000;Sigma;636,192,577,200,000,000.00000000;318
2017-12-07T00:02:00.0000000;Upsilon;6.364820172E+17;25
2018-03-15T00:03:00.0000000;Iota;636,566,689,800,000,000.00000000;499
2018-09-10T00:01:00.0000000;Iota;6.367213446E+17;737
2015-09-18T00:02:00.0000000;Gamma;6.357813132E+17;213
2018-01-20T00:02:00.0000000;Mu;636,520,033,200,000,000.00000000;240
2017-09-07T00:02:00.0000000;Mu;6.364033932E+17;881
2017-01-08T00:02:00.0000000;Mu;636194305200000000;903
2010-11-04T00:02:00.0000000;Sigma;6.342442572E+17;239
2019-07-01T00:01:00.0000000;Zeta;636,975,360,600,000,000.00000000;394
2018-06-27T00:02:00.0000000;Psi;6.366565452E+17;853
2012-06-01T00:03:00.0000000;Kappa;6.34741E+017;233
2018-02-24T00:03:00.0000000;Gamma;636550273800000000;707
2016-03-28T00:01:00.0000000;Theta;6.35947E+017;202
2018-07-26T00:01:00.0000000;Theta;636681600600000000;600
2013-06-25T00:03:00.0000000;Phi;6.350771538E+17;890
2019-12-27T00:02:00.0000000;Omicron;637130017200000000;136
2016-04-09T00:02:00.0000000;Omicron;635,957,569,200,000,000.00000000;818
2016-02-29T00:01:00.0000000;Rho;6.359230086E+17;263
2015-09-27T00:01:00.0000000;Upsilon;635789088600000000;464
2013-04-01T00:02:00.0000000;Omega;635,003,713,200,000,000.00000000;13
2017-05-17T00:02:00.0000000;Nu;636305761200000000;267
2012-03-10T00:01:00.0000000;Lambda;6.346693446E+17;145
2014-08-18T00:02:00.0000000;Rho;635439169200000000;197
2016-11-20T00:01:00.0000000;Zeta;6.36152E+017;866
2017-04-12T00:02:00.0000000;Kappa;6.36276E+017;342
2017-07-29T00:01:00.0000000;Zeta;636368832600000000;438
2013-05-07T00:02:00.0000000;Theta;635,034,817,200,000,000.00000000;568
2012-05-20T00:03:00.0000000;Beta;6.347306898E+17;90
2018-12-19T00:01:00.0000000;Gamma;6.36808E+017;923
2010-09-19T00:02:00.0000000;Theta;634,204,513,200,000,000.00000000;896
2019-08-07T00:02:00.0000000;Beta;637,007,329,200,000,000.00000000;353
2014-05-15T00:01:00.0000000;Zeta;6.353570886E+17;181
2018-12-28T00:02:00.0000000;Zeta;636815521200000000;605
2019-11-17T00:02:00.0000000;Tau;6.370954572E+17;325
2013-01-04T00:02:00.0000000;Epsilon;634928545200000000;233
2018-07-19T00:02:00.0000000;Delta;636675553200000000;775
2017-04-14T00:04:00.0000000;Xi;6.362772504E+17;413
2012-12-14T00:04:00.0000000;Alpha;634910402400000000;613
2019-08-03T00:02:00.0000000;Iota;637003873200000000;562
2014-06-01T00:04:00.0000000;Phi;6.353717784E+17;818
2011-05-18T00:02:00.0000000;Mu;634412737200000000;225
2011-05-14T00:02:00.0000000;Chi;634,409,281,200,000,000.00000000;917
2011-08-06T00:02:00.0000000;Nu;6.344818572E+17;391
2016-10-01T00:02:00.0000000;Eta;6.361087692E+17;337
2019-03-24T00:03:00.0000000;Nu;6.368898258E+17;943
2010-09-30T00:02:00.0000000;Zeta;6.342140172E+17;787
2017-01-20T00:02:00.0000000;Nu;636204673200000000;778
2012-05-29T00:03:00.0000000;Kappa;634738465800000000;281
2014-02-08T00:01:00.0000000;Omega;635274144600000000;290
2012-06-03T00:02:00.0000000;Gamma;6.34743E+017;301
2017-04-17T00:03:00.0000000;Zeta;6.362798418E+17;199
2014-11-21T00:01:00.0000000;Lambda;635,521,248,600,000,000.00000000;913
2016-12-12T00:01:00.0000000;Gamma;6.361709766E+17;614
2016-10-15T00:02:00.0000000;Nu;6.36121E+017;367
2017-04-13T00:02:00.0000000;Alpha;6.36276E+017;36
2011-03-30T00:02:00.0000000;Delta;6.343704012E+17;113
2013-08-18T00:03:00.0000000;Rho;6.351238098E+17;490
2014-07-20T00:02:00.0000000;Eta;635414113200000000;761
2019-02-26T00:01:00.0000000;Psi;636,867,360,600,000,000.00000000;896
2016-12-03T00:03:00.0000000;Pi;636163201800000000;743
2012-11-23T00:01:00.0000000;Epsilon;634892256600000000;516
2017-01-29T00:02:00.0000000;Delta;6.36212E+017;721
2014-10-08T00:03:00.0000000;Rho;6.354832338E+17;482
2011-09-05T00:04:00.0000000;Xi;6.34508E+017;704
2014-12-02T00:01:00.0000000;Nu;6.355307526E+17;558
2018-10-16T00:03:00.0000000;Xi;636752449800000000;214
2016-01-31T00:02:00.0000000;Upsilon;635897953200000000;728
2012-04-27T00:02:00.0000000;Kappa;6.34711E+017;387
2018-11-24T00:02:00.0000000;Xi;636,786,145,200,000,000.00000000;533
2017-03-11T00:03:00.0000000;Alpha;6.362478738E+17;926
2011-08-21T00:02:00.0000000;Omicron;6.344948172E+17;762
2010-11-12T00:01:00.0000000;Lambda;634251168600000000;274
2017-11-01T00:02:00.0000000;Epsilon;6.364509132E+17;955
2011-10-26T00:04:00.0000000;Omicron;634551842400000000;601
2012-08-03T00:02:00.0000000;Sigma;6.347954892E+17;681
2013-01-26T00:03:00.0000000;Xi;6.349475538E+17;688
2015-03-11T00:02:00.0000000;Iota;635616289200000000;455
2013-01-31T00:02:00.0000000;Nu;6.349518732E+17;730
2010-01-25T00:06:00.0000000;Mu;633,999,747,600,000,000.00000000;493
2011-06-12T00:02:00.0000000;Rho;6.344343372E+17;838
2012-01-15T00:02:00.0000000;Omicron;6.346218252E+17;647
2010-07-15T00:02:00.0000000;Xi;6.34147E+017;96
2018-11-19T00:02:00.0000000;Phi;6.367818252E+17;279
2015-08-12T00:03:00.0000000;Iota;6.357493458E+17;980
2016-04-16T00:02:00.0000000;Upsilon;6.35964E+017;327
2017-07-09T00:01:00.0000000;Upsilon;636351552600000000;405
2013-07-30T00:04:00.0000000;Epsilon;6.351073944E+17;645
2015-09-13T00:04:00.0000000;Chi;6.357769944E+17;993
2010-11-21T00:04:00.0000000;Delta;6.342589464E+17;432
2010-09-07T00:06:00.0000000;Theta;6.341941476E+17;655
2015-09-04T00:02:00.0000000;Sigma;635,769,217,200,000,000.00000000;188
2015-06-26T00:03:00.0000000;Upsilon;635708737800000000;561
2012-07-05T00:05:00.0000000;Zeta;634770435000000000;621
2011-05-30T00:05:00.0000000;Upsilon;634,423,107,000,000,000.00000000;425
2013-01-06T00:02:00.0000000;Lambda;6.34930E+017;222
2010-11-09T00:02:00.0000000;Phi;6.342485772E+17;132
2019-07-06T00:02:00.0000000;Tau;6.36980E+017;522
2018-09-10T00:03:00.0000000;Gamma;636721345800000000;260
2016-03-13T00:03:00.0000000;Sigma;6.359342418E+17;575
2016-05-19T00:02:00.0000000;Upsilon;635992129200000000;822
2013-01-06T00:02:00.0000000;Theta;6.34930E+017;31
2010-02-12T00:03:00.0000000;Epsilon;634015297800000000;478
2012-01-12T00:03:00.0000000;Tau;6.346192338E+17;261
2018-07-15T00:05:00.0000000;Theta;636672099000000000;66
2012-04-26T00:03:00.0000000;Omega;6.34710E+017;66
2010-09-10T00:03:00.0000000;Tau;6.341967378E+17;655
2012-06-09T00:02:00.0000000;Zeta;6.347479692E+17;977
2014-12-02T00:04:00.0000000;Sigma;635530754400000000;327
2018-02-17T00:02:00.0000000;Upsilon;6.365442252E+17;830
2015-04-13T00:02:00.0000000;Omicron;635,644,801,200,000,000.00000000;546
2012-06-18T00:04:00.0000000;Tau;634755746400000000;871
2015-03-18T00:04:00.0000000;Delta;6.356223384E+17;457
2013-06-16T00:04:00.0000000;Lambda;6.35069E+017;484
