TM;Category;unknown;Quantity
2017-03-03T00:01:00.0000000;Omicron;636,240,960,600,000,000.00000000;498
2018-10-01T00:01:00.0000000;Tau;636739488600000000;239
2010-05-28T00:01:00.0000000;Sigma;6.341060166E+17;14
2018-09-30T00:01:00.0000000;Xi;636738624600000000;750
2013-10-05T00:01:00.0000000;Omicron;6.35165E+017;223
2017-05-08T00:01:00.0000000;Eta;6.362979846E+17;383
2018-06-21T00:01:00.0000000;Epsilon;6.36651E+017;447
2010-06-12T00:01:00.0000000;Pi;6.34119E+017;701
2010-07-07T00:01:00.0000000;Xi;634140576600000000;487
2010-11-29T00:01:00.0000000;Xi;634265856600000000;746
2013-12-06T00:01:00.0000000;Epsilon;6.352188486E+17;369
2012-09-15T00:01:00.0000000;Rho;634,832,640,600,000,000.00000000;771
2017-08-20T00:01:00.0000000;Chi;6.363878406E+17;56
2018-05-03T00:01:00.0000000;Epsilon;6.366090246E+17;830
2018-05-17T00:01:00.0000000;Theta;6.36621E+017;433
2016-06-19T00:01:00.0000000;Omega;636018912600000000;219
2011-11-06T00:02:00.0000000;Rho;6.345613452E+17;339
2018-06-05T00:01:00.0000000;Pi;6.36638E+017;739
2017-11-25T00:01:00.0000000;Gamma;636471648600000000;174
2015-03-16T00:01:00.0000000;Phi;6.35621E+017;612
2011-02-06T00:01:00.0000000;Nu;6.343254726E+17;651
2011-02-16T00:01:00.0000000;Gamma;634334112600000000;317
2010-08-31T00:01:00.0000000;Delta;634188096600000000;113
2010-12-18T00:01:00.0000000;Alpha;634282272600000000;110
2015-02-06T00:02:00.0000000;Sigma;6.35588E+017;995
2018-11-22T00:01:00.0000000;Alpha;636784416600000000;138
2014-04-25T00:02:00.0000000;Xi;6.353398092E+17;475
2010-04-10T00:01:00.0000000;Iota;634,064,544,600,000,000.00000000;236
2015-05-28T00:01:00.0000000;Iota;6.356836806E+17;993
2016-10-09T00:01:00.0000000;Delta;636,115,680,600,000,000.00000000;38
2017-05-25T00:01:00.0000000;Xi;6.363126726E+17;678
2015-12-15T00:01:00.0000000;Psi;6.358573446E+17;453
2019-05-21T00:02:00.0000000;Epsilon;636939937200000000;57
2019-04-28T00:01:00.0000000;Alpha;6.369200646E+17;727
2017-02-11T00:01:00.0000000;Kappa;636,223,680,600,000,000.00000000;571
2011-11-17T00:01:00.0000000;Xi;6.34571E+017;627
2017-05-04T00:02:00.0000000;Gamma;6.362945292E+17;142
2014-04-27T00:01:00.0000000;Zeta;6.353415366E+17;199
2010-01-13T00:01:00.0000000;Upsilon;633989376600000000;511
2018-03-18T00:01:00.0000000;Upsilon;636,569,280,600,000,000.00000000;551
2016-11-18T00:01:00.0000000;Chi;636150240600000000;401
2010-10-08T00:01:00.0000000;Tau;634,220,928,600,000,000.00000000;594
2017-07-30T00:03:00.0000000;Tau;6.36370E+017;70
2014-03-22T00:01:00.0000000;Epsilon;6.353104326E+17;230
2010-10-28T00:01:00.0000000;Pi;634,238,208,600,000,000.00000000;886
2012-03-01T00:01:00.0000000;Chi;634661568600000000;662
2013-01-07T00:03:00.0000000;Mu;6.34931E+017;261
2018-02-26T00:02:00.0000000;Omicron;636,552,001,200,000,000.00000000;399
2016-10-19T00:01:00.0000000;Eta;6.361243206E+17;485
2011-09-14T00:01:00.0000000;Gamma;634515552600000000;425
2012-09-23T00:01:00.0000000;Gamma;6.348395526E+17;340
2010-08-07T00:01:00.0000000;Omega;6.341673606E+17;676
2014-09-01T00:02:00.0000000;Lambda;6.354512652E+17;84
2019-08-17T00:01:00.0000000;Omicron;6.370159686E+17;798
2010-07-16T00:01:00.0000000;Upsilon;6.34148E+017;916
2016-05-23T00:01:00.0000000;Chi;6.35996E+017;197
2017-03-28T00:01:00.0000000;Mu;6.362625606E+17;746
2012-07-10T00:02:00.0000000;Delta;6.34775E+017;446
2016-04-27T00:02:00.0000000;Alpha;635,973,121,200,000,000.00000000;95
2011-03-08T00:03:00.0000000;Iota;6.34351E+017;936
2010-09-20T00:01:00.0000000;Zeta;634,205,376,600,000,000.00000000;169
2010-05-06T00:04:00.0000000;Beta;6.340870104E+17;184
2011-06-07T00:01:00.0000000;Chi;6.34430E+017;285
2010-06-09T00:01:00.0000000;Gamma;634116384600000000;429
2013-02-13T00:01:00.0000000;Psi;6.34963E+017;434
2013-01-27T00:02:00.0000000;Omicron;6.349484172E+17;35
2019-07-28T00:02:00.0000000;Omega;6.369986892E+17;920
2010-09-16T00:01:00.0000000;Upsilon;6.342019206E+17;106
2019-02-15T00:02:00.0000000;Iota;6.368578572E+17;350
2017-11-08T00:01:00.0000000;Lambda;636456960600000000;127
2016-06-08T00:02:00.0000000;Eta;6.36009E+017;113
2012-12-18T00:02:00.0000000;Zeta;6.34914E+017;950
2017-03-02T00:01:00.0000000;Lambda;636,240,096,600,000,000.00000000;108
2011-10-22T00:01:00.0000000;Omega;634548384600000000;398
2017-06-01T00:02:00.0000000;Iota;636,318,721,200,000,000.00000000;468
2019-08-16T00:02:00.0000000;Theta;6.370151052E+17;170
2014-08-16T00:02:00.0000000;Tau;6.354374412E+17;545
2019-09-30T00:01:00.0000000;Omega;637,053,984,600,000,000.00000000;10
2010-06-01T00:01:00.0000000;Zeta;634109472600000000;136
2016-06-09T00:01:00.0000000;Omega;6.36010E+017;414
2010-10-23T00:01:00.0000000;Upsilon;634233888600000000;125
2018-11-01T00:02:00.0000000;Psi;6.367662732E+17;325
2011-10-10T00:02:00.0000000;Omicron;634538017200000000;531
2019-02-12T00:01:00.0000000;Delta;6.36855E+017;492
2012-10-18T00:03:00.0000000;Rho;634,861,153,800,000,000.00000000;437
2015-04-14T00:02:00.0000000;Phi;635,645,665,200,000,000.00000000;270
2010-03-17T00:01:00.0000000;Pi;6.340438086E+17;281
2018-01-30T00:01:00.0000000;Chi;6.365286726E+17;305
2016-06-28T00:01:00.0000000;Omicron;6.36027E+017;488
2014-07-03T00:02:00.0000000;Gamma;6.35399E+017;449
2015-06-25T00:01:00.0000000;Gamma;635,707,872,600,000,000.00000000;10
2012-03-18T00:01:00.0000000;Xi;634,676,256,600,000,000.00000000;933
2011-11-25T00:03:00.0000000;Omega;634577761800000000;758
