TM;Category;unknown;Quantity
2014-04-27T00:01:00.0000000;Beta;6.353415366E+17;772
2012-11-25T00:01:00.0000000;Lambda;634,893,984,600,000,000.00000000;315
2014-10-27T00:01:00.0000000;Theta;6.354996486E+17;544
2014-10-12T00:01:00.0000000;Kappa;635486688600000000;937
2013-04-30T00:02:00.0000000;Psi;6.350287692E+17;937
2016-04-22T00:01:00.0000000;Psi;6.359688006E+17;812
2017-12-06T00:01:00.0000000;Omicron;6.36481E+017;240
2013-08-03T00:01:00.0000000;Omega;635110848600000000;811
2014-11-25T00:01:00.0000000;Delta;6.35525E+017;893
2011-03-17T00:01:00.0000000;Pi;634359168600000000;114
2012-10-05T00:01:00.0000000;Rho;634849920600000000;99
2010-06-29T00:01:00.0000000;Nu;6.34134E+017;312
2013-02-24T00:01:00.0000000;Omega;634,972,608,600,000,000.00000000;871
2013-10-16T00:01:00.0000000;Delta;635174784600000000;180
2012-07-20T00:01:00.0000000;Omicron;634783392600000000;335
2016-12-28T00:01:00.0000000;Kappa;6.361848006E+17;943
2016-10-27T00:01:00.0000000;Omega;636,131,232,600,000,000.00000000;884
2014-07-08T00:02:00.0000000;Eta;6.354037452E+17;678
2016-05-12T00:02:00.0000000;Iota;635986081200000000;424
2018-10-20T00:01:00.0000000;Upsilon;636,755,904,600,000,000.00000000;16
2012-05-11T00:01:00.0000000;Zeta;634,722,912,600,000,000.00000000;991
2012-08-02T00:01:00.0000000;Nu;6.347946246E+17;806
2019-03-04T00:02:00.0000000;Rho;6.368725452E+17;392
2015-11-13T00:01:00.0000000;Alpha;635829696600000000;162
2012-01-20T00:01:00.0000000;Delta;634626144600000000;397
2010-07-05T00:01:00.0000000;Lambda;6.341388486E+17;727
2013-09-07T00:01:00.0000000;Rho;6.351410886E+17;359
2012-02-15T00:01:00.0000000;Gamma;6.34649E+017;597
2011-08-14T00:01:00.0000000;Omicron;634,488,768,600,000,000.00000000;687
2010-10-23T00:01:00.0000000;Rho;634233888600000000;624
2017-03-31T00:01:00.0000000;Delta;6.362651526E+17;312
2013-12-22T00:02:00.0000000;Upsilon;6.352326732E+17;363
2019-02-08T00:02:00.0000000;Rho;636851809200000000;141
2010-03-21T00:01:00.0000000;Pi;634047264600000000;106
2012-03-04T00:01:00.0000000;Mu;6.34664E+017;673
2015-02-06T00:02:00.0000000;Omega;6.35588E+017;501
2018-08-21T00:01:00.0000000;Delta;6.367040646E+17;392
2018-04-05T00:01:00.0000000;Epsilon;636,584,832,600,000,000.00000000;248
2017-07-06T00:01:00.0000000;Omega;636,348,960,600,000,000.00000000;377
2011-06-14T00:02:00.0000000;Iota;6.344360652E+17;597
2018-07-28T00:03:00.0000000;Delta;6.36683E+017;635
2017-08-25T00:01:00.0000000;Gamma;6.363921606E+17;461
2016-10-12T00:02:00.0000000;Theta;636118273200000000;341
2017-02-09T00:01:00.0000000;Beta;636221952600000000;704
2013-04-04T00:01:00.0000000;Alpha;635006304600000000;707
2015-05-25T00:01:00.0000000;Sigma;6.35681E+017;170
2016-10-23T00:01:00.0000000;Zeta;636127776600000000;600
2010-04-28T00:03:00.0000000;Nu;634,080,097,800,000,000.00000000;602
2014-12-01T00:01:00.0000000;Lambda;6.355298886E+17;463
2011-06-05T00:03:00.0000000;Rho;6.34428E+017;359
2013-12-13T00:02:00.0000000;Psi;635224897200000000;554
2017-01-02T00:02:00.0000000;Eta;636189121200000000;295
2012-06-09T00:01:00.0000000;Nu;6.347479686E+17;282
2016-04-05T00:01:00.0000000;Zeta;6.359541126E+17;855
2013-05-21T00:01:00.0000000;Zeta;6.350469126E+17;615
2010-12-15T00:01:00.0000000;Sigma;6.342796806E+17;621
2011-07-10T00:01:00.0000000;Delta;634458528600000000;176
2013-04-08T00:01:00.0000000;Kappa;6.35010E+017;73
2010-04-17T00:01:00.0000000;Nu;6.34071E+017;190
2013-05-22T00:01:00.0000000;Phi;635047776600000000;71
2017-01-27T00:01:00.0000000;Iota;636210720600000000;826
2016-02-17T00:03:00.0000000;Psi;635912641800000000;402
2016-12-01T00:03:00.0000000;Sigma;636,161,473,800,000,000.00000000;192
