TM;Category;unknown;Quantity
2011-07-10T00:01:00.0000000;Rho;634458528600000000;264
2019-05-17T00:01:00.0000000;Phi;6.369364806E+17;75
2016-09-01T00:01:00.0000000;Theta;636,082,848,600,000,000.00000000;424
2013-01-07T00:01:00.0000000;Nu;6.34931E+017;110
2011-12-16T00:01:00.0000000;Kappa;634595904600000000;141
2010-02-20T00:01:00.0000000;Zeta;634022208600000000;896
2015-04-18T00:01:00.0000000;Xi;635649120600000000;364
2018-11-15T00:01:00.0000000;Zeta;6.36778E+017;49
2018-10-07T00:01:00.0000000;Theta;636744672600000000;213
2018-11-21T00:01:00.0000000;Delta;6.367835526E+17;148
2015-08-17T00:01:00.0000000;Tau;635753664600000000;603
2017-02-04T00:01:00.0000000;Lambda;6.362176326E+17;742
2010-09-24T00:01:00.0000000;Eta;634208832600000000;181
2016-01-28T00:01:00.0000000;Sigma;635,895,360,600,000,000.00000000;6
2011-07-30T00:02:00.0000000;Xi;6.34476E+017;925
2012-02-14T00:02:00.0000000;Psi;6.34648E+017;762
2015-03-17T00:01:00.0000000;Iota;6.356214726E+17;217
2017-08-04T00:01:00.0000000;Kappa;6.363740166E+17;939
2011-02-08T00:02:00.0000000;Delta;634327201200000000;269
2019-01-12T00:01:00.0000000;Omega;6.368284806E+17;572
2017-03-06T00:01:00.0000000;Psi;636243552600000000;341
2010-09-26T00:01:00.0000000;Xi;6.34211E+017;815
2018-06-20T00:01:00.0000000;Upsilon;636650496600000000;177
2018-10-03T00:01:00.0000000;Tau;636,741,216,600,000,000.00000000;615
2010-02-24T00:01:00.0000000;Theta;6.340256646E+17;93
2017-06-24T00:01:00.0000000;Alpha;6.36339E+017;355
2015-12-25T00:01:00.0000000;Chi;635,865,984,600,000,000.00000000;930
2011-04-24T00:01:00.0000000;Omicron;634392000600000000;590
2019-04-24T00:02:00.0000000;Phi;6.36917E+017;601
2016-04-28T00:01:00.0000000;Mu;635,973,984,600,000,000.00000000;88
2014-02-04T00:02:00.0000000;Nu;635,270,689,200,000,000.00000000;510
2019-04-01T00:01:00.0000000;Beta;636,896,736,600,000,000.00000000;523
2011-02-08T00:02:00.0000000;Tau;634327201200000000;86
