TM;Category;unknown;Quantity
2016-07-02T00:01:00.0000000;Omicron;6.360301446E+17;782
2019-08-12T00:01:00.0000000;Alpha;6.37012E+017;889
2015-05-05T00:01:00.0000000;Nu;635663808600000000;163
2016-05-04T00:01:00.0000000;Psi;6.35979E+017;551
2017-01-14T00:01:00.0000000;Omega;6.36199E+017;809
2017-12-22T00:01:00.0000000;Omega;6.36495E+017;505
2019-10-04T00:02:00.0000000;Theta;6.37057E+017;737
2011-06-06T00:01:00.0000000;Delta;634429152600000000;210
2014-10-24T00:01:00.0000000;Delta;6.354970566E+17;213
2018-09-24T00:02:00.0000000;Chi;6.367334412E+17;38
2017-08-13T00:01:00.0000000;Upsilon;636,381,792,600,000,000.00000000;191
2014-04-08T00:02:00.0000000;Omicron;6.353251212E+17;140
2011-09-03T00:01:00.0000000;Phi;634506048600000000;233
2015-08-02T00:02:00.0000000;Lambda;635740705200000000;969
2017-04-11T00:01:00.0000000;Omega;636274656600000000;649
2016-03-06T00:01:00.0000000;Kappa;635,928,192,600,000,000.00000000;568
2012-02-05T00:01:00.0000000;Alpha;6.346399686E+17;44
2014-11-02T00:01:00.0000000;Pi;635,504,832,600,000,000.00000000;102
2014-05-14T00:01:00.0000000;Eta;6.353562246E+17;716
2019-01-11T00:01:00.0000000;Pi;6.368276166E+17;364
2012-12-23T00:01:00.0000000;Omicron;6.349181766E+17;510
2015-02-04T00:01:00.0000000;Lambda;635586048600000000;876
2018-03-09T00:02:00.0000000;Eta;6.365615052E+17;429
2010-05-20T00:01:00.0000000;Tau;634099104600000000;103
2011-06-18T00:01:00.0000000;Omega;634439520600000000;544
2013-07-09T00:01:00.0000000;Mu;6.350892486E+17;57
2013-05-08T00:01:00.0000000;Phi;635,035,680,600,000,000.00000000;640
2013-03-24T00:01:00.0000000;Alpha;6.349968006E+17;29
2013-12-08T00:01:00.0000000;Chi;635220576600000000;335
2013-09-15T00:01:00.0000000;Gamma;635148000600000000;684
2014-04-18T00:02:00.0000000;Psi;635333761200000000;866
2013-06-16T00:01:00.0000000;Delta;635069376600000000;796
2018-11-12T00:01:00.0000000;Xi;636775776600000000;231
2011-07-13T00:02:00.0000000;Delta;6.34461E+017;513
2012-07-24T00:02:00.0000000;Alpha;634786849200000000;506
2015-10-14T00:01:00.0000000;Gamma;635803776600000000;582
2013-10-02T00:01:00.0000000;Epsilon;635162688600000000;395
2010-07-04T00:01:00.0000000;Omicron;6.341379846E+17;515
2017-04-27T00:01:00.0000000;Eta;636,288,480,600,000,000.00000000;265
2015-03-22T00:01:00.0000000;Eta;6.356257926E+17;485
2013-02-14T00:01:00.0000000;Sigma;6.349639686E+17;87
2018-02-03T00:01:00.0000000;Sigma;6.365321286E+17;891
2013-02-26T00:02:00.0000000;Epsilon;634974337200000000;158
2016-04-01T00:01:00.0000000;Tau;6.359506566E+17;155
2017-06-21T00:02:00.0000000;Delta;636336001200000000;490
2015-05-24T00:01:00.0000000;Gamma;635680224600000000;383
2011-07-16T00:01:00.0000000;Alpha;6.344637126E+17;66
2019-06-28T00:01:00.0000000;Omega;636972768600000000;688
2011-03-06T00:02:00.0000000;Iota;634349665200000000;3
2011-02-01T00:01:00.0000000;Pi;6.34321E+017;557
2013-12-02T00:01:00.0000000;Beta;6.352153926E+17;559
2017-07-22T00:01:00.0000000;Xi;636362784600000000;244
2019-10-21T00:02:00.0000000;Epsilon;637072129200000000;200
2013-02-04T00:01:00.0000000;Chi;634955328600000000;297
2010-05-14T00:02:00.0000000;Omicron;634093921200000000;150
2018-06-07T00:01:00.0000000;Rho;6.366392646E+17;557
2016-05-07T00:01:00.0000000;Sigma;6.359817606E+17;160
2016-10-08T00:01:00.0000000;Delta;636,114,816,600,000,000.00000000;75
2017-06-16T00:02:00.0000000;Pi;636331681200000000;554
2019-09-15T00:03:00.0000000;Sigma;6.37041E+017;787
2011-03-31T00:01:00.0000000;Delta;6.343712646E+17;964
2016-12-19T00:01:00.0000000;Sigma;636,177,024,600,000,000.00000000;143
2017-09-05T00:04:00.0000000;Sigma;6.364016664E+17;401
2015-06-19T00:01:00.0000000;Omega;6.357026886E+17;180
2015-09-28T00:02:00.0000000;Delta;6.35790E+017;789
2016-06-19T00:01:00.0000000;Zeta;636018912600000000;575
2017-06-08T00:02:00.0000000;Pi;6.363247692E+17;689
2011-06-29T00:01:00.0000000;Sigma;6.344490246E+17;167
2018-01-04T00:02:00.0000000;Gamma;636,506,209,200,000,000.00000000;378
2010-03-25T00:01:00.0000000;Kappa;634,050,720,600,000,000.00000000;182
2015-06-01T00:02:00.0000000;Alpha;6.356871372E+17;716
2017-09-19T00:01:00.0000000;Sigma;636413760600000000;259
2016-08-09T00:02:00.0000000;Sigma;6.360629772E+17;934
2015-08-20T00:01:00.0000000;Zeta;635,756,256,600,000,000.00000000;136
2015-07-02T00:02:00.0000000;Gamma;6.35714E+017;844
2013-08-17T00:01:00.0000000;Phi;6.351229446E+17;269
2018-10-03T00:02:00.0000000;Mu;636,741,217,200,000,000.00000000;386
2010-05-23T00:01:00.0000000;Iota;6.34102E+017;464
2013-03-14T00:02:00.0000000;Tau;634,988,161,200,000,000.00000000;452
2010-06-11T00:02:00.0000000;Epsilon;6.34118E+017;770
2012-12-29T00:02:00.0000000;Eta;634923361200000000;413
2010-07-12T00:02:00.0000000;Sigma;634144897200000000;66
