TM;Category;unknown;Quantity
2013-11-30T00:01:00.0000000;Phi;6.35214E+017;150
2010-04-09T00:01:00.0000000;Nu;634063680600000000;704
2014-10-21T00:01:00.0000000;Psi;6.35494E+017;574
2016-09-20T00:01:00.0000000;Zeta;636,099,264,600,000,000.00000000;218
2016-02-14T00:01:00.0000000;Tau;635910048600000000;548
2014-08-19T00:02:00.0000000;Omega;635440033200000000;87
2017-12-08T00:01:00.0000000;Chi;6.364828806E+17;720
2013-07-14T00:01:00.0000000;Tau;6.350935686E+17;490
2010-05-21T00:01:00.0000000;Delta;634099968600000000;865
2017-03-08T00:01:00.0000000;Pi;6.36245E+017;593
2017-08-06T00:02:00.0000000;Epsilon;6.363757452E+17;136
2012-08-10T00:01:00.0000000;Kappa;634,801,536,600,000,000.00000000;671
2018-11-11T00:01:00.0000000;Omega;636774912600000000;914
2017-07-05T00:02:00.0000000;Chi;636,348,097,200,000,000.00000000;343
2012-10-28T00:01:00.0000000;Omicron;6.34870E+017;486
2016-10-06T00:01:00.0000000;Alpha;636113088600000000;91
2012-09-01T00:01:00.0000000;Omicron;6.34821E+017;310
2010-07-24T00:02:00.0000000;Nu;634155265200000000;505
2013-07-31T00:01:00.0000000;Rho;6.351082566E+17;126
2013-09-27T00:01:00.0000000;Iota;635158368600000000;290
2019-09-10T00:01:00.0000000;Eta;637036704600000000;924
2015-06-01T00:01:00.0000000;Tau;6.356871366E+17;824
2011-10-31T00:01:00.0000000;Gamma;6.34556E+017;369
2012-05-13T00:01:00.0000000;Sigma;634724640600000000;412
2016-07-08T00:01:00.0000000;Sigma;636035328600000000;922
2014-04-18T00:01:00.0000000;Delta;635,333,760,600,000,000.00000000;106
2012-07-18T00:01:00.0000000;Iota;634781664600000000;699
2014-10-16T00:01:00.0000000;Omicron;635,490,144,600,000,000.00000000;742
2014-01-25T00:01:00.0000000;Nu;6.352620486E+17;846
2016-05-17T00:01:00.0000000;Eta;635,990,400,600,000,000.00000000;13
2017-06-20T00:01:00.0000000;Epsilon;636,335,136,600,000,000.00000000;717
2012-06-02T00:02:00.0000000;Iota;6.34742E+017;466
2011-01-11T00:01:00.0000000;Alpha;634303008600000000;853
2018-02-18T00:01:00.0000000;Mu;6.365450886E+17;329
2012-11-08T00:02:00.0000000;Rho;634,879,297,200,000,000.00000000;945
2018-05-25T00:01:00.0000000;Phi;636628032600000000;949
2016-04-25T00:01:00.0000000;Psi;635971392600000000;799
2010-10-23T00:01:00.0000000;Theta;634233888600000000;15
2015-12-05T00:01:00.0000000;Sigma;635,848,704,600,000,000.00000000;24
2015-09-07T00:03:00.0000000;Nu;635771809800000000;60
2019-06-19T00:01:00.0000000;Iota;6.36965E+017;406
2019-02-19T00:01:00.0000000;Alpha;6.368613126E+17;637
2014-05-30T00:02:00.0000000;Chi;6.353700492E+17;664
2010-09-06T00:01:00.0000000;Alpha;634193280600000000;448
2014-08-17T00:01:00.0000000;Theta;6.354383046E+17;181
2018-05-26T00:01:00.0000000;Nu;636628896600000000;346
2018-07-14T00:01:00.0000000;Gamma;6.366712326E+17;900
2017-07-01T00:01:00.0000000;Delta;6.363446406E+17;268
2012-12-16T00:02:00.0000000;Mu;634912129200000000;137
2015-05-24T00:01:00.0000000;Eta;635680224600000000;99
2010-12-08T00:01:00.0000000;Omicron;6.34274E+017;968
2013-05-21T00:01:00.0000000;Nu;6.350469126E+17;72
2019-12-11T00:01:00.0000000;Omicron;637,116,192,600,000,000.00000000;112
2016-07-28T00:01:00.0000000;Rho;636,052,608,600,000,000.00000000;51
2019-11-20T00:03:00.0000000;Beta;637,098,049,800,000,000.00000000;209
2013-12-30T00:03:00.0000000;Xi;635239585800000000;276
2016-08-04T00:01:00.0000000;Phi;6.36059E+017;900
2019-06-23T00:02:00.0000000;Alpha;6.369684492E+17;636
2010-03-15T00:03:00.0000000;Beta;6.340420818E+17;543
2012-11-18T00:01:00.0000000;Alpha;6.348879366E+17;84
2012-12-11T00:02:00.0000000;Kappa;634907809200000000;252
2013-12-12T00:02:00.0000000;Upsilon;635224033200000000;537
2015-05-26T00:02:00.0000000;Phi;6.35682E+017;610
2011-03-16T00:01:00.0000000;Phi;6.343583046E+17;716
2012-11-18T00:01:00.0000000;Psi;6.348879366E+17;337
2016-05-31T00:01:00.0000000;Iota;636002496600000000;346
2016-09-22T00:01:00.0000000;Psi;636100992600000000;763
2010-03-13T00:01:00.0000000;Rho;6.34040E+017;667
2017-10-31T00:01:00.0000000;Zeta;6.36450E+017;980
2018-03-20T00:02:00.0000000;Beta;636571009200000000;963
2014-12-21T00:02:00.0000000;Omicron;6.355471692E+17;558
2014-11-15T00:01:00.0000000;Pi;6.355160646E+17;129
2016-11-25T00:02:00.0000000;Rho;6.361562892E+17;357
2013-08-25T00:02:00.0000000;Rho;635,129,857,200,000,000.00000000;440
2013-11-30T00:01:00.0000000;Gamma;6.35214E+017;43
2019-09-03T00:01:00.0000000;Mu;6.370306566E+17;46
2014-07-10T00:03:00.0000000;Tau;6.354054738E+17;889
2015-05-16T00:01:00.0000000;Omega;635673312600000000;889
2019-06-10T00:02:00.0000000;Delta;636957217200000000;754
2011-03-02T00:02:00.0000000;Alpha;634,346,209,200,000,000.00000000;56
2015-05-25T00:01:00.0000000;Iota;6.35681E+017;97
2018-07-19T00:01:00.0000000;Nu;636675552600000000;620
2014-08-26T00:02:00.0000000;Gamma;6.35446E+017;254
2012-03-27T00:03:00.0000000;Alpha;6.346840338E+17;396
2011-10-30T00:01:00.0000000;Phi;6.34555E+017;64
2016-01-10T00:01:00.0000000;Lambda;635,879,808,600,000,000.00000000;946
2019-07-31T00:02:00.0000000;Pi;6.370012812E+17;359
2012-11-29T00:01:00.0000000;Iota;634897440600000000;426
