TM;Category;unknown;Quantity
2013-12-06T00:01:00.0000000;Phi;6.352188486E+17;542
2019-02-18T00:01:00.0000000;Nu;6.368604486E+17;952
2019-12-24T00:01:00.0000000;Tau;6.371274246E+17;0
2019-02-17T00:01:00.0000000;Beta;6.368595846E+17;936
2010-12-11T00:01:00.0000000;Alpha;6.342762246E+17;945
2013-06-18T00:01:00.0000000;Upsilon;6.35071E+017;770
2011-09-08T00:01:00.0000000;Eta;6.345103686E+17;137
2017-09-29T00:01:00.0000000;Mu;6.364224006E+17;797
2018-03-12T00:01:00.0000000;Chi;6.365640966E+17;488
2017-09-26T00:01:00.0000000;Alpha;6.364198086E+17;410
2012-12-29T00:02:00.0000000;Omicron;634923361200000000;711
2015-12-11T00:01:00.0000000;Rho;6.35854E+017;401
2010-05-31T00:01:00.0000000;Iota;6.341086086E+17;734
2015-08-19T00:01:00.0000000;Epsilon;635,755,392,600,000,000.00000000;873
2019-10-04T00:01:00.0000000;Chi;637057440600000000;470
2015-03-04T00:01:00.0000000;Phi;6.356102406E+17;769
2010-04-06T00:01:00.0000000;Omicron;6.340610886E+17;183
2016-04-22T00:01:00.0000000;Iota;6.359688006E+17;566
2014-09-04T00:01:00.0000000;Eta;6.354538566E+17;304
2015-05-24T00:01:00.0000000;Phi;635680224600000000;327
2011-05-31T00:02:00.0000000;Delta;634,423,969,200,000,000.00000000;614
2018-10-30T00:01:00.0000000;Tau;6.367645446E+17;615
2010-11-26T00:01:00.0000000;Theta;6.342632646E+17;769
2018-06-21T00:01:00.0000000;Rho;6.36651E+017;560
2011-11-16T00:01:00.0000000;Rho;634569984600000000;259
2013-01-07T00:01:00.0000000;Rho;6.34931E+017;262
2016-03-21T00:01:00.0000000;Tau;635941152600000000;891
2014-06-19T00:01:00.0000000;Tau;6.353873286E+17;987
2014-09-29T00:01:00.0000000;Chi;635475456600000000;568
2018-03-27T00:01:00.0000000;Alpha;6.365770566E+17;585
2011-02-09T00:02:00.0000000;Xi;634328065200000000;108
2018-01-31T00:01:00.0000000;Pi;6.365295366E+17;622
2019-06-29T00:02:00.0000000;Omega;636,973,633,200,000,000.00000000;469
2019-03-09T00:01:00.0000000;Upsilon;6.368768646E+17;612
2012-09-14T00:01:00.0000000;Phi;634,831,776,600,000,000.00000000;723
2019-07-25T00:01:00.0000000;Mu;6.36996E+017;256
2018-11-16T00:01:00.0000000;Zeta;6.367792326E+17;577
2010-07-04T00:02:00.0000000;Tau;6.341379852E+17;780
2015-03-17T00:02:00.0000000;Lambda;6.356214732E+17;249
2017-07-26T00:01:00.0000000;Eta;636,366,240,600,000,000.00000000;520
2014-02-02T00:02:00.0000000;Pi;635,268,961,200,000,000.00000000;680
2014-07-12T00:01:00.0000000;Mu;6.354072006E+17;10
2018-06-18T00:01:00.0000000;Iota;636648768600000000;629
2017-10-13T00:03:00.0000000;Beta;6.364344978E+17;326
2019-11-11T00:01:00.0000000;Lambda;6.37090E+017;763
2017-03-10T00:02:00.0000000;Theta;6.362470092E+17;479
2012-03-02T00:01:00.0000000;Mu;634662432600000000;378
2018-01-26T00:02:00.0000000;Omega;6.36525E+017;834
2016-05-25T00:01:00.0000000;Kappa;6.359973126E+17;681
2014-09-21T00:01:00.0000000;Eta;6.354685446E+17;434
2013-05-13T00:01:00.0000000;Epsilon;6.35040E+017;24
2017-12-29T00:01:00.0000000;Pi;6.365010246E+17;961
2016-11-02T00:01:00.0000000;Chi;6.36136E+017;835
2018-12-29T00:01:00.0000000;Pi;636816384600000000;24
2013-03-26T00:02:00.0000000;Zeta;6.349985292E+17;409
2012-04-12T00:01:00.0000000;Chi;6.34698E+017;657
2019-12-28T00:01:00.0000000;Tau;637,130,880,600,000,000.00000000;919
2014-07-18T00:02:00.0000000;Kappa;635412385200000000;510
2010-05-12T00:01:00.0000000;Beta;6.340921926E+17;25
2016-02-26T00:02:00.0000000;Psi;6.359204172E+17;471
2016-11-28T00:01:00.0000000;Delta;636158880600000000;814
2015-11-21T00:01:00.0000000;Eta;635836608600000000;64
2019-05-05T00:02:00.0000000;Nu;636926113200000000;6
2013-08-29T00:01:00.0000000;Phi;635133312600000000;236
2018-03-30T00:02:00.0000000;Iota;6.365796492E+17;604
2016-12-02T00:01:00.0000000;Eta;636,162,336,600,000,000.00000000;827
2012-05-18T00:02:00.0000000;Eta;6.347289612E+17;104
2012-11-03T00:01:00.0000000;Psi;6.348749766E+17;132
2012-01-15T00:02:00.0000000;Nu;6.346218252E+17;231
2019-02-07T00:03:00.0000000;Iota;636850945800000000;204
2011-04-17T00:02:00.0000000;Chi;6.343859532E+17;966
2019-01-04T00:02:00.0000000;Tau;636821569200000000;376
2011-03-09T00:02:00.0000000;Psi;6.34352E+017;80
2015-11-05T00:02:00.0000000;Tau;6.35823E+017;493
2011-11-17T00:01:00.0000000;Nu;6.34571E+017;662
2011-05-08T00:02:00.0000000;Sigma;6.344040972E+17;945
2010-03-18T00:03:00.0000000;Beta;634044673800000000;523
2018-11-13T00:02:00.0000000;Beta;6.36777E+017;506
2018-03-04T00:02:00.0000000;Delta;6.36557E+017;964
2019-06-14T00:01:00.0000000;Kappa;636,960,672,600,000,000.00000000;541
2018-02-08T00:02:00.0000000;Beta;636,536,449,200,000,000.00000000;982
2019-02-08T00:01:00.0000000;Gamma;636851808600000000;710
2017-10-01T00:03:00.0000000;Lambda;636424129800000000;647
2011-01-11T00:02:00.0000000;Gamma;634303009200000000;94
2010-12-24T00:02:00.0000000;Psi;634287457200000000;637
2010-01-06T00:02:00.0000000;Iota;633983329200000000;91
2014-01-26T00:02:00.0000000;Rho;6.352629132E+17;397
2013-02-22T00:02:00.0000000;Mu;634970881200000000;759
2018-02-08T00:02:00.0000000;Alpha;636,536,449,200,000,000.00000000;523
2014-02-24T00:02:00.0000000;Lambda;635287969200000000;30
2017-03-16T00:02:00.0000000;Nu;636252193200000000;192
2017-11-16T00:02:00.0000000;Rho;6.36464E+017;418
2019-11-12T00:02:00.0000000;Delta;6.370911372E+17;130
2017-04-23T00:01:00.0000000;Gamma;636285024600000000;795
2016-06-12T00:02:00.0000000;Pi;6.360128652E+17;749
2016-09-28T00:02:00.0000000;Xi;6.361061772E+17;791
2010-10-13T00:02:00.0000000;Mu;634225249200000000;321
2018-08-18T00:02:00.0000000;Iota;6.367014732E+17;420
2014-09-27T00:01:00.0000000;Beta;635,473,728,600,000,000.00000000;349
2010-06-17T00:03:00.0000000;Alpha;634123297800000000;844
2011-04-15T00:02:00.0000000;Zeta;6.34384E+017;805
2011-03-31T00:02:00.0000000;Zeta;6.343712652E+17;321
2015-11-24T00:03:00.0000000;Psi;6.358392018E+17;642
2018-09-29T00:02:00.0000000;Gamma;636737761200000000;576
2015-03-09T00:01:00.0000000;Phi;635,614,560,600,000,000.00000000;546
2018-12-24T00:01:00.0000000;Theta;6.368120646E+17;438
2017-02-22T00:01:00.0000000;Rho;6.362331846E+17;984
2012-01-04T00:01:00.0000000;Tau;634,612,320,600,000,000.00000000;726
2015-12-20T00:01:00.0000000;Beta;635861664600000000;355
2019-07-06T00:03:00.0000000;Beta;6.36980E+017;258
2017-08-24T00:03:00.0000000;Xi;6.363912978E+17;877
2016-02-16T00:01:00.0000000;Iota;635,911,776,600,000,000.00000000;860
2016-11-05T00:02:00.0000000;Chi;6.361390092E+17;459
2016-08-16T00:02:00.0000000;Lambda;636069025200000000;653
2019-12-11T00:02:00.0000000;Delta;637,116,193,200,000,000.00000000;6
2018-10-20T00:03:00.0000000;Psi;636,755,905,800,000,000.00000000;685
2018-08-15T00:01:00.0000000;Sigma;6.36699E+017;653
2017-03-03T00:02:00.0000000;Omicron;636240961200000000;438
2010-02-10T00:01:00.0000000;Xi;6.340135686E+17;625
2012-11-10T00:01:00.0000000;Gamma;634881024600000000;650
2010-10-26T00:03:00.0000000;Theta;634,236,481,800,000,000.00000000;862
2013-02-03T00:01:00.0000000;Rho;634954464600000000;315
2018-03-12T00:03:00.0000000;Nu;636564097800000000;116
2010-01-18T00:04:00.0000000;Upsilon;6.339936984E+17;579
2011-07-07T00:02:00.0000000;Alpha;634,455,937,200,000,000.00000000;883
2011-01-19T00:02:00.0000000;Pi;6.343099212E+17;725
2010-03-03T00:01:00.0000000;Tau;634031712600000000;138
2016-02-06T00:02:00.0000000;Rho;6.359031372E+17;607
2010-08-29T00:01:00.0000000;Pi;6.341863686E+17;626
2019-10-28T00:01:00.0000000;Kappa;6.370781766E+17;875
2016-02-09T00:01:00.0000000;Beta;6.359057286E+17;352
2019-05-19T00:02:00.0000000;Kappa;6.369382092E+17;534
2010-03-05T00:02:00.0000000;Delta;634,033,441,200,000,000.00000000;281
2012-08-21T00:01:00.0000000;Eta;6.348110406E+17;192
2013-03-19T00:02:00.0000000;Beta;6.34992E+017;792
