TM;Category;unknown;Quantity
2019-12-11T00:01:00.0000000;Xi;637,116,192,600,000,000.00000000;699
2017-12-02T00:01:00.0000000;Kappa;636477696600000000;127
2018-05-17T00:01:00.0000000;Beta;6.36621E+017;15
2010-07-20T00:01:00.0000000;Omicron;6.341518086E+17;364
2011-06-22T00:01:00.0000000;Zeta;634442976600000000;629
2017-07-19T00:02:00.0000000;Omicron;6.363601932E+17;523
2016-01-29T00:01:00.0000000;Psi;635,896,224,600,000,000.00000000;182
2016-05-25T00:01:00.0000000;Omega;6.359973126E+17;702
2017-04-08T00:01:00.0000000;Upsilon;636,272,064,600,000,000.00000000;105
2010-09-02T00:01:00.0000000;Tau;634,189,824,600,000,000.00000000;892
2017-02-16T00:01:00.0000000;Zeta;636228000600000000;600
2013-12-05T00:01:00.0000000;Zeta;6.352179846E+17;720
2018-05-16T00:01:00.0000000;Psi;6.36620E+017;43
2019-10-27T00:01:00.0000000;Chi;6.370773126E+17;977
2014-05-17T00:01:00.0000000;Pi;6.353588166E+17;687
2016-06-13T00:01:00.0000000;Omega;6.360137286E+17;387
2019-07-29T00:01:00.0000000;Sigma;6.369995526E+17;79
2014-06-13T00:02:00.0000000;Psi;635382145200000000;745
2018-04-15T00:01:00.0000000;Upsilon;6.365934726E+17;480
2015-12-27T00:01:00.0000000;Nu;635867712600000000;548
2016-05-20T00:01:00.0000000;Omicron;635992992600000000;859
2019-12-13T00:01:00.0000000;Psi;637117920600000000;368
2017-12-19T00:01:00.0000000;Mu;636492384600000000;770
2014-07-16T00:01:00.0000000;Gamma;635,410,656,600,000,000.00000000;512
2010-04-09T00:01:00.0000000;Xi;634063680600000000;56
2013-04-14T00:02:00.0000000;Omicron;6.350149452E+17;889
2019-02-09T00:01:00.0000000;Nu;636852672600000000;502
2010-12-03T00:01:00.0000000;Eta;634,269,312,600,000,000.00000000;152
2017-08-15T00:01:00.0000000;Nu;636383520600000000;741
2010-03-28T00:02:00.0000000;Gamma;6.34053E+017;319
2012-10-26T00:01:00.0000000;Chi;6.34868E+017;969
2018-08-17T00:01:00.0000000;Chi;6.367006086E+17;542
2019-02-09T00:02:00.0000000;Nu;636852673200000000;493
2014-01-12T00:01:00.0000000;Zeta;635250816600000000;876
2015-05-13T00:03:00.0000000;Epsilon;6.356707218E+17;236
2017-08-30T00:02:00.0000000;Omega;636,396,481,200,000,000.00000000;741
2010-02-21T00:01:00.0000000;Chi;6.34023E+017;282
2016-05-04T00:01:00.0000000;Pi;6.35979E+017;789
2010-08-01T00:01:00.0000000;Phi;634162176600000000;645
2012-07-25T00:02:00.0000000;Psi;634787713200000000;497
2013-12-17T00:01:00.0000000;Iota;6.35228E+017;365
