TM;Category;unknown;Quantity
2018-04-01T00:01:00.0000000;Beta;636581376600000000;170
2015-03-09T00:01:00.0000000;Kappa;635,614,560,600,000,000.00000000;757
2017-02-26T00:01:00.0000000;Xi;636236640600000000;646
2018-01-09T00:01:00.0000000;Sigma;6.36511E+017;694
2018-11-18T00:01:00.0000000;Phi;6.367809606E+17;225
2017-10-30T00:01:00.0000000;Delta;6.36449E+017;832
2010-05-31T00:01:00.0000000;Nu;6.341086086E+17;821
2018-08-26T00:01:00.0000000;Beta;636,708,384,600,000,000.00000000;955
2011-12-23T00:01:00.0000000;Omicron;6.34602E+017;746
2018-12-28T00:01:00.0000000;Phi;636815520600000000;243
2010-05-26T00:01:00.0000000;Chi;6.341042886E+17;805
2010-12-24T00:02:00.0000000;Kappa;634287457200000000;69
2015-02-11T00:01:00.0000000;Omicron;6.355920966E+17;539
2015-03-06T00:01:00.0000000;Mu;635611968600000000;303
2015-01-19T00:02:00.0000000;Kappa;6.35572E+017;803
2010-04-21T00:01:00.0000000;Sigma;6.340740486E+17;240
2016-08-25T00:01:00.0000000;Rho;6.360768006E+17;49
2011-12-24T00:01:00.0000000;Omega;6.34603E+017;81
2019-02-05T00:01:00.0000000;Theta;636,849,216,600,000,000.00000000;633
2019-03-21T00:01:00.0000000;Pi;6.36887E+017;410
2018-11-08T00:01:00.0000000;Kappa;636,772,320,600,000,000.00000000;527
2018-07-24T00:01:00.0000000;Eta;636679872600000000;385
2016-10-12T00:02:00.0000000;Omicron;636118273200000000;763
2012-06-28T00:01:00.0000000;Lambda;6.347643846E+17;945
2016-10-23T00:01:00.0000000;Epsilon;636127776600000000;566
2016-04-23T00:01:00.0000000;Beta;6.359696646E+17;893
2015-10-28T00:01:00.0000000;Rho;635815872600000000;138
2013-07-07T00:01:00.0000000;Nu;6.35088E+017;19
2019-04-19T00:01:00.0000000;Xi;636,912,288,600,000,000.00000000;922
2013-11-16T00:01:00.0000000;Pi;6.352015686E+17;781
2011-08-03T00:01:00.0000000;Delta;6.344792646E+17;870
2012-12-10T00:01:00.0000000;Beta;634906944600000000;967
2018-01-17T00:02:00.0000000;Upsilon;636517441200000000;960
2017-02-11T00:01:00.0000000;Iota;636,223,680,600,000,000.00000000;353
2010-07-01T00:01:00.0000000;Chi;6.341353926E+17;802
2019-01-26T00:01:00.0000000;Epsilon;6.36841E+017;636
2011-04-14T00:01:00.0000000;Omega;6.34383E+017;209
2012-04-14T00:01:00.0000000;Omicron;6.346995846E+17;758
2012-02-18T00:02:00.0000000;Psi;6.346512012E+17;600
2012-10-24T00:01:00.0000000;Zeta;634866336600000000;435
2013-08-18T00:01:00.0000000;Beta;6.351238086E+17;52
2018-06-25T00:01:00.0000000;Kappa;6.366548166E+17;991
2018-09-26T00:02:00.0000000;Chi;6.367351692E+17;383
2016-06-10T00:02:00.0000000;Delta;6.36011E+017;22
2019-06-03T00:01:00.0000000;Sigma;6.369511686E+17;221
2015-12-21T00:01:00.0000000;Nu;635862528600000000;730
2012-06-13T00:01:00.0000000;Eta;634751424600000000;294
2019-02-11T00:01:00.0000000;Chi;6.36854E+017;931
2012-05-30T00:01:00.0000000;Omicron;634,739,328,600,000,000.00000000;134
2012-09-27T00:01:00.0000000;Lambda;6.348430086E+17;18
2017-03-20T00:03:00.0000000;Upsilon;636,255,649,800,000,000.00000000;116
2015-08-12T00:02:00.0000000;Tau;6.357493452E+17;934
2012-11-05T00:01:00.0000000;Gamma;634876704600000000;191
2018-06-03T00:01:00.0000000;Epsilon;6.36636E+017;107
2014-10-09T00:03:00.0000000;Zeta;635484097800000000;539
2014-12-31T00:01:00.0000000;Delta;635555808600000000;952
2016-10-26T00:01:00.0000000;Eta;636,130,368,600,000,000.00000000;987
2011-12-15T00:01:00.0000000;Chi;634595040600000000;415
2013-10-28T00:01:00.0000000;Phi;6.351851526E+17;480
2012-07-09T00:01:00.0000000;Omega;6.34774E+017;239
2016-04-04T00:02:00.0000000;Alpha;6.359532492E+17;89
2011-08-18T00:01:00.0000000;Kappa;6.34492E+017;669
2015-05-08T00:01:00.0000000;Delta;6.35666E+017;239
2016-01-24T00:01:00.0000000;Sigma;6.358919046E+17;695
2016-04-03T00:01:00.0000000;Pi;6.359523846E+17;75
2014-12-23T00:01:00.0000000;Alpha;635548896600000000;451
2011-01-28T00:01:00.0000000;Theta;634317696600000000;255
2011-05-05T00:01:00.0000000;Xi;6.344015046E+17;922
2018-12-26T00:03:00.0000000;Alpha;6.368137938E+17;963
2019-05-01T00:01:00.0000000;Nu;6.369226566E+17;329
2011-06-09T00:01:00.0000000;Sigma;6.34432E+017;10
2017-03-25T00:01:00.0000000;Beta;6.36260E+017;555
2016-03-02T00:02:00.0000000;Lambda;635924737200000000;50
2011-05-01T00:01:00.0000000;Upsilon;634398048600000000;244
2012-02-04T00:02:00.0000000;Kappa;6.346391052E+17;784
2018-10-21T00:02:00.0000000;Upsilon;636,756,769,200,000,000.00000000;20
2010-05-29T00:02:00.0000000;Gamma;6.341068812E+17;449
2013-08-27T00:01:00.0000000;Kappa;635131584600000000;563
2013-06-01T00:01:00.0000000;Alpha;6.35056E+017;300
2013-10-13T00:01:00.0000000;Omega;6.351721926E+17;958
2013-04-11T00:01:00.0000000;Beta;6.350123526E+17;998
2015-09-18T00:03:00.0000000;Xi;635781313800000000;20
2019-11-03T00:01:00.0000000;Iota;637083360600000000;62
2016-06-11T00:02:00.0000000;Delta;6.360120012E+17;140
2014-11-14T00:01:00.0000000;Rho;6.355152006E+17;517
2014-10-07T00:04:00.0000000;Phi;6.354823704E+17;871
2010-12-31T00:01:00.0000000;Eta;6.342935046E+17;891
2017-01-14T00:02:00.0000000;Nu;6.361994892E+17;802
2015-04-21T00:01:00.0000000;Kappa;6.35652E+017;408
2016-02-22T00:02:00.0000000;Omicron;6.35917E+017;947
2013-10-01T00:01:00.0000000;Zeta;635,161,824,600,000,000.00000000;704
2013-06-22T00:01:00.0000000;Xi;6.350745606E+17;467
2018-04-12T00:01:00.0000000;Alpha;6.36591E+017;74
2016-10-03T00:02:00.0000000;Iota;6.361104972E+17;771
2014-12-15T00:01:00.0000000;Upsilon;6.35542E+017;448
2017-03-20T00:02:00.0000000;Eta;636,255,649,200,000,000.00000000;462
2018-12-08T00:02:00.0000000;Eta;6.367982412E+17;845
2019-01-21T00:03:00.0000000;Eta;636836257800000000;457
2010-12-08T00:02:00.0000000;Eta;6.34274E+017;537
2014-02-13T00:03:00.0000000;Gamma;6.352784658E+17;997
2015-08-18T00:01:00.0000000;Rho;635,754,528,600,000,000.00000000;350
2015-07-22T00:02:00.0000000;Beta;6.357312012E+17;653
