TM;Category;unknown;Quantity
2011-10-14T00:01:00.0000000;Phi;6.34541E+017;595
2012-12-18T00:01:00.0000000;Omicron;634913856600000000;828
2015-11-10T00:01:00.0000000;Alpha;6.358271046E+17;175
2011-03-05T00:01:00.0000000;Eta;634348800600000000;685
2014-11-05T00:01:00.0000000;Omega;635507424600000000;824
2019-01-25T00:01:00.0000000;Nu;6.36840E+017;47
2012-05-23T00:01:00.0000000;Beta;6.347332806E+17;852
2010-08-23T00:01:00.0000000;Epsilon;6.34181E+017;188
2017-02-27T00:01:00.0000000;Alpha;636237504600000000;308
2010-03-06T00:01:00.0000000;Iota;634,034,304,600,000,000.00000000;14
2010-11-02T00:01:00.0000000;Alpha;6.34243E+017;132
2019-03-14T00:01:00.0000000;Beta;636,881,184,600,000,000.00000000;458
2017-10-05T00:01:00.0000000;Gamma;636,427,584,600,000,000.00000000;466
2019-08-01T00:01:00.0000000;Nu;6.370021446E+17;159
2013-04-22T00:01:00.0000000;Eta;635021856600000000;894
2013-03-13T00:02:00.0000000;Rho;634,987,297,200,000,000.00000000;361
2015-03-26T00:01:00.0000000;Alpha;635,629,248,600,000,000.00000000;123
2010-04-13T00:01:00.0000000;Mu;634067136600000000;845
2018-08-14T00:01:00.0000000;Beta;6.36698E+017;230
2017-02-01T00:01:00.0000000;Nu;6.36215E+017;57
2013-09-06T00:01:00.0000000;Gamma;6.351402246E+17;213
2013-11-09T00:02:00.0000000;Upsilon;6.35196E+017;204
2019-01-21T00:01:00.0000000;Xi;636836256600000000;29
2014-08-25T00:01:00.0000000;Zeta;635445216600000000;349
2013-02-18T00:01:00.0000000;Psi;6.349674246E+17;212
2015-11-13T00:01:00.0000000;Lambda;635829696600000000;598
2011-05-09T00:01:00.0000000;Phi;6.344049606E+17;700
2012-06-04T00:01:00.0000000;Delta;6.34744E+017;776
2018-07-10T00:01:00.0000000;Kappa;6.36668E+017;47
2013-11-06T00:01:00.0000000;Xi;635,192,928,600,000,000.00000000;339
2015-01-24T00:01:00.0000000;Rho;6.355765446E+17;685
2019-02-04T00:01:00.0000000;Epsilon;636848352600000000;977
2010-11-08T00:01:00.0000000;Xi;6.342477126E+17;210
2015-02-09T00:01:00.0000000;Nu;6.355903686E+17;383
2011-05-30T00:01:00.0000000;Delta;634423104600000000;7
2013-11-23T00:01:00.0000000;Beta;635,207,616,600,000,000.00000000;146
