TM;Category;unknown;Quantity
2017-03-04T00:01:00.0000000;Sigma;636241824600000000;212
2013-03-25T00:01:00.0000000;Pi;6.349976646E+17;23
2010-06-13T00:01:00.0000000;Epsilon;6.341198406E+17;190
2017-01-04T00:01:00.0000000;Chi;636190848600000000;845
2012-01-13T00:01:00.0000000;Psi;6.346200966E+17;806
2012-11-14T00:01:00.0000000;Phi;6.34884E+017;696
2013-11-09T00:01:00.0000000;Alpha;635195520600000000;884
2018-09-12T00:01:00.0000000;Zeta;636723072600000000;540
2013-06-20T00:01:00.0000000;Upsilon;6.35073E+017;378
2014-03-09T00:01:00.0000000;Iota;635299200600000000;575
2014-10-21T00:02:00.0000000;Eta;6.35494E+017;954
2017-06-28T00:01:00.0000000;Phi;6.363420486E+17;659
2015-10-16T00:01:00.0000000;Theta;635805504600000000;347
2010-12-26T00:01:00.0000000;Mu;6.34289E+017;918
2015-06-30T00:01:00.0000000;Tau;635712192600000000;78
2015-01-05T00:01:00.0000000;Chi;6.355601286E+17;328
2014-11-15T00:01:00.0000000;Kappa;6.355160646E+17;831
2016-10-05T00:01:00.0000000;Epsilon;636112224600000000;503
2016-05-21T00:02:00.0000000;Upsilon;6.35994E+017;799
2015-03-25T00:01:00.0000000;Iota;635628384600000000;373
2019-05-20T00:02:00.0000000;Zeta;6.369390732E+17;283
2015-07-10T00:01:00.0000000;Nu;635720832600000000;366
2012-09-02T00:01:00.0000000;Zeta;6.34821E+017;965
2012-06-15T00:01:00.0000000;Mu;634,753,152,600,000,000.00000000;650
2018-06-08T00:01:00.0000000;Beta;6.366401286E+17;249
2011-11-07T00:01:00.0000000;Epsilon;6.345622086E+17;793
2011-06-10T00:01:00.0000000;Upsilon;6.344326086E+17;28
2015-04-08T00:01:00.0000000;Omega;6.356404806E+17;290
2011-03-05T00:01:00.0000000;Beta;634348800600000000;13
2017-03-25T00:01:00.0000000;Eta;6.36260E+017;751
2014-06-19T00:01:00.0000000;Omega;6.353873286E+17;183
2010-12-21T00:01:00.0000000;Pi;634,284,864,600,000,000.00000000;789
2015-03-19T00:01:00.0000000;Rho;6.356232006E+17;448
2019-09-20T00:01:00.0000000;Pi;6.370453446E+17;412
2016-12-07T00:01:00.0000000;Phi;6.36167E+017;311
2017-02-21T00:01:00.0000000;Omega;6.362323206E+17;799
2014-05-31T00:01:00.0000000;Alpha;6.353709126E+17;120
2015-11-13T00:02:00.0000000;Kappa;635829697200000000;358
2011-03-12T00:01:00.0000000;Tau;6.343548486E+17;178
2014-03-25T00:01:00.0000000;Pi;6.353130246E+17;296
2013-12-24T00:02:00.0000000;Eta;635234401200000000;694
2011-12-04T00:01:00.0000000;Omicron;634585536600000000;77
2011-10-16T00:02:00.0000000;Phi;6.345432012E+17;894
2016-06-25T00:01:00.0000000;Pi;636024096600000000;116
2018-04-18T00:02:00.0000000;Omega;636596065200000000;453
2014-11-27T00:01:00.0000000;Sigma;6.35526E+017;882
2017-05-03T00:01:00.0000000;Phi;6.36294E+017;399
2019-12-22T00:01:00.0000000;Upsilon;6.371256966E+17;293
2015-01-19T00:01:00.0000000;Delta;6.35572E+017;643
2010-06-15T00:02:00.0000000;Phi;6.341215692E+17;762
2015-02-26T00:02:00.0000000;Beta;6.356050572E+17;837
2013-08-01T00:01:00.0000000;Xi;6.351091206E+17;724
2017-06-17T00:01:00.0000000;Alpha;636332544600000000;612
2016-05-24T00:01:00.0000000;Xi;6.35996E+017;473
2016-03-10T00:01:00.0000000;Delta;6.35932E+017;980
2016-04-09T00:01:00.0000000;Lambda;635,957,568,600,000,000.00000000;192
2013-12-26T00:01:00.0000000;Pi;635236128600000000;754
2012-10-27T00:02:00.0000000;Omega;6.34869E+017;378
2012-11-27T00:01:00.0000000;Rho;634,895,712,600,000,000.00000000;969
2013-03-16T00:01:00.0000000;Nu;634,989,888,600,000,000.00000000;607
2015-05-22T00:01:00.0000000;Psi;635678496600000000;589
2012-05-09T00:01:00.0000000;Nu;634721184600000000;923
2011-05-26T00:01:00.0000000;Gamma;6.344196486E+17;122
2018-10-23T00:02:00.0000000;Upsilon;636758497200000000;97
2017-04-30T00:01:00.0000000;Theta;636291072600000000;166
2014-09-27T00:02:00.0000000;Alpha;635,473,729,200,000,000.00000000;184
2013-11-24T00:03:00.0000000;Zeta;635208481800000000;271
2010-12-14T00:02:00.0000000;Delta;6.342788172E+17;18
2011-12-14T00:02:00.0000000;Nu;634594177200000000;613
2011-07-01T00:02:00.0000000;Alpha;6.344507532E+17;886
2012-07-18T00:01:00.0000000;Sigma;634781664600000000;448
2010-08-11T00:02:00.0000000;Zeta;634170817200000000;521
2015-04-06T00:02:00.0000000;Alpha;6.356387532E+17;172
2017-09-20T00:02:00.0000000;Upsilon;636414625200000000;563
2019-08-20T00:02:00.0000000;Phi;637018561200000000;346
2011-11-29T00:02:00.0000000;Sigma;634,581,217,200,000,000.00000000;333
2016-06-03T00:01:00.0000000;Upsilon;636,005,088,600,000,000.00000000;630
2011-11-20T00:01:00.0000000;Theta;6.345734406E+17;295
2011-12-10T00:02:00.0000000;Theta;6.345907212E+17;356
2017-10-29T00:03:00.0000000;Nu;6.36448E+017;130
2013-03-01T00:01:00.0000000;Sigma;634976928600000000;747
2014-11-16T00:03:00.0000000;Epsilon;635516929800000000;922
2013-10-29T00:01:00.0000000;Omega;6.351860166E+17;582
2010-05-23T00:01:00.0000000;Nu;6.34102E+017;262
2016-04-22T00:02:00.0000000;Kappa;6.359688012E+17;389
2010-09-03T00:01:00.0000000;Iota;634,190,688,600,000,000.00000000;548
2018-12-18T00:01:00.0000000;Chi;636806880600000000;517
2018-02-03T00:02:00.0000000;Mu;6.365321292E+17;455
2014-12-09T00:02:00.0000000;Zeta;635,536,801,200,000,000.00000000;523
2010-12-18T00:02:00.0000000;Eta;634282273200000000;602
2017-09-25T00:01:00.0000000;Alpha;6.364189446E+17;377
2018-03-19T00:02:00.0000000;Epsilon;636570145200000000;215
2014-09-27T00:01:00.0000000;Delta;635,473,728,600,000,000.00000000;351
2011-07-18T00:01:00.0000000;Upsilon;6.344654406E+17;679
2010-03-15T00:01:00.0000000;Tau;6.340420806E+17;642
2017-11-11T00:02:00.0000000;Psi;636,459,553,200,000,000.00000000;554
2018-09-20T00:01:00.0000000;Zeta;6.36730E+017;831
2011-03-07T00:02:00.0000000;Rho;6.34351E+017;902
2019-08-19T00:03:00.0000000;Nu;637017697800000000;371
2019-01-18T00:02:00.0000000;Rho;636,833,665,200,000,000.00000000;967
2014-11-22T00:02:00.0000000;Eta;635522113200000000;223
2018-06-22T00:01:00.0000000;Delta;6.36652E+017;878
2011-09-26T00:02:00.0000000;Eta;6.345259212E+17;425
2011-10-31T00:01:00.0000000;Delta;6.34556E+017;820
2012-03-27T00:02:00.0000000;Phi;6.346840332E+17;446
2011-07-09T00:03:00.0000000;Rho;634457665800000000;38
2018-03-30T00:02:00.0000000;Psi;6.365796492E+17;47
2016-04-07T00:02:00.0000000;Lambda;635955841200000000;453
2010-04-28T00:01:00.0000000;Zeta;634,080,096,600,000,000.00000000;663
2013-01-16T00:03:00.0000000;Phi;634938913800000000;938
2019-01-14T00:03:00.0000000;Zeta;636830209800000000;983
2012-11-01T00:02:00.0000000;Omicron;6.348732492E+17;209
2010-03-19T00:02:00.0000000;Psi;634045537200000000;409
2016-09-25T00:01:00.0000000;Lambda;6.36104E+017;331
2016-09-09T00:02:00.0000000;Lambda;6.360897612E+17;694
2013-03-13T00:02:00.0000000;Mu;634,987,297,200,000,000.00000000;657
2017-03-19T00:02:00.0000000;Beta;636,254,785,200,000,000.00000000;291
2012-03-18T00:01:00.0000000;Iota;634,676,256,600,000,000.00000000;458
2017-12-30T00:01:00.0000000;Kappa;6.365018886E+17;939
2017-12-09T00:01:00.0000000;Psi;6.364837446E+17;387
2012-04-11T00:01:00.0000000;Xi;6.34697E+017;158
2016-11-23T00:02:00.0000000;Beta;6.361545612E+17;341
2012-11-14T00:01:00.0000000;Lambda;6.34884E+017;693
2019-07-05T00:03:00.0000000;Chi;6.36979E+017;431
2017-03-28T00:02:00.0000000;Beta;6.362625612E+17;58
2011-10-28T00:02:00.0000000;Lambda;634553569200000000;809
2010-06-24T00:02:00.0000000;Theta;634129345200000000;884
2018-06-03T00:02:00.0000000;Sigma;6.36636E+017;873
2013-05-12T00:01:00.0000000;Beta;635039136600000000;965
