TM;Category;unknown;Quantity
2013-02-11T00:01:00.0000000;Omega;6.34961E+017;618
2011-07-26T00:01:00.0000000;Iota;634,472,352,600,000,000.00000000;854
2010-04-10T00:01:00.0000000;Lambda;634,064,544,600,000,000.00000000;999
2017-03-21T00:01:00.0000000;Theta;636,256,512,600,000,000.00000000;998
2014-12-07T00:01:00.0000000;Theta;635,535,072,600,000,000.00000000;888
2016-01-22T00:01:00.0000000;Delta;6.358901766E+17;61
2014-05-20T00:01:00.0000000;Kappa;635361408600000000;808
2012-01-30T00:01:00.0000000;Beta;6.34635E+017;380
2010-08-15T00:02:00.0000000;Alpha;634,174,273,200,000,000.00000000;167
2017-08-15T00:01:00.0000000;Sigma;636383520600000000;244
2014-10-05T00:01:00.0000000;Epsilon;6.354806406E+17;120
2012-10-28T00:01:00.0000000;Upsilon;6.34870E+017;418
2010-07-13T00:01:00.0000000;Psi;634145760600000000;845
2010-07-02T00:01:00.0000000;Zeta;6.341362566E+17;32
2010-07-14T00:01:00.0000000;Chi;634146624600000000;50
2017-08-07T00:01:00.0000000;Mu;6.363766086E+17;331
2012-06-19T00:01:00.0000000;Theta;634756608600000000;481
2013-03-07T00:01:00.0000000;Delta;6.349821126E+17;642
2015-05-09T00:01:00.0000000;Iota;6.35667E+017;497
2012-04-27T00:01:00.0000000;Omega;634710816600000000;505
2014-05-23T00:01:00.0000000;Delta;635,364,000,600,000,000.00000000;255
2016-07-12T00:01:00.0000000;Beta;636038784600000000;6
2012-05-30T00:01:00.0000000;Chi;634,739,328,600,000,000.00000000;858
2017-09-23T00:02:00.0000000;Beta;6.36417E+017;604
2014-02-13T00:01:00.0000000;Omega;6.352784646E+17;988
2015-09-07T00:01:00.0000000;Mu;635,771,808,600,000,000.00000000;398
2018-01-17T00:01:00.0000000;Zeta;6.365174406E+17;642
2019-10-01T00:01:00.0000000;Gamma;637,054,848,600,000,000.00000000;557
2019-12-12T00:01:00.0000000;Psi;637,117,056,600,000,000.00000000;423
2014-09-15T00:02:00.0000000;Sigma;6.35463E+017;165
2018-11-15T00:01:00.0000000;Iota;6.36778E+017;684
2019-12-07T00:01:00.0000000;Theta;637112736600000000;601
2018-03-12T00:01:00.0000000;Omega;6.365640966E+17;643
2018-01-28T00:02:00.0000000;Beta;6.36527E+017;985
2017-12-26T00:02:00.0000000;Mu;6.364984332E+17;633
2018-04-03T00:01:00.0000000;Beta;636583104600000000;85
2017-05-29T00:01:00.0000000;Rho;636316128600000000;334
2017-02-23T00:02:00.0000000;Iota;6.362340492E+17;643
2017-12-19T00:01:00.0000000;Eta;636492384600000000;646
2011-03-15T00:01:00.0000000;Rho;6.343574406E+17;849
2017-12-11T00:01:00.0000000;Omega;6.364854726E+17;41
2011-05-15T00:01:00.0000000;Omega;634,410,144,600,000,000.00000000;212
2013-12-25T00:01:00.0000000;Delta;635235264600000000;581
2018-07-22T00:02:00.0000000;Pi;636,678,145,200,000,000.00000000;610
2014-10-23T00:01:00.0000000;Theta;6.354961926E+17;961
2011-07-12T00:02:00.0000000;Zeta;6.34460E+017;330
