TM;Category;unknown;Quantity
2012-01-29T00:01:00.0000000;Sigma;6.34634E+017;582
2012-03-14T00:01:00.0000000;Iota;634672800600000000;540
2017-07-17T00:01:00.0000000;Zeta;6.363584646E+17;194
2019-03-26T00:01:00.0000000;Gamma;6.368915526E+17;439
2016-09-06T00:01:00.0000000;Omicron;636087168600000000;508
2018-01-01T00:01:00.0000000;Rho;636503616600000000;599
2018-08-06T00:01:00.0000000;Delta;636691104600000000;177
2019-08-19T00:01:00.0000000;Xi;6.370176966E+17;456
2016-06-06T00:01:00.0000000;Xi;636007680600000000;893
2011-08-14T00:01:00.0000000;Beta;634,488,768,600,000,000.00000000;818
2017-01-18T00:01:00.0000000;Sigma;6.362029446E+17;42
2013-11-26T00:01:00.0000000;Upsilon;635210208600000000;489
2016-03-11T00:01:00.0000000;Beta;6.35933E+017;916
2015-01-15T00:01:00.0000000;Eta;635,568,768,600,000,000.00000000;80
2013-01-17T00:01:00.0000000;Gamma;634939776600000000;300
2012-10-17T00:02:00.0000000;Chi;634860289200000000;642
2010-01-01T00:01:00.0000000;Gamma;6.339790086E+17;814
2018-07-05T00:01:00.0000000;Mu;636,663,456,600,000,000.00000000;916
2016-10-09T00:01:00.0000000;Zeta;636,115,680,600,000,000.00000000;88
2016-12-24T00:01:00.0000000;Theta;636181344600000000;748
2014-02-22T00:01:00.0000000;Xi;635,286,240,600,000,000.00000000;108
2017-06-27T00:01:00.0000000;Zeta;6.363411846E+17;833
2011-10-15T00:01:00.0000000;Kappa;6.345423366E+17;981
2014-12-02T00:02:00.0000000;Gamma;6.355307532E+17;395
2012-08-11T00:01:00.0000000;Chi;634802400600000000;769
2017-12-18T00:01:00.0000000;Delta;636,491,520,600,000,000.00000000;527
2015-04-20T00:01:00.0000000;Zeta;6.35651E+017;841
2019-01-06T00:01:00.0000000;Iota;6.36823E+017;524
2019-06-05T00:01:00.0000000;Tau;6.369528966E+17;755
2017-11-07T00:01:00.0000000;Omicron;636456096600000000;198
2014-05-16T00:01:00.0000000;Kappa;6.353579526E+17;75
2017-03-20T00:02:00.0000000;Upsilon;636,255,649,200,000,000.00000000;51
2014-06-13T00:02:00.0000000;Pi;635382145200000000;21
2015-01-19T00:01:00.0000000;Nu;6.35572E+017;743
2012-05-12T00:01:00.0000000;Beta;634,723,776,600,000,000.00000000;768
2016-07-01T00:01:00.0000000;Sigma;6.360292806E+17;746
2014-11-10T00:02:00.0000000;Epsilon;6.355117452E+17;962
2016-02-21T00:01:00.0000000;Gamma;6.35916E+017;344
2012-10-07T00:01:00.0000000;Theta;634851648600000000;922
2013-01-01T00:01:00.0000000;Beta;634,925,952,600,000,000.00000000;746
2013-03-24T00:01:00.0000000;Delta;6.349968006E+17;347
2018-09-21T00:02:00.0000000;Chi;6.36731E+017;327
2019-10-06T00:02:00.0000000;Mu;6.37059E+017;306
2014-03-31T00:03:00.0000000;Gamma;635318209800000000;573
2017-10-12T00:01:00.0000000;Xi;6.36434E+017;938
2012-09-25T00:02:00.0000000;Phi;6.348412812E+17;758
2018-07-24T00:01:00.0000000;Zeta;636679872600000000;803
2018-05-14T00:02:00.0000000;Gamma;636618529200000000;544
2017-02-19T00:02:00.0000000;Chi;6.362305932E+17;415
2014-06-08T00:02:00.0000000;Rho;635,377,825,200,000,000.00000000;661
2014-12-14T00:01:00.0000000;Mu;6.35541E+017;695
2017-01-30T00:01:00.0000000;Epsilon;6.36213E+017;122
2019-05-28T00:01:00.0000000;Gamma;636945984600000000;832
2019-04-11T00:02:00.0000000;Zeta;6.369053772E+17;633
2013-02-06T00:02:00.0000000;Iota;634,957,057,200,000,000.00000000;373
