TM;Category;unknown;Quantity
2010-03-28T00:01:00.0000000;Iota;634053312600000000;984
2019-04-24T00:01:00.0000000;Theta;636916608600000000;182
2010-06-25T00:01:00.0000000;Epsilon;634130208600000000;619
2011-09-15T00:01:00.0000000;Sigma;634516416600000000;230
2018-07-20T00:01:00.0000000;Psi;636676416600000000;485
2013-06-02T00:01:00.0000000;Xi;6.35057E+017;68
2012-07-08T00:02:00.0000000;Lambda;6.34773E+017;515
2017-10-15T00:01:00.0000000;Psi;6.364362246E+17;265
2019-03-13T00:01:00.0000000;Lambda;636880320600000000;578
2014-06-14T00:01:00.0000000;Sigma;635383008600000000;329
2016-03-05T00:01:00.0000000;Epsilon;635,927,328,600,000,000.00000000;842
2019-09-12T00:01:00.0000000;Chi;637,038,432,600,000,000.00000000;434
2015-03-17T00:01:00.0000000;Eta;6.356214726E+17;259
2013-06-06T00:01:00.0000000;Tau;6.350607366E+17;25
2015-10-02T00:01:00.0000000;Upsilon;6.357934086E+17;317
2019-02-19T00:01:00.0000000;Eta;6.368613126E+17;253
2011-12-01T00:01:00.0000000;Gamma;634,582,944,600,000,000.00000000;166
2010-06-14T00:02:00.0000000;Omicron;6.341207052E+17;484
2015-07-08T00:02:00.0000000;Rho;6.357191052E+17;466
2019-03-27T00:01:00.0000000;Omega;6.368924166E+17;795
2015-07-11T00:02:00.0000000;Pi;635721697200000000;720
2016-06-30T00:01:00.0000000;Epsilon;6.360284166E+17;978
2018-10-15T00:01:00.0000000;Iota;6.367515846E+17;821
2016-01-18T00:02:00.0000000;Sigma;6.358867212E+17;394
2018-06-01T00:02:00.0000000;Mu;636634081200000000;746
2015-01-22T00:01:00.0000000;Tau;6.355748166E+17;779
2011-02-26T00:02:00.0000000;Alpha;634342753200000000;365
2011-06-02T00:01:00.0000000;Omega;634,425,696,600,000,000.00000000;449
2019-09-10T00:01:00.0000000;Beta;637036704600000000;387
2010-05-10T00:01:00.0000000;Delta;6.340904646E+17;948
2018-06-01T00:01:00.0000000;Nu;636634080600000000;133
2016-06-27T00:01:00.0000000;Rho;6.36026E+017;71
2014-04-08T00:01:00.0000000;Upsilon;6.353251206E+17;303
2017-03-06T00:01:00.0000000;Iota;636243552600000000;605
2018-02-12T00:01:00.0000000;Rho;636539904600000000;633
2015-06-04T00:01:00.0000000;Epsilon;635689728600000000;443
2011-03-13T00:01:00.0000000;Gamma;6.343557126E+17;828
2014-06-24T00:01:00.0000000;Rho;635391648600000000;394
2012-07-30T00:01:00.0000000;Kappa;6.347920326E+17;905
2015-08-03T00:01:00.0000000;Epsilon;635741568600000000;265
2011-01-03T00:01:00.0000000;Pi;6.342960966E+17;46
2015-12-13T00:01:00.0000000;Phi;6.35856E+017;164
2010-01-17T00:01:00.0000000;Tau;6.33993E+017;78
2011-08-20T00:01:00.0000000;Nu;6.34494E+017;650
2012-09-04T00:01:00.0000000;Lambda;6.348231366E+17;533
2018-06-13T00:02:00.0000000;Alpha;636644449200000000;567
2010-05-26T00:01:00.0000000;Beta;6.341042886E+17;4
2014-06-24T00:02:00.0000000;Lambda;635391649200000000;8
2015-12-17T00:01:00.0000000;Delta;6.358590726E+17;6
2018-10-29T00:02:00.0000000;Nu;6.367636812E+17;778
2012-11-06T00:01:00.0000000;Beta;634877568600000000;249
2016-08-05T00:02:00.0000000;Beta;6.360595212E+17;374
2012-09-14T00:03:00.0000000;Rho;634,831,777,800,000,000.00000000;34
2019-09-22T00:02:00.0000000;Gamma;6.370470732E+17;492
2019-04-24T00:01:00.0000000;Kappa;636916608600000000;227
2019-03-15T00:01:00.0000000;Beta;636,882,048,600,000,000.00000000;559
2017-06-23T00:01:00.0000000;Phi;636337728600000000;713
2013-02-06T00:03:00.0000000;Pi;634,957,057,800,000,000.00000000;954
2011-01-20T00:02:00.0000000;Eta;6.343107852E+17;212
2015-03-24T00:01:00.0000000;Kappa;635627520600000000;46
2017-07-26T00:02:00.0000000;Eta;636366241200000000;277
2010-04-02T00:03:00.0000000;Phi;6.340576338E+17;115
2017-01-15T00:01:00.0000000;Psi;6.362003526E+17;732
2013-02-19T00:02:00.0000000;Iota;6.349682892E+17;184
2010-01-03T00:01:00.0000000;Alpha;6.339807366E+17;215
2011-08-18T00:02:00.0000000;Nu;6.34492E+017;139
2013-01-26T00:01:00.0000000;Zeta;6.34948E+017;881
2014-11-05T00:02:00.0000000;Beta;635507425200000000;154
2012-12-13T00:01:00.0000000;Lambda;634,909,536,600,000,000.00000000;244
2017-11-22T00:01:00.0000000;Lambda;6.364690566E+17;645
2018-09-30T00:02:00.0000000;Omega;636738625200000000;619
2011-06-18T00:01:00.0000000;Upsilon;634439520600000000;34
2013-02-16T00:01:00.0000000;Phi;6.349656966E+17;176
2012-05-08T00:01:00.0000000;Eta;634720320600000000;48
2014-01-25T00:02:00.0000000;Omega;6.352620492E+17;624
2018-08-25T00:02:00.0000000;Omega;636707521200000000;583
2019-12-29T00:01:00.0000000;Sigma;637,131,744,600,000,000.00000000;967
2014-09-13T00:02:00.0000000;Theta;6.35462E+017;341
2017-08-07T00:02:00.0000000;Delta;636376609200000000;203
2018-08-19T00:02:00.0000000;Rho;6.367023372E+17;441
2019-04-02T00:01:00.0000000;Mu;636,897,600,600,000,000.00000000;209
2015-04-16T00:01:00.0000000;Pi;635647392600000000;394
2010-02-24T00:03:00.0000000;Pi;6.340256658E+17;701
2013-12-17T00:02:00.0000000;Delta;6.35228E+017;204
2013-03-14T00:02:00.0000000;Omega;634,988,161,200,000,000.00000000;802
2011-03-07T00:01:00.0000000;Omicron;634350528600000000;969
2015-01-29T00:01:00.0000000;Lambda;635580864600000000;395
2012-03-03T00:02:00.0000000;Eta;634663297200000000;543
2011-04-21T00:03:00.0000000;Psi;634389409800000000;523
2017-12-11T00:01:00.0000000;Upsilon;6.364854726E+17;615
2010-03-25T00:01:00.0000000;Zeta;634,050,720,600,000,000.00000000;34
2017-09-04T00:02:00.0000000;Chi;6.36401E+017;104
2013-08-08T00:02:00.0000000;Gamma;635115169200000000;106
2014-09-15T00:01:00.0000000;Nu;6.35463E+017;515
2015-10-19T00:02:00.0000000;Eta;6.358080972E+17;406
2016-09-02T00:01:00.0000000;Pi;636,083,712,600,000,000.00000000;755
2018-05-21T00:01:00.0000000;Omicron;6.366245766E+17;504
2019-06-11T00:02:00.0000000;Zeta;636,958,081,200,000,000.00000000;244
2015-07-24T00:01:00.0000000;Epsilon;6.357329286E+17;592
2013-03-08T00:03:00.0000000;Sigma;6.349829778E+17;330
2016-05-01T00:01:00.0000000;Upsilon;635976576600000000;706
2017-10-13T00:01:00.0000000;Mu;6.36434E+017;823
2011-10-18T00:02:00.0000000;Mu;6.345449292E+17;25
2016-07-18T00:02:00.0000000;Omicron;6.360439692E+17;179
2012-02-03T00:01:00.0000000;Kappa;6.346382406E+17;43
2011-03-25T00:01:00.0000000;Xi;634366080600000000;951
2011-05-30T00:03:00.0000000;Chi;634,423,105,800,000,000.00000000;929
2014-10-10T00:02:00.0000000;Chi;635484961200000000;577
2016-03-03T00:02:00.0000000;Iota;635,925,601,200,000,000.00000000;478
2016-08-25T00:02:00.0000000;Mu;6.360768012E+17;853
2010-04-09T00:03:00.0000000;Lambda;634,063,681,800,000,000.00000000;454
2012-11-01T00:02:00.0000000;Chi;6.348732492E+17;21
2019-05-24T00:02:00.0000000;Epsilon;636,942,529,200,000,000.00000000;745
2012-11-30T00:01:00.0000000;Zeta;634898304600000000;238
2015-05-20T00:02:00.0000000;Alpha;635,676,769,200,000,000.00000000;575
2018-02-24T00:01:00.0000000;Omega;636550272600000000;469
2018-09-16T00:02:00.0000000;Kappa;636726529200000000;408
2010-09-10T00:02:00.0000000;Sigma;6.341967372E+17;242
2018-12-10T00:02:00.0000000;Omicron;636799969200000000;737
2013-06-22T00:01:00.0000000;Rho;6.350745606E+17;619
2011-07-17T00:03:00.0000000;Delta;6.344645778E+17;65
2016-04-07T00:03:00.0000000;Kappa;635955841800000000;508
2011-02-27T00:01:00.0000000;Kappa;634343616600000000;480
2018-03-04T00:02:00.0000000;Sigma;6.36557E+017;432
2010-09-21T00:02:00.0000000;Kappa;634,206,241,200,000,000.00000000;589
2011-10-21T00:02:00.0000000;Sigma;634547521200000000;37
2014-02-24T00:01:00.0000000;Eta;635287968600000000;62
2016-06-09T00:03:00.0000000;Sigma;6.36010E+017;418
2012-07-06T00:02:00.0000000;Chi;634771297200000000;632
2010-01-23T00:03:00.0000000;Omega;633998017800000000;716
2019-11-17T00:02:00.0000000;Theta;6.370954572E+17;742
2011-06-17T00:03:00.0000000;Omega;634,438,657,800,000,000.00000000;885
2010-11-27T00:03:00.0000000;Sigma;634264129800000000;879
2019-07-26T00:03:00.0000000;Nu;6.369969618E+17;281
2013-12-23T00:02:00.0000000;Nu;6.352335372E+17;679
2015-04-24T00:02:00.0000000;Nu;6.356543052E+17;109
2018-08-04T00:02:00.0000000;Upsilon;636689377200000000;118
2011-01-22T00:01:00.0000000;Gamma;634312512600000000;823
2019-06-08T00:04:00.0000000;Upsilon;636955490400000000;792
2017-03-24T00:01:00.0000000;Omega;636259104600000000;813
2015-03-08T00:02:00.0000000;Nu;635,613,697,200,000,000.00000000;895
2015-03-10T00:01:00.0000000;Iota;635,615,424,600,000,000.00000000;101
2011-04-19T00:02:00.0000000;Iota;6.343876812E+17;748
2018-09-17T00:01:00.0000000;Zeta;636727392600000000;607
2017-07-20T00:02:00.0000000;Gamma;636361057200000000;121
2017-01-25T00:04:00.0000000;Kappa;636208994400000000;814
2015-03-24T00:03:00.0000000;Omicron;635,627,521,800,000,000.00000000;681
2016-02-11T00:03:00.0000000;Phi;635907457800000000;183
2017-11-20T00:02:00.0000000;Beta;6.364673292E+17;75
2019-07-24T00:02:00.0000000;Theta;6.36995E+017;574
2019-08-13T00:02:00.0000000;Rho;6.37013E+017;125
2014-05-15T00:02:00.0000000;Tau;6.353570892E+17;676
2011-02-23T00:01:00.0000000;Alpha;6.343401606E+17;343
2019-02-12T00:02:00.0000000;Xi;6.36855E+017;980
2016-12-12T00:01:00.0000000;Chi;6.361709766E+17;672
2015-10-26T00:02:00.0000000;Epsilon;635814145200000000;967
2016-03-22T00:03:00.0000000;Chi;635,942,017,800,000,000.00000000;788
2010-07-28T00:03:00.0000000;Upsilon;634,158,721,800,000,000.00000000;404
2011-10-17T00:01:00.0000000;Chi;6.345440646E+17;255
2013-09-05T00:02:00.0000000;Rho;6.351393612E+17;419
2010-03-02T00:03:00.0000000;Lambda;634030849800000000;419
2016-05-19T00:02:00.0000000;Beta;635992129200000000;497
2012-08-26T00:03:00.0000000;Upsilon;634,815,361,800,000,000.00000000;711
2011-11-13T00:04:00.0000000;Tau;634567394400000000;419
2011-12-27T00:02:00.0000000;Upsilon;6.346054092E+17;293
2012-02-22T00:03:00.0000000;Kappa;6.346546578E+17;2
2010-06-01T00:01:00.0000000;Epsilon;634109472600000000;898
2014-06-21T00:01:00.0000000;Omega;6.353890566E+17;375
2015-10-04T00:03:00.0000000;Delta;6.357951378E+17;566
2016-03-02T00:04:00.0000000;Delta;635,924,738,400,000,000.00000000;894
2016-09-23T00:01:00.0000000;Theta;636101856600000000;666
2015-08-09T00:01:00.0000000;Omicron;6.357467526E+17;124
2011-10-05T00:02:00.0000000;Sigma;634,533,697,200,000,000.00000000;739
2012-12-21T00:03:00.0000000;Psi;6.349164498E+17;499
2017-03-17T00:02:00.0000000;Epsilon;636253057200000000;503
2011-12-26T00:02:00.0000000;Upsilon;6.346045452E+17;94
2010-12-04T00:02:00.0000000;Beta;634270177200000000;106
2015-07-15T00:02:00.0000000;Zeta;635725153200000000;793
2018-11-26T00:02:00.0000000;Iota;636,787,873,200,000,000.00000000;762
2012-10-21T00:02:00.0000000;Phi;634,863,745,200,000,000.00000000;223
2013-03-06T00:02:00.0000000;Psi;6.349812492E+17;477
2017-11-30T00:04:00.0000000;Gamma;636475970400000000;501
2010-05-03T00:03:00.0000000;Beta;6.34084E+017;782
2011-01-18T00:05:00.0000000;Zeta;6.34309059E+17;861
2017-10-31T00:05:00.0000000;Pi;6.36450051E+17;424
2017-06-09T00:02:00.0000000;Omega;6.363256332E+17;766
2019-12-06T00:01:00.0000000;Gamma;6.371118726E+17;515
2019-05-25T00:04:00.0000000;Mu;636,943,394,400,000,000.00000000;232
2019-08-19T00:03:00.0000000;Iota;637017697800000000;656
2013-07-26T00:05:00.0000000;Upsilon;6.35103939E+17;167
2016-04-28T00:02:00.0000000;Tau;635,973,985,200,000,000.00000000;47
2010-12-15T00:04:00.0000000;Pi;634279682400000000;82
2011-05-17T00:03:00.0000000;Psi;634411873800000000;274
2016-12-13T00:04:00.0000000;Theta;636171842400000000;340
2015-10-13T00:04:00.0000000;Kappa;635802914400000000;314
2011-10-29T00:01:00.0000000;Epsilon;634554432600000000;225
2019-07-11T00:02:00.0000000;Gamma;6.369840012E+17;255
2012-04-04T00:02:00.0000000;Omicron;634,690,945,200,000,000.00000000;538
2011-12-26T00:04:00.0000000;Upsilon;6.346045464E+17;586
2010-05-04T00:03:00.0000000;Lambda;6.34085E+017;457
2014-03-14T00:02:00.0000000;Xi;635303521200000000;760
2017-10-10T00:02:00.0000000;Chi;6.36432E+017;597
2019-12-25T00:01:00.0000000;Theta;637128288600000000;131
2011-06-11T00:05:00.0000000;Iota;6.34433475E+17;201
2014-03-26T00:05:00.0000000;Pi;635,313,891,000,000,000.00000000;871
2017-12-08T00:02:00.0000000;Alpha;6.364828812E+17;642
2014-12-17T00:02:00.0000000;Mu;6.355437132E+17;819
2012-12-10T00:02:00.0000000;Pi;634906945200000000;55
2010-05-23T00:03:00.0000000;Kappa;6.34102E+017;405
2014-09-18T00:02:00.0000000;Xi;6.354659532E+17;267
2017-10-08T00:05:00.0000000;Epsilon;6.36430E+017;679
2015-02-14T00:03:00.0000000;Omega;635594689800000000;937
2019-05-18T00:02:00.0000000;Delta;6.369373452E+17;220
2016-08-03T00:02:00.0000000;Kappa;6.36058E+017;281
2017-08-22T00:03:00.0000000;Nu;6.363895698E+17;359
2012-09-25T00:02:00.0000000;Beta;6.348412812E+17;977
2018-09-06T00:02:00.0000000;Pi;6.367178892E+17;763
