TM;Category;unknown;Quantity
2012-12-25T00:01:00.0000000;Theta;6.349199046E+17;163
2010-11-09T00:01:00.0000000;Mu;6.342485766E+17;241
2010-12-17T00:01:00.0000000;Upsilon;634281408600000000;5
2012-09-25T00:01:00.0000000;Kappa;6.348412806E+17;482
2018-08-19T00:01:00.0000000;Xi;6.367023366E+17;820
2016-11-24T00:01:00.0000000;Rho;6.361554246E+17;541
2017-11-01T00:01:00.0000000;Mu;6.364509126E+17;213
2018-04-20T00:01:00.0000000;Psi;636597792600000000;273
2013-12-15T00:01:00.0000000;Rho;635226624600000000;443
2012-07-28T00:01:00.0000000;Beta;6.34790E+017;973
2014-07-07T00:01:00.0000000;Theta;6.354028806E+17;203
2012-05-12T00:01:00.0000000;Tau;634,723,776,600,000,000.00000000;423
2016-06-15T00:01:00.0000000;Nu;6.360154566E+17;314
2013-11-20T00:01:00.0000000;Eta;635205024600000000;665
2018-09-30T00:01:00.0000000;Delta;636738624600000000;294
2015-06-29T00:01:00.0000000;Psi;635711328600000000;704
2016-07-20T00:01:00.0000000;Nu;6.360456966E+17;386
2016-11-16T00:01:00.0000000;Mu;636148512600000000;920
2019-11-07T00:01:00.0000000;Pi;637086816600000000;656
2011-03-30T00:02:00.0000000;Theta;6.343704012E+17;97
2015-09-17T00:01:00.0000000;Zeta;6.357804486E+17;966
2018-07-21T00:01:00.0000000;Nu;636,677,280,600,000,000.00000000;604
2016-09-23T00:01:00.0000000;Tau;636101856600000000;438
2013-01-03T00:02:00.0000000;Kappa;634927681200000000;873
2015-05-20T00:01:00.0000000;Upsilon;635,676,768,600,000,000.00000000;85
2018-01-27T00:01:00.0000000;Omicron;6.36526E+017;223
2019-06-23T00:01:00.0000000;Nu;6.369684486E+17;529
2012-10-24T00:01:00.0000000;Chi;634866336600000000;697
2017-06-14T00:02:00.0000000;Pi;636329953200000000;517
2016-06-29T00:01:00.0000000;Delta;6.36028E+017;38
2014-04-28T00:01:00.0000000;Kappa;6.353424006E+17;754
2016-04-27T00:01:00.0000000;Psi;635,973,120,600,000,000.00000000;708
2016-07-22T00:02:00.0000000;Sigma;6.360474252E+17;325
2012-06-06T00:01:00.0000000;Zeta;6.347453766E+17;990
2016-09-17T00:02:00.0000000;Omega;636096673200000000;349
2013-01-03T00:01:00.0000000;Phi;634927680600000000;5
2013-06-14T00:01:00.0000000;Lambda;635,067,648,600,000,000.00000000;760
2017-07-23T00:02:00.0000000;Theta;636,363,649,200,000,000.00000000;140
2012-03-06T00:02:00.0000000;Chi;6.34666E+017;425
2014-10-20T00:01:00.0000000;Beta;6.35494E+017;292
2015-01-25T00:01:00.0000000;Sigma;6.355774086E+17;747
2012-04-11T00:01:00.0000000;Iota;6.34697E+017;142
2016-05-10T00:01:00.0000000;Rho;6.359843526E+17;102
2015-07-12T00:01:00.0000000;Sigma;635722560600000000;826
2019-01-06T00:02:00.0000000;Xi;6.36823E+017;698
2016-09-22T00:02:00.0000000;Gamma;636100993200000000;287
2015-12-03T00:01:00.0000000;Kappa;635846976600000000;92
2010-04-29T00:02:00.0000000;Upsilon;634,080,961,200,000,000.00000000;926
2019-05-14T00:01:00.0000000;Nu;6.36934E+017;770
2017-04-07T00:01:00.0000000;Pi;636,271,200,600,000,000.00000000;755
2017-07-29T00:01:00.0000000;Nu;636368832600000000;137
2019-03-02T00:03:00.0000000;Beta;6.36871E+017;283
2014-08-29T00:01:00.0000000;Zeta;6.35449E+017;131
2012-03-31T00:01:00.0000000;Kappa;6.346874886E+17;356
2016-11-04T00:01:00.0000000;Beta;6.361381446E+17;387
2013-02-11T00:01:00.0000000;Gamma;6.34961E+017;538
2012-12-21T00:01:00.0000000;Pi;6.34916E+017;462
2012-02-15T00:01:00.0000000;Eta;6.34649E+017;947
2015-03-25T00:01:00.0000000;Omega;635628384600000000;875
2015-07-03T00:02:00.0000000;Tau;6.357147852E+17;19
2012-02-26T00:01:00.0000000;Lambda;634658112600000000;729
2014-12-04T00:01:00.0000000;Epsilon;635532480600000000;883
2019-04-13T00:02:00.0000000;Delta;6.369071052E+17;38
2013-03-31T00:02:00.0000000;Zeta;635,002,849,200,000,000.00000000;683
2017-03-14T00:02:00.0000000;Alpha;6.362504652E+17;89
2014-01-13T00:01:00.0000000;Iota;635251680600000000;400
2011-01-13T00:02:00.0000000;Rho;6.34305E+017;275
2014-11-02T00:02:00.0000000;Sigma;635,504,833,200,000,000.00000000;870
2011-01-15T00:01:00.0000000;Xi;6.34306E+017;831
2015-01-08T00:01:00.0000000;Theta;6.355627206E+17;464
2010-12-04T00:02:00.0000000;Iota;634270177200000000;140
2013-06-10T00:01:00.0000000;Psi;635064192600000000;979
2018-12-10T00:01:00.0000000;Sigma;636799968600000000;927
2016-01-20T00:02:00.0000000;Phi;6.358884492E+17;276
2017-10-18T00:02:00.0000000;Lambda;6.364388172E+17;733
2013-12-16T00:02:00.0000000;Phi;6.35227E+017;228
2017-10-06T00:03:00.0000000;Sigma;636428449800000000;519
2015-08-18T00:02:00.0000000;Iota;635,754,529,200,000,000.00000000;482
2017-12-06T00:02:00.0000000;Chi;6.364811532E+17;500
2015-06-30T00:02:00.0000000;Epsilon;6.35712E+017;504
2010-07-12T00:02:00.0000000;Upsilon;634144897200000000;95
2016-09-11T00:02:00.0000000;Pi;6.360914892E+17;599
2017-07-09T00:03:00.0000000;Iota;636351553800000000;6
2018-02-16T00:01:00.0000000;Omicron;6.36543E+017;239
2018-10-01T00:01:00.0000000;Gamma;636739488600000000;671
2015-06-30T00:01:00.0000000;Sigma;635712192600000000;471
2012-11-09T00:01:00.0000000;Iota;634,880,160,600,000,000.00000000;842
2012-12-29T00:01:00.0000000;Eta;634923360600000000;628
2018-10-09T00:02:00.0000000;Chi;6.36746E+017;832
2016-03-03T00:02:00.0000000;Gamma;635,925,601,200,000,000.00000000;320
2016-06-26T00:01:00.0000000;Nu;636024960600000000;93
2010-01-11T00:03:00.0000000;Rho;633987649800000000;790
2017-03-14T00:02:00.0000000;Zeta;6.362504652E+17;835
2018-09-05T00:02:00.0000000;Omicron;6.367170252E+17;487
2017-12-30T00:01:00.0000000;Eta;6.365018886E+17;207
2011-04-15T00:01:00.0000000;Omicron;6.34384E+017;610
2016-06-23T00:01:00.0000000;Sigma;636,022,368,600,000,000.00000000;698
2010-04-05T00:04:00.0000000;Chi;634060226400000000;584
2017-04-19T00:02:00.0000000;Lambda;6.362815692E+17;314
2012-03-28T00:02:00.0000000;Mu;6.346848972E+17;92
2011-09-15T00:02:00.0000000;Theta;634516417200000000;883
2013-01-25T00:01:00.0000000;Kappa;6.34947E+017;749
2014-12-22T00:02:00.0000000;Upsilon;635548033200000000;413
2010-06-03T00:01:00.0000000;Iota;634111200600000000;660
2017-10-23T00:02:00.0000000;Beta;636,443,137,200,000,000.00000000;574
2012-03-25T00:02:00.0000000;Gamma;6.346823052E+17;588
2010-03-22T00:02:00.0000000;Omicron;634,048,129,200,000,000.00000000;201
2010-03-29T00:01:00.0000000;Kappa;6.34054E+017;815
2014-08-07T00:03:00.0000000;Sigma;6.35430E+017;974
2019-11-30T00:01:00.0000000;Chi;6.37107E+017;833
2019-04-05T00:01:00.0000000;Psi;636900192600000000;545
2019-07-04T00:02:00.0000000;Omicron;636977953200000000;278
2013-10-06T00:03:00.0000000;Mu;6.351661458E+17;644
2019-06-08T00:02:00.0000000;Eta;636955489200000000;353
2012-01-23T00:01:00.0000000;Rho;634,628,736,600,000,000.00000000;847
2012-03-04T00:03:00.0000000;Pi;6.34664E+017;35
2011-06-08T00:02:00.0000000;Phi;6.34431E+017;535
2018-03-07T00:02:00.0000000;Tau;6.365597772E+17;617
2013-06-27T00:01:00.0000000;Gamma;635078880600000000;713
2010-08-15T00:01:00.0000000;Omega;634,174,272,600,000,000.00000000;836
2010-10-31T00:03:00.0000000;Xi;6.34241E+017;52
2017-01-09T00:02:00.0000000;Phi;636195169200000000;83
2012-02-25T00:02:00.0000000;Epsilon;634657249200000000;47
2019-01-16T00:04:00.0000000;Alpha;636,831,938,400,000,000.00000000;863
2010-04-21T00:02:00.0000000;Pi;6.340740492E+17;656
2015-11-03T00:01:00.0000000;Alpha;635821056600000000;80
2010-08-02T00:02:00.0000000;Pi;6.34163E+017;81
2015-01-25T00:01:00.0000000;Mu;6.355774086E+17;908
2018-12-31T00:02:00.0000000;Phi;636,818,113,200,000,000.00000000;133
2013-11-25T00:01:00.0000000;Beta;635209344600000000;132
2010-08-04T00:02:00.0000000;Xi;6.34165E+017;415
2014-09-22T00:01:00.0000000;Delta;6.354694086E+17;789
2014-06-30T00:02:00.0000000;Sigma;635396833200000000;237
2014-11-21T00:02:00.0000000;Theta;635521249200000000;317
2016-07-24T00:03:00.0000000;Rho;636049153800000000;618
2015-01-09T00:01:00.0000000;Sigma;6.355635846E+17;811
2010-02-06T00:02:00.0000000;Phi;6.340101132E+17;590
2015-12-15T00:02:00.0000000;Omicron;6.358573452E+17;960
2013-07-09T00:02:00.0000000;Pi;6.350892492E+17;226
2017-01-06T00:02:00.0000000;Delta;636,192,577,200,000,000.00000000;995
2015-07-28T00:01:00.0000000;Theta;635736384600000000;730
2010-04-18T00:04:00.0000000;Delta;6.340714584E+17;526
2012-08-03T00:01:00.0000000;Theta;6.347954886E+17;99
2016-05-23T00:02:00.0000000;Rho;6.35996E+017;802
2012-01-24T00:03:00.0000000;Chi;634629601800000000;256
2011-08-08T00:02:00.0000000;Omega;634483585200000000;644
2019-07-30T00:01:00.0000000;Psi;6.370004166E+17;82
2010-02-12T00:01:00.0000000;Theta;634015296600000000;495
2014-05-31T00:03:00.0000000;Phi;6.353709138E+17;312
2014-10-27T00:01:00.0000000;Chi;6.354996486E+17;388
2015-09-24T00:02:00.0000000;Sigma;635,786,497,200,000,000.00000000;105
2015-06-01T00:02:00.0000000;Gamma;6.356871372E+17;322
2017-02-10T00:02:00.0000000;Rho;636,222,817,200,000,000.00000000;397
2016-04-16T00:01:00.0000000;Alpha;6.35964E+017;78
2018-04-16T00:01:00.0000000;Eta;6.365943366E+17;825
2015-01-06T00:03:00.0000000;Gamma;6.355609938E+17;257
2010-07-22T00:01:00.0000000;Tau;6.341535366E+17;183
2011-02-26T00:02:00.0000000;Psi;634342753200000000;820
2019-07-26T00:02:00.0000000;Iota;6.36997E+017;864
2012-04-30T00:02:00.0000000;Psi;6.347134092E+17;907
2014-01-07T00:01:00.0000000;Lambda;6.352464966E+17;174
2012-10-29T00:01:00.0000000;Gamma;6.348706566E+17;835
2017-06-06T00:03:00.0000000;Theta;6.36323E+017;731
2011-05-18T00:02:00.0000000;Alpha;634412737200000000;678
2015-08-16T00:01:00.0000000;Omicron;635752800600000000;780
2018-06-09T00:03:00.0000000;Lambda;6.366409938E+17;610
2017-10-01T00:03:00.0000000;Delta;636424129800000000;76
2015-09-04T00:01:00.0000000;Epsilon;635769216600000000;58
2012-01-31T00:03:00.0000000;Lambda;6.346356498E+17;257
2015-02-13T00:02:00.0000000;Tau;6.355938252E+17;439
2018-10-11T00:02:00.0000000;Eta;6.367481292E+17;312
2014-09-16T00:02:00.0000000;Eta;6.354642252E+17;711
2016-11-10T00:01:00.0000000;Omicron;636143328600000000;646
2014-01-19T00:02:00.0000000;Pi;635256865200000000;735
2017-08-26T00:01:00.0000000;Chi;636393024600000000;49
2019-03-02T00:01:00.0000000;Tau;6.36871E+017;115
2017-10-22T00:02:00.0000000;Mu;636,442,273,200,000,000.00000000;677
2016-01-06T00:02:00.0000000;Sigma;635876353200000000;631
2018-11-30T00:02:00.0000000;Gamma;6.36791E+017;405
2010-12-27T00:03:00.0000000;Xi;6.342900498E+17;709
2015-07-05T00:03:00.0000000;Iota;6.357165138E+17;466
2017-10-14T00:02:00.0000000;Rho;6.364353612E+17;674
2015-09-15T00:01:00.0000000;Epsilon;6.357787206E+17;370
2011-06-05T00:02:00.0000000;Delta;634428289200000000;538
2016-01-14T00:02:00.0000000;Pi;635883265200000000;990
2018-01-02T00:02:00.0000000;Mu;636,504,481,200,000,000.00000000;953
2010-11-19T00:01:00.0000000;Mu;634257216600000000;986
2010-03-14T00:02:00.0000000;Delta;6.340412172E+17;249
2019-01-28T00:02:00.0000000;Upsilon;6.368423052E+17;407
2015-12-24T00:04:00.0000000;Theta;635865122400000000;44
2017-01-01T00:02:00.0000000;Xi;6.361882572E+17;69
2019-06-28T00:03:00.0000000;Sigma;636972769800000000;832
2014-05-27T00:01:00.0000000;Rho;635367456600000000;359
2019-03-30T00:02:00.0000000;Tau;636895009200000000;516
2011-10-09T00:02:00.0000000;Epsilon;634537153200000000;251
2015-07-15T00:01:00.0000000;Gamma;635,725,152,600,000,000.00000000;544
2013-06-11T00:03:00.0000000;Gamma;635,065,057,800,000,000.00000000;597
2010-01-11T00:03:00.0000000;Tau;633987649800000000;163
2017-01-16T00:02:00.0000000;Delta;6.362012172E+17;557
2011-03-01T00:02:00.0000000;Nu;634,345,345,200,000,000.00000000;830
2016-09-10T00:03:00.0000000;Zeta;6.360906258E+17;230
2017-11-06T00:02:00.0000000;Nu;636455233200000000;757
2016-08-28T00:02:00.0000000;Zeta;636079393200000000;461
2011-02-16T00:02:00.0000000;Theta;634334113200000000;562
2011-09-03T00:02:00.0000000;Tau;634506049200000000;687
2012-10-09T00:03:00.0000000;Theta;6.348533778E+17;842
2018-02-04T00:03:00.0000000;Theta;636532993800000000;519
2012-03-19T00:03:00.0000000;Omega;634677121800000000;401
2019-12-15T00:03:00.0000000;Omicron;6.37120E+017;978
2011-10-19T00:02:00.0000000;Mu;6.345457932E+17;966
2011-05-18T00:03:00.0000000;Epsilon;6.34413E+017;456
2015-06-12T00:01:00.0000000;Sigma;635696640600000000;896
2019-09-04T00:01:00.0000000;Beta;6.370315206E+17;376
2013-07-18T00:03:00.0000000;Alpha;635,097,025,800,000,000.00000000;811
2014-11-19T00:02:00.0000000;Xi;635,519,521,200,000,000.00000000;625
2015-05-01T00:04:00.0000000;Xi;635,660,354,400,000,000.00000000;257
2019-11-24T00:04:00.0000000;Chi;637101506400000000;914
2018-08-30T00:03:00.0000000;Gamma;636711841800000000;525
2015-10-17T00:02:00.0000000;Xi;6.35806E+017;220
2015-03-04T00:03:00.0000000;Alpha;635610241800000000;996
2012-04-07T00:02:00.0000000;Rho;634693537200000000;418
2014-12-19T00:03:00.0000000;Epsilon;6.355454418E+17;933
2013-10-01T00:02:00.0000000;Pi;635161825200000000;99
2011-09-27T00:01:00.0000000;Theta;6.345267846E+17;863
2012-05-26T00:02:00.0000000;Nu;634735873200000000;926
2010-08-11T00:03:00.0000000;Sigma;634170817800000000;714
2010-03-22T00:03:00.0000000;Rho;634,048,129,800,000,000.00000000;923
2011-10-26T00:02:00.0000000;Beta;634551841200000000;285
2012-07-01T00:03:00.0000000;Theta;634,766,977,800,000,000.00000000;406
2014-03-16T00:03:00.0000000;Mu;6.35305E+017;99
2010-01-18T00:03:00.0000000;Kappa;6.339936978E+17;96
2010-05-31T00:02:00.0000000;Xi;634108609200000000;137
2011-03-12T00:02:00.0000000;Sigma;6.343548492E+17;111
2013-07-17T00:02:00.0000000;Iota;635096161200000000;87
2016-11-15T00:02:00.0000000;Omicron;636147649200000000;560
2019-02-01T00:02:00.0000000;Zeta;6.368457612E+17;625
2018-02-18T00:03:00.0000000;Delta;6.365450898E+17;205
2010-06-07T00:04:00.0000000;Eta;6.34115E+017;902
2016-01-07T00:05:00.0000000;Omicron;635,877,219,000,000,000.00000000;801
2015-07-31T00:02:00.0000000;Epsilon;635,738,977,200,000,000.00000000;218
