TM;Category;unknown;Quantity
2018-07-09T00:01:00.0000000;Omega;6.36667E+017;98
2016-04-13T00:01:00.0000000;Pi;635961024600000000;340
2012-04-19T00:01:00.0000000;Sigma;634703904600000000;110
2010-08-30T00:01:00.0000000;Pi;634187232600000000;7
2010-09-08T00:01:00.0000000;Iota;6.34195E+017;334
2013-05-21T00:01:00.0000000;Upsilon;6.350469126E+17;358
2015-03-12T00:02:00.0000000;Phi;635617153200000000;863
2010-04-08T00:02:00.0000000;Gamma;634062817200000000;457
2018-08-03T00:01:00.0000000;Xi;6.366885126E+17;92
2019-07-13T00:01:00.0000000;Xi;6.369857286E+17;576
2010-08-18T00:01:00.0000000;Iota;634176864600000000;407
2017-05-30T00:01:00.0000000;Beta;636316992600000000;229
2013-04-08T00:01:00.0000000;Omicron;6.35010E+017;581
2018-01-28T00:01:00.0000000;Nu;6.36527E+017;673
2016-10-07T00:01:00.0000000;Beta;636,113,952,600,000,000.00000000;666
2016-12-17T00:01:00.0000000;Zeta;636175296600000000;548
2013-09-08T00:02:00.0000000;Chi;635141953200000000;48
2015-02-19T00:01:00.0000000;Theta;635,599,008,600,000,000.00000000;158
2010-04-14T00:01:00.0000000;Nu;634068000600000000;431
2016-06-29T00:01:00.0000000;Pi;6.36028E+017;220
2010-07-04T00:01:00.0000000;Tau;6.341379846E+17;715
2012-10-17T00:01:00.0000000;Sigma;634860288600000000;824
2018-12-11T00:01:00.0000000;Beta;636800832600000000;866
2015-12-17T00:01:00.0000000;Gamma;6.358590726E+17;489
2013-09-07T00:01:00.0000000;Kappa;6.351410886E+17;919
2019-03-28T00:03:00.0000000;Phi;636893281800000000;459
2011-08-24T00:01:00.0000000;Sigma;6.344974086E+17;846
2018-03-03T00:01:00.0000000;Omega;636556320600000000;455
2018-12-10T00:01:00.0000000;Rho;636799968600000000;925
2013-05-01T00:01:00.0000000;Phi;6.350296326E+17;732
2017-02-08T00:01:00.0000000;Alpha;636221088600000000;932
2016-12-23T00:02:00.0000000;Xi;636180481200000000;704
2019-03-04T00:01:00.0000000;Tau;6.36873E+017;918
2011-11-25T00:01:00.0000000;Eta;6.345777606E+17;942
2016-04-12T00:02:00.0000000;Kappa;635960161200000000;368
2017-12-18T00:02:00.0000000;Mu;636491521200000000;180
2010-11-21T00:01:00.0000000;Epsilon;6.34259E+017;794
2019-06-07T00:01:00.0000000;Zeta;6.369546246E+17;547
2017-09-11T00:02:00.0000000;Omega;6.364068492E+17;42
2018-05-08T00:02:00.0000000;Xi;636613345200000000;301
2014-08-16T00:01:00.0000000;Epsilon;6.354374406E+17;874
2015-10-24T00:03:00.0000000;Beta;6.358124178E+17;190
2016-04-18T00:01:00.0000000;Kappa;6.359653446E+17;789
2015-06-12T00:01:00.0000000;Rho;635696640600000000;976
2014-02-16T00:03:00.0000000;Iota;635281057800000000;275
2019-06-10T00:01:00.0000000;Beta;636957216600000000;729
2012-11-13T00:01:00.0000000;Alpha;6.34884E+017;757
2018-03-04T00:01:00.0000000;Phi;6.36557E+017;265
2018-01-08T00:02:00.0000000;Rho;6.36510E+017;880
2019-04-19T00:01:00.0000000;Eta;636,912,288,600,000,000.00000000;8
2011-08-18T00:02:00.0000000;Omicron;6.34492E+017;524
2010-01-23T00:03:00.0000000;Epsilon;633998017800000000;158
2013-11-06T00:01:00.0000000;Omega;635,192,928,600,000,000.00000000;513
2014-07-10T00:02:00.0000000;Sigma;6.354054732E+17;865
2019-02-09T00:01:00.0000000;Theta;636852672600000000;945
2011-08-13T00:02:00.0000000;Alpha;634,487,905,200,000,000.00000000;875
2019-08-28T00:03:00.0000000;Chi;6.37025E+017;112
2014-02-05T00:01:00.0000000;Gamma;635,271,552,600,000,000.00000000;420
2016-05-31T00:01:00.0000000;Mu;636002496600000000;454
2012-08-27T00:01:00.0000000;Delta;634,816,224,600,000,000.00000000;147
2013-12-10T00:01:00.0000000;Phi;635,222,304,600,000,000.00000000;710
2010-04-28T00:02:00.0000000;Psi;634,080,097,200,000,000.00000000;645
2012-02-17T00:03:00.0000000;Rho;6.346503378E+17;576
2014-05-23T00:01:00.0000000;Psi;635,364,000,600,000,000.00000000;904
2019-11-17T00:01:00.0000000;Tau;6.370954566E+17;592
2014-07-08T00:01:00.0000000;Beta;6.354037446E+17;49
2018-05-03T00:01:00.0000000;Mu;6.366090246E+17;472
2018-09-05T00:01:00.0000000;Alpha;6.367170246E+17;230
2011-12-31T00:02:00.0000000;Beta;634608865200000000;980
2018-10-02T00:01:00.0000000;Omicron;636,740,352,600,000,000.00000000;900
2012-03-01T00:01:00.0000000;Omega;634661568600000000;381
2015-09-28T00:02:00.0000000;Upsilon;6.35790E+017;536
2019-09-14T00:02:00.0000000;Psi;637040161200000000;724
2014-05-14T00:02:00.0000000;Gamma;6.353562252E+17;316
2015-10-03T00:01:00.0000000;Iota;6.357942726E+17;950
2010-12-20T00:01:00.0000000;Eta;634,284,000,600,000,000.00000000;544
2018-09-20T00:02:00.0000000;Omicron;6.36730E+017;808
2019-11-20T00:03:00.0000000;Upsilon;637,098,049,800,000,000.00000000;210
2017-01-10T00:01:00.0000000;Lambda;636196032600000000;254
2015-06-08T00:01:00.0000000;Kappa;635,693,184,600,000,000.00000000;896
2016-11-19T00:02:00.0000000;Psi;6.36151E+017;562
2011-03-30T00:02:00.0000000;Upsilon;6.343704012E+17;335
2016-05-28T00:01:00.0000000;Upsilon;6.359999046E+17;207
2017-03-23T00:02:00.0000000;Iota;636258241200000000;387
2015-04-06T00:02:00.0000000;Iota;6.356387532E+17;187
2015-12-17T00:02:00.0000000;Xi;6.358590732E+17;536
2011-08-30T00:04:00.0000000;Psi;634,502,594,400,000,000.00000000;573
2019-02-03T00:01:00.0000000;Mu;636847488600000000;453
2017-06-23T00:02:00.0000000;Delta;6.36338E+017;104
2019-11-28T00:02:00.0000000;Beta;6.37105E+017;622
2019-03-29T00:01:00.0000000;Lambda;636894144600000000;345
2013-02-26T00:01:00.0000000;Psi;634,974,336,600,000,000.00000000;125
2016-02-18T00:02:00.0000000;Gamma;635913505200000000;885
2018-02-28T00:03:00.0000000;Pi;636553729800000000;507
2016-05-23T00:01:00.0000000;Zeta;6.35996E+017;883
2010-06-05T00:02:00.0000000;Omega;634,112,929,200,000,000.00000000;876
2016-12-12T00:02:00.0000000;Psi;6.361709772E+17;219
2014-03-02T00:02:00.0000000;Theta;6.352931532E+17;170
2014-06-10T00:03:00.0000000;Alpha;635,379,553,800,000,000.00000000;936
2013-02-23T00:01:00.0000000;Sigma;634971744600000000;63
2019-03-31T00:02:00.0000000;Beta;636,895,873,200,000,000.00000000;297
2010-06-03T00:02:00.0000000;Eta;634,111,201,200,000,000.00000000;32
2017-01-03T00:01:00.0000000;Phi;636189984600000000;200
2019-01-29T00:01:00.0000000;Lambda;6.368431686E+17;366
2018-12-08T00:01:00.0000000;Phi;6.367982406E+17;987
2012-09-25T00:02:00.0000000;Delta;6.348412812E+17;115
2019-03-10T00:01:00.0000000;Psi;6.368777286E+17;228
2013-08-30T00:01:00.0000000;Kappa;6.35134E+017;144
2016-07-18T00:02:00.0000000;Iota;6.360439692E+17;869
2019-09-25T00:01:00.0000000;Phi;6.370496646E+17;541
2013-12-19T00:02:00.0000000;Alpha;6.352300812E+17;169
2012-02-21T00:02:00.0000000;Theta;6.346537932E+17;212
2019-09-21T00:01:00.0000000;Phi;6.370462086E+17;60
2016-05-12T00:01:00.0000000;Lambda;635986080600000000;190
2014-02-22T00:01:00.0000000;Epsilon;635,286,240,600,000,000.00000000;172
2012-09-28T00:02:00.0000000;Zeta;634843873200000000;142
2013-11-08T00:01:00.0000000;Epsilon;635194656600000000;976
