TM;Category;unknown;Quantity
2013-09-05T00:01:00.0000000;Chi;6.351393606E+17;926
2018-01-28T00:01:00.0000000;Psi;6.36527E+017;771
2012-02-18T00:01:00.0000000;Chi;6.346512006E+17;144
2015-06-27T00:01:00.0000000;Psi;635,709,600,600,000,000.00000000;999
2017-10-26T00:01:00.0000000;Omega;636445728600000000;133
2016-08-31T00:01:00.0000000;Xi;636081984600000000;211
2016-03-25T00:01:00.0000000;Nu;635944608600000000;815
2011-11-10T00:01:00.0000000;Tau;634564800600000000;691
2011-12-18T00:01:00.0000000;Theta;634,597,632,600,000,000.00000000;747
2016-07-26T00:01:00.0000000;Delta;636050880600000000;137
2017-05-05T00:01:00.0000000;Omicron;6.362953926E+17;6
2014-12-12T00:02:00.0000000;Eta;635539393200000000;747
2010-02-26T00:01:00.0000000;Tau;6.340273926E+17;25
2012-01-10T00:01:00.0000000;Pi;6.34618E+017;353
2019-05-31T00:01:00.0000000;Phi;6.36949E+017;537
2013-01-21T00:02:00.0000000;Delta;634943233200000000;525
2012-02-23T00:01:00.0000000;Zeta;6.346555206E+17;555
2012-06-27T00:01:00.0000000;Theta;6.347635206E+17;223
2015-05-17T00:01:00.0000000;Phi;635674176600000000;321
2016-07-26T00:01:00.0000000;Pi;636050880600000000;205
2013-02-11T00:02:00.0000000;Theta;6.34961E+017;944
2019-05-29T00:01:00.0000000;Chi;636946848600000000;217
2010-11-15T00:01:00.0000000;Rho;634,253,760,600,000,000.00000000;956
2019-05-13T00:01:00.0000000;Chi;6.36933E+017;526
2012-10-10T00:01:00.0000000;Omicron;6.34854E+017;762
2018-09-18T00:02:00.0000000;Phi;636728257200000000;702
2016-09-08T00:01:00.0000000;Kappa;6.36089E+017;946
2012-02-05T00:01:00.0000000;Omega;6.346399686E+17;42
2014-11-13T00:01:00.0000000;Nu;6.355143366E+17;221
2013-07-04T00:01:00.0000000;Beta;635084928600000000;620
2019-02-22T00:01:00.0000000;Epsilon;636863904600000000;378
2019-11-19T00:02:00.0000000;Omicron;637097185200000000;226
2019-01-29T00:02:00.0000000;Chi;6.368431692E+17;13
2018-06-21T00:03:00.0000000;Psi;6.36651E+017;859
2014-02-01T00:01:00.0000000;Gamma;635268096600000000;660
2011-09-02T00:01:00.0000000;Tau;634505184600000000;331
2017-06-02T00:01:00.0000000;Mu;636,319,584,600,000,000.00000000;366
2015-10-12T00:02:00.0000000;Tau;635,802,049,200,000,000.00000000;142
2017-08-19T00:01:00.0000000;Rho;6.36387E+017;37
2017-02-04T00:03:00.0000000;Theta;6.362176338E+17;42
2010-12-23T00:01:00.0000000;Pi;634286592600000000;642
2019-01-24T00:02:00.0000000;Mu;6.36839E+017;425
2018-08-28T00:01:00.0000000;Pi;636,710,112,600,000,000.00000000;759
2011-05-29T00:02:00.0000000;Psi;634422241200000000;213
2016-04-06T00:02:00.0000000;Epsilon;635954977200000000;391
2018-04-20T00:02:00.0000000;Eta;636597793200000000;280
2015-09-04T00:01:00.0000000;Nu;635769216600000000;440
2018-10-07T00:02:00.0000000;Tau;6.36745E+017;184
2019-08-11T00:02:00.0000000;Rho;6.37011E+017;626
2013-07-18T00:02:00.0000000;Rho;635,097,025,200,000,000.00000000;850
2016-11-10T00:01:00.0000000;Gamma;636143328600000000;116
2017-04-21T00:02:00.0000000;Upsilon;636283297200000000;601
2018-03-27T00:01:00.0000000;Iota;6.365770566E+17;627
2016-06-05T00:02:00.0000000;Chi;636006817200000000;771
2015-04-03T00:02:00.0000000;Psi;6.356361612E+17;412
2012-02-07T00:01:00.0000000;Chi;634641696600000000;907
2019-07-01T00:02:00.0000000;Sigma;636,975,361,200,000,000.00000000;740
2019-06-18T00:01:00.0000000;Delta;6.36964E+017;684
2015-05-21T00:01:00.0000000;Omega;635,677,632,600,000,000.00000000;765
2010-07-01T00:02:00.0000000;Rho;6.341353932E+17;239
2014-03-26T00:01:00.0000000;Xi;635313888600000000;157
2015-11-24T00:01:00.0000000;Eta;6.35839E+017;770
2019-12-10T00:02:00.0000000;Alpha;637,115,329,200,000,000.00000000;550
2016-02-21T00:02:00.0000000;Eta;6.35916E+017;539
2014-10-15T00:03:00.0000000;Pi;635489281800000000;527
2016-07-26T00:01:00.0000000;Tau;636050880600000000;820
2018-04-02T00:02:00.0000000;Beta;636582241200000000;568
2014-11-23T00:01:00.0000000;Gamma;635522976600000000;994
2019-01-14T00:01:00.0000000;Sigma;6.368302086E+17;613
2018-06-12T00:03:00.0000000;Xi;636643585800000000;868
2010-09-02T00:02:00.0000000;Kappa;634,189,825,200,000,000.00000000;264
2013-01-06T00:01:00.0000000;Nu;6.34930E+017;336
2019-08-26T00:02:00.0000000;Lambda;637023745200000000;51
2012-08-16T00:01:00.0000000;Psi;6.34807E+017;512
2015-02-16T00:03:00.0000000;Phi;635,596,417,800,000,000.00000000;526
2013-07-22T00:03:00.0000000;Zeta;635100481800000000;535
2013-08-25T00:02:00.0000000;Upsilon;635,129,857,200,000,000.00000000;348
2011-02-14T00:03:00.0000000;Epsilon;634332385800000000;474
2016-04-26T00:01:00.0000000;Epsilon;635972256600000000;246
2011-01-25T00:01:00.0000000;Beta;634,315,104,600,000,000.00000000;910
2017-02-12T00:02:00.0000000;Lambda;636,224,545,200,000,000.00000000;693
2014-05-02T00:02:00.0000000;Psi;635345857200000000;909
2016-06-09T00:02:00.0000000;Theta;6.36010E+017;519
2011-12-03T00:03:00.0000000;Phi;6.34585E+017;608
2019-12-10T00:01:00.0000000;Lambda;637,115,328,600,000,000.00000000;110
2016-04-22T00:03:00.0000000;Zeta;6.359688018E+17;971
2016-08-10T00:02:00.0000000;Omicron;636063841200000000;49
2016-04-28T00:01:00.0000000;Lambda;635,973,984,600,000,000.00000000;478
2016-11-16T00:01:00.0000000;Psi;636148512600000000;238
2018-06-01T00:03:00.0000000;Xi;6.36634E+017;485
2016-09-09T00:02:00.0000000;Omega;6.360897612E+17;60
2015-05-30T00:03:00.0000000;Mu;6.356854098E+17;96
2014-12-09T00:02:00.0000000;Eta;635,536,801,200,000,000.00000000;540
2011-06-12T00:03:00.0000000;Beta;6.344343378E+17;944
2012-09-18T00:02:00.0000000;Iota;634835233200000000;380
2018-11-08T00:02:00.0000000;Mu;636,772,321,200,000,000.00000000;864
2010-07-23T00:02:00.0000000;Theta;6.341544012E+17;861
2015-06-19T00:02:00.0000000;Omega;6.357026892E+17;333
2019-02-09T00:03:00.0000000;Lambda;636852673800000000;327
2016-11-26T00:01:00.0000000;Gamma;6.361571526E+17;590
2010-02-12T00:01:00.0000000;Pi;634015296600000000;830
2017-06-07T00:03:00.0000000;Tau;6.363239058E+17;853
2014-07-31T00:01:00.0000000;Delta;635423616600000000;647
2017-05-18T00:02:00.0000000;Omega;6.36307E+017;789
2016-07-26T00:03:00.0000000;Alpha;636,050,881,800,000,000.00000000;147
2015-04-13T00:01:00.0000000;Rho;635,644,800,600,000,000.00000000;696
2013-09-06T00:02:00.0000000;Phi;6.351402252E+17;210
2016-02-06T00:03:00.0000000;Delta;6.359031378E+17;118
2019-01-10T00:02:00.0000000;Upsilon;6.368267532E+17;855
2017-04-28T00:01:00.0000000;Tau;636289344600000000;322
2013-10-22T00:01:00.0000000;Epsilon;635179968600000000;684
2014-05-25T00:01:00.0000000;Beta;635365728600000000;644
2012-12-06T00:02:00.0000000;Theta;6.349034892E+17;251
2015-02-15T00:02:00.0000000;Lambda;635595553200000000;674
2013-09-21T00:02:00.0000000;Xi;6.351531852E+17;536
2017-10-19T00:02:00.0000000;Nu;636439681200000000;470
2014-08-21T00:04:00.0000000;Beta;635441762400000000;560
2018-09-21T00:02:00.0000000;Pi;6.36731E+017;830
2016-07-30T00:01:00.0000000;Nu;636054336600000000;560
2018-04-02T00:02:00.0000000;Eta;636582241200000000;633
2010-12-31T00:03:00.0000000;Chi;6.342935058E+17;714
2017-02-15T00:02:00.0000000;Delta;636227137200000000;755
2010-06-12T00:02:00.0000000;Kappa;6.341189772E+17;144
2017-02-13T00:02:00.0000000;Zeta;636225409200000000;265
2014-02-17T00:02:00.0000000;Upsilon;635281921200000000;305
2011-11-01T00:03:00.0000000;Phi;6.345570258E+17;674
2014-06-25T00:02:00.0000000;Kappa;635392513200000000;725
2011-03-15T00:01:00.0000000;Lambda;6.343574406E+17;3
2015-09-23T00:01:00.0000000;Nu;635,785,632,600,000,000.00000000;513
2018-10-18T00:03:00.0000000;Nu;636,754,177,800,000,000.00000000;884
2016-05-23T00:02:00.0000000;Chi;6.35996E+017;91
2019-06-21T00:03:00.0000000;Omicron;6.369667218E+17;853
2015-08-06T00:03:00.0000000;Beta;6.35744E+017;439
2015-06-02T00:02:00.0000000;Zeta;6.356880012E+17;71
2011-10-25T00:02:00.0000000;Omicron;634,550,977,200,000,000.00000000;381
2013-11-03T00:02:00.0000000;Delta;635,190,337,200,000,000.00000000;372
2011-11-05T00:02:00.0000000;Xi;6.345604812E+17;833
2013-02-09T00:02:00.0000000;Lambda;634959649200000000;286
2013-07-30T00:03:00.0000000;Beta;6.351073938E+17;12
2010-08-10T00:02:00.0000000;Alpha;6.341699532E+17;366
2013-01-25T00:02:00.0000000;Mu;6.34947E+017;411
2016-04-24T00:02:00.0000000;Eta;635970529200000000;918
2016-02-24T00:03:00.0000000;Delta;6.359186898E+17;986
2010-12-28T00:01:00.0000000;Beta;6.34291E+017;392
2015-12-11T00:01:00.0000000;Eta;6.35854E+017;819
2012-07-20T00:05:00.0000000;Eta;634,783,395,000,000,000.00000000;355
2015-12-08T00:01:00.0000000;Phi;635851296600000000;710
2011-06-27T00:02:00.0000000;Kappa;6.344472972E+17;104
2016-11-30T00:02:00.0000000;Kappa;636,160,609,200,000,000.00000000;990
2016-10-20T00:02:00.0000000;Mu;6.361251852E+17;546
2011-05-27T00:02:00.0000000;Chi;6.344205132E+17;756
2011-09-04T00:02:00.0000000;Beta;6.34507E+017;597
2016-11-30T00:05:00.0000000;Pi;636160611000000000;312
2017-06-15T00:02:00.0000000;Theta;636330817200000000;608
2013-10-10T00:01:00.0000000;Rho;6.351696006E+17;911
2018-06-04T00:01:00.0000000;Phi;6.36637E+017;93
2018-11-07T00:02:00.0000000;Mu;636,771,457,200,000,000.00000000;594
2013-09-02T00:02:00.0000000;Tau;6.351367692E+17;952
2012-03-04T00:01:00.0000000;Alpha;6.34664E+017;553
2014-01-11T00:01:00.0000000;Delta;6.352499526E+17;40
2015-07-25T00:02:00.0000000;Xi;6.357337932E+17;604
2015-12-25T00:03:00.0000000;Beta;635865985800000000;121
2014-03-26T00:04:00.0000000;Tau;635,313,890,400,000,000.00000000;198
2019-03-17T00:01:00.0000000;Nu;636883776600000000;455
2014-09-19T00:03:00.0000000;Upsilon;6.354668178E+17;533
2011-03-29T00:03:00.0000000;Sigma;6.343695378E+17;339
2013-04-11T00:02:00.0000000;Gamma;6.350123532E+17;168
2010-12-06T00:01:00.0000000;Omicron;634271904600000000;366
2011-02-08T00:04:00.0000000;Phi;634327202400000000;664
2019-06-22T00:02:00.0000000;Zeta;6.369675852E+17;886
2011-10-23T00:04:00.0000000;Pi;634,549,250,400,000,000.00000000;157
2016-06-15T00:01:00.0000000;Lambda;6.360154566E+17;97
2013-01-29T00:03:00.0000000;Zeta;6.349501458E+17;288
2013-09-11T00:03:00.0000000;Sigma;635,144,545,800,000,000.00000000;318
2015-07-28T00:03:00.0000000;Gamma;635736385800000000;152
2018-07-29T00:02:00.0000000;Nu;6.366841932E+17;295
2012-03-01T00:03:00.0000000;Epsilon;634661569800000000;223
2017-07-12T00:03:00.0000000;Iota;6.36354E+017;47
2011-02-12T00:01:00.0000000;Kappa;634,330,656,600,000,000.00000000;253
2015-08-24T00:02:00.0000000;Chi;6.35760E+017;925
2017-02-21T00:03:00.0000000;Omicron;6.362323218E+17;52
2019-12-09T00:04:00.0000000;Xi;637,114,466,400,000,000.00000000;985
2018-03-26T00:02:00.0000000;Pi;6.365761932E+17;822
2015-09-05T00:02:00.0000000;Zeta;635,770,081,200,000,000.00000000;764
2013-02-06T00:03:00.0000000;Psi;634,957,057,800,000,000.00000000;534
2013-10-09T00:02:00.0000000;Tau;6.351687372E+17;246
2013-07-23T00:05:00.0000000;Xi;6.35101E+017;126
2016-07-30T00:03:00.0000000;Iota;636054337800000000;275
2017-10-30T00:03:00.0000000;Phi;6.364491858E+17;175
2017-04-05T00:01:00.0000000;Beta;636269472600000000;69
2010-06-02T00:03:00.0000000;Rho;634,110,337,800,000,000.00000000;117
2016-04-17T00:03:00.0000000;Gamma;6.359644818E+17;999
2018-01-27T00:02:00.0000000;Nu;6.36526E+017;956
2015-08-24T00:03:00.0000000;Gamma;6.35760E+017;871
2017-06-02T00:03:00.0000000;Zeta;636319585800000000;195
2013-06-16T00:03:00.0000000;Alpha;635069377800000000;617
2012-02-24T00:03:00.0000000;Iota;634656385800000000;891
2018-03-29T00:02:00.0000000;Sigma;6.365787852E+17;851
2017-06-22T00:03:00.0000000;Tau;6.36337E+017;480
2019-01-14T00:01:00.0000000;Alpha;6.368302086E+17;884
2016-11-17T00:02:00.0000000;Omicron;636149377200000000;971
2012-03-10T00:03:00.0000000;Omega;6.346693458E+17;698
2016-08-01T00:04:00.0000000;Theta;6.36056E+017;701
2015-03-22T00:03:00.0000000;Xi;635625793800000000;543
2013-06-30T00:02:00.0000000;Alpha;635,081,473,200,000,000.00000000;667
2017-10-10T00:02:00.0000000;Alpha;6.36432E+017;239
2019-05-05T00:03:00.0000000;Epsilon;636,926,113,800,000,000.00000000;213
2014-07-14T00:01:00.0000000;Eta;635408928600000000;919
2016-06-14T00:03:00.0000000;Tau;6.360145938E+17;787
