TM;Category;unknown;Quantity
2019-03-24T00:01:00.0000000;Omicron;6.368898246E+17;701
2013-03-14T00:01:00.0000000;Xi;634,988,160,600,000,000.00000000;383
2016-05-31T00:01:00.0000000;Theta;636002496600000000;972
2016-06-25T00:01:00.0000000;Nu;636024096600000000;254
2011-03-04T00:01:00.0000000;Alpha;634,347,936,600,000,000.00000000;294
2011-03-11T00:01:00.0000000;Omicron;6.343539846E+17;706
2011-08-16T00:01:00.0000000;Gamma;634490496600000000;259
2014-12-03T00:01:00.0000000;Pi;6.355316166E+17;965
2012-12-09T00:01:00.0000000;Rho;6.349060806E+17;765
2016-01-25T00:01:00.0000000;Eta;635892768600000000;163
2012-03-27T00:01:00.0000000;Eta;6.346840326E+17;192
2014-04-16T00:01:00.0000000;Kappa;635,332,032,600,000,000.00000000;321
2019-03-30T00:01:00.0000000;Phi;636895008600000000;910
2017-07-01T00:02:00.0000000;Nu;6.363446412E+17;56
2019-01-30T00:01:00.0000000;Kappa;6.368440326E+17;643
2016-05-26T00:01:00.0000000;Zeta;6.359981766E+17;408
2019-06-16T00:01:00.0000000;Iota;636962400600000000;347
2010-10-05T00:01:00.0000000;Tau;634218336600000000;239
2013-06-11T00:01:00.0000000;Alpha;635065056600000000;538
2015-05-02T00:01:00.0000000;Sigma;635,661,216,600,000,000.00000000;180
2018-04-20T00:01:00.0000000;Xi;636597792600000000;83
2013-05-01T00:02:00.0000000;Gamma;6.350296332E+17;144
2016-04-05T00:01:00.0000000;Upsilon;6.359541126E+17;273
2015-02-05T00:01:00.0000000;Iota;635586912600000000;827
2013-01-16T00:01:00.0000000;Chi;634938912600000000;94
2019-01-31T00:01:00.0000000;Tau;6.368448966E+17;545
2013-09-27T00:01:00.0000000;Sigma;635158368600000000;114
2017-10-20T00:01:00.0000000;Beta;636440544600000000;450
2016-09-21T00:01:00.0000000;Alpha;636,100,128,600,000,000.00000000;514
2019-01-09T00:02:00.0000000;Tau;6.368258892E+17;369
2011-01-20T00:01:00.0000000;Psi;6.343107846E+17;152
2016-05-25T00:01:00.0000000;Xi;6.359973126E+17;718
2015-09-24T00:02:00.0000000;Kappa;635,786,497,200,000,000.00000000;716
2015-08-31T00:02:00.0000000;Upsilon;6.357657612E+17;183
2017-03-13T00:02:00.0000000;Kappa;6.362496012E+17;135
2019-02-21T00:01:00.0000000;Eta;636863040600000000;220
2011-11-28T00:02:00.0000000;Pi;634,580,353,200,000,000.00000000;331
2017-05-01T00:01:00.0000000;Tau;6.36292E+017;261
2010-06-25T00:03:00.0000000;Gamma;634130209800000000;910
2019-02-01T00:01:00.0000000;Theta;6.368457606E+17;240
2014-07-31T00:01:00.0000000;Phi;635423616600000000;967
2013-07-05T00:01:00.0000000;Psi;635085792600000000;577
2016-06-08T00:01:00.0000000;Gamma;636009408600000000;467
2013-05-26T00:01:00.0000000;Gamma;635,051,232,600,000,000.00000000;386
