TM;Category;unknown;Quantity
2017-01-22T00:01:00.0000000;Omega;636206400600000000;206
2018-10-19T00:01:00.0000000;Sigma;636755040600000000;992
2018-06-12T00:01:00.0000000;Gamma;636643584600000000;356
2011-09-08T00:01:00.0000000;Mu;6.345103686E+17;763
2012-12-02T00:01:00.0000000;Beta;6.34900E+017;69
2019-11-13T00:01:00.0000000;Upsilon;6.370920006E+17;771
2012-03-09T00:01:00.0000000;Beta;6.346684806E+17;575
2018-05-14T00:01:00.0000000;Epsilon;636618528600000000;835
2016-11-22T00:01:00.0000000;Epsilon;6.361536966E+17;294
2019-08-26T00:01:00.0000000;Eta;637,023,744,600,000,000.00000000;372
2018-08-19T00:01:00.0000000;Omega;6.367023366E+17;791
2017-10-07T00:01:00.0000000;Kappa;636,429,312,600,000,000.00000000;653
2015-01-02T00:01:00.0000000;Delta;6.35558E+017;215
2014-08-11T00:02:00.0000000;Omicron;6.354331212E+17;820
2010-11-16T00:01:00.0000000;Omicron;634,254,624,600,000,000.00000000;205
2013-12-28T00:01:00.0000000;Sigma;635,237,856,600,000,000.00000000;95
2014-07-13T00:01:00.0000000;Kappa;635408064600000000;479
2010-04-06T00:01:00.0000000;Delta;6.340610886E+17;321
2012-05-20T00:01:00.0000000;Eta;6.347306886E+17;137
2014-07-31T00:01:00.0000000;Pi;635423616600000000;689
2017-09-03T00:02:00.0000000;Beta;636399937200000000;227
2016-07-07T00:01:00.0000000;Mu;636034464600000000;55
2010-08-28T00:01:00.0000000;Omicron;6.341855046E+17;283
2016-12-30T00:01:00.0000000;Eta;6.361865286E+17;494
2012-05-09T00:01:00.0000000;Phi;634721184600000000;729
2018-04-12T00:01:00.0000000;Nu;6.36591E+017;374
2017-06-13T00:01:00.0000000;Phi;6.363290886E+17;704
2017-12-28T00:01:00.0000000;Eta;6.365001606E+17;80
2010-03-03T00:02:00.0000000;Omega;634031713200000000;960
2011-07-24T00:02:00.0000000;Sigma;634,470,625,200,000,000.00000000;293
2014-11-11T00:01:00.0000000;Iota;6.355126086E+17;36
2017-09-10T00:01:00.0000000;Lambda;6.364059846E+17;707
2010-10-01T00:01:00.0000000;Iota;6.342148806E+17;842
2015-02-06T00:01:00.0000000;Gamma;6.35588E+017;455
2010-05-13T00:01:00.0000000;Nu;634093056600000000;433
2018-02-28T00:01:00.0000000;Upsilon;636,553,728,600,000,000.00000000;660
2013-07-22T00:01:00.0000000;Pi;635100480600000000;308
2014-07-01T00:02:00.0000000;Lambda;635397697200000000;661
2015-01-15T00:02:00.0000000;Eta;635568769200000000;436
2015-05-05T00:01:00.0000000;Tau;635663808600000000;397
2012-09-24T00:01:00.0000000;Chi;6.348404166E+17;873
2019-06-06T00:01:00.0000000;Epsilon;6.369537606E+17;467
2014-04-24T00:01:00.0000000;Tau;6.35339E+017;485
2012-04-27T00:01:00.0000000;Nu;634710816600000000;449
2016-09-16T00:01:00.0000000;Zeta;636095808600000000;637
2012-09-11T00:01:00.0000000;Alpha;634829184600000000;14
2011-03-07T00:01:00.0000000;Omega;634350528600000000;678
2017-03-24T00:01:00.0000000;Nu;636259104600000000;913
2017-12-13T00:01:00.0000000;Omicron;636487200600000000;407
2015-01-12T00:02:00.0000000;Tau;635,566,177,200,000,000.00000000;70
2013-09-08T00:01:00.0000000;Zeta;635141952600000000;714
2012-09-08T00:02:00.0000000;Pi;6.348265932E+17;540
2012-04-23T00:01:00.0000000;Lambda;634,707,360,600,000,000.00000000;741
2015-01-18T00:02:00.0000000;Omicron;6.35571E+017;78
2015-10-06T00:02:00.0000000;Delta;6.357968652E+17;44
2013-06-07T00:01:00.0000000;Eta;6.350616006E+17;465
2019-10-21T00:02:00.0000000;Omega;637072129200000000;43
2013-04-29T00:03:00.0000000;Alpha;6.350279058E+17;580
2018-08-12T00:01:00.0000000;Epsilon;636696288600000000;638
2017-11-13T00:01:00.0000000;Kappa;636461280600000000;68
2017-01-08T00:01:00.0000000;Eta;636,194,304,600,000,000.00000000;544
2014-08-16T00:02:00.0000000;Omicron;6.354374412E+17;50
2015-02-10T00:03:00.0000000;Nu;6.355912338E+17;833
2011-10-31T00:01:00.0000000;Psi;6.34556E+017;308
2010-01-27T00:01:00.0000000;Epsilon;634001472600000000;158
2018-07-17T00:02:00.0000000;Tau;636673825200000000;67
2015-10-18T00:02:00.0000000;Tau;6.35807E+017;675
2018-11-23T00:02:00.0000000;Phi;636785281200000000;16
2013-12-01T00:01:00.0000000;Iota;6.352145286E+17;536
2014-04-28T00:02:00.0000000;Sigma;6.353424012E+17;55
2010-11-17T00:02:00.0000000;Omicron;634255489200000000;933
2016-11-11T00:01:00.0000000;Mu;636144192600000000;269
2016-04-19T00:01:00.0000000;Upsilon;6.359662086E+17;989
2015-10-29T00:01:00.0000000;Tau;635,816,736,600,000,000.00000000;837
2013-07-09T00:03:00.0000000;Zeta;6.350892498E+17;946
2013-10-30T00:01:00.0000000;Omicron;6.351868806E+17;820
2016-07-25T00:01:00.0000000;Upsilon;636050016600000000;721
2015-07-30T00:01:00.0000000;Nu;635738112600000000;310
2016-09-18T00:02:00.0000000;Nu;636,097,537,200,000,000.00000000;890
2016-10-10T00:01:00.0000000;Tau;636116544600000000;807
2014-12-01T00:02:00.0000000;Tau;6.355298892E+17;859
2010-06-25T00:02:00.0000000;Pi;634130209200000000;910
2011-10-27T00:01:00.0000000;Alpha;634552704600000000;232
2010-01-05T00:02:00.0000000;Alpha;6.339824652E+17;595
2015-12-09T00:02:00.0000000;Psi;635852161200000000;333
