TM;Category;unknown;Quantity
2010-11-21T00:01:00.0000000;Rho;6.34259E+017;111
2014-12-26T00:01:00.0000000;Tau;635,551,488,600,000,000.00000000;394
2012-10-16T00:01:00.0000000;Omega;6.348594246E+17;420
2011-02-06T00:01:00.0000000;Sigma;6.343254726E+17;602
2017-04-20T00:01:00.0000000;Chi;6.362824326E+17;981
2010-12-19T00:01:00.0000000;Iota;634283136600000000;494
2011-11-01T00:01:00.0000000;Omicron;6.34557E+017;467
2019-09-14T00:01:00.0000000;Zeta;637040160600000000;703
2014-09-08T00:01:00.0000000;Theta;635,457,312,600,000,000.00000000;43
2010-12-10T00:01:00.0000000;Beta;6.34275E+017;308
2019-02-02T00:01:00.0000000;Upsilon;636846624600000000;527
2018-05-15T00:01:00.0000000;Upsilon;636619392600000000;450
2013-09-12T00:01:00.0000000;Phi;635,145,408,600,000,000.00000000;499
2014-07-28T00:01:00.0000000;Iota;6.354210246E+17;943
2011-01-21T00:01:00.0000000;Phi;6.343116486E+17;91
2017-07-26T00:01:00.0000000;Lambda;636,366,240,600,000,000.00000000;430
2016-06-13T00:02:00.0000000;Upsilon;6.360137292E+17;157
2019-06-27T00:01:00.0000000;Delta;636971904600000000;774
2010-04-02T00:01:00.0000000;Beta;6.340576326E+17;289
2019-12-30T00:01:00.0000000;Rho;637,132,608,600,000,000.00000000;152
2014-09-06T00:01:00.0000000;Rho;635455584600000000;350
2012-11-24T00:01:00.0000000;Zeta;634893120600000000;968
2019-11-26T00:01:00.0000000;Alpha;637103232600000000;591
2010-10-19T00:01:00.0000000;Theta;6.342304326E+17;684
2014-10-06T00:01:00.0000000;Rho;6.354815046E+17;147
2011-09-19T00:01:00.0000000;Kappa;634,519,872,600,000,000.00000000;826
2019-05-11T00:01:00.0000000;Delta;636931296600000000;619
2010-02-05T00:01:00.0000000;Chi;6.34009E+017;810
2014-06-21T00:02:00.0000000;Theta;6.353890572E+17;98
2016-06-30T00:01:00.0000000;Upsilon;6.360284166E+17;333
2014-07-26T00:01:00.0000000;Theta;6.354192966E+17;701
2019-04-11T00:01:00.0000000;Delta;6.369053766E+17;521
2011-04-26T00:01:00.0000000;Iota;634,393,728,600,000,000.00000000;387
2010-07-24T00:01:00.0000000;Mu;6.341552646E+17;515
2011-07-31T00:01:00.0000000;Psi;6.34477E+017;191
2011-09-16T00:02:00.0000000;Omega;634517281200000000;902
2012-03-24T00:02:00.0000000;Gamma;6.34681E+017;638
2013-04-02T00:01:00.0000000;Kappa;635,004,576,600,000,000.00000000;69
2018-07-08T00:01:00.0000000;Epsilon;636666048600000000;708
2013-11-23T00:02:00.0000000;Upsilon;635,207,617,200,000,000.00000000;405
2015-09-28T00:02:00.0000000;Pi;6.35790E+017;262
2011-10-07T00:01:00.0000000;Beta;634,535,424,600,000,000.00000000;299
2014-12-07T00:01:00.0000000;Iota;635,535,072,600,000,000.00000000;29
2012-03-18T00:01:00.0000000;Rho;634,676,256,600,000,000.00000000;595
2015-06-16T00:01:00.0000000;Tau;6.357000966E+17;528
2015-07-28T00:01:00.0000000;Omicron;635736384600000000;494
2018-08-28T00:02:00.0000000;Phi;636,710,113,200,000,000.00000000;770
2014-09-14T00:01:00.0000000;Omega;6.35462E+017;462
2019-10-13T00:02:00.0000000;Lambda;637065217200000000;559
2014-05-16T00:02:00.0000000;Chi;6.353579532E+17;264
2017-05-05T00:02:00.0000000;Gamma;6.362953932E+17;678
2016-11-06T00:01:00.0000000;Zeta;6.361398726E+17;966
2017-11-27T00:02:00.0000000;Eta;636,473,377,200,000,000.00000000;516
2015-05-25T00:01:00.0000000;Phi;6.35681E+017;773
2016-11-26T00:01:00.0000000;Nu;6.361571526E+17;878
2018-01-07T00:03:00.0000000;Tau;6.36509E+017;233
2013-10-20T00:01:00.0000000;Kappa;635178240600000000;207
2016-09-28T00:02:00.0000000;Lambda;6.361061772E+17;850
2017-07-30T00:01:00.0000000;Zeta;6.36370E+017;373
2019-06-27T00:01:00.0000000;Rho;636971904600000000;607
2017-05-27T00:02:00.0000000;Upsilon;636314401200000000;391
2018-02-08T00:01:00.0000000;Eta;636,536,448,600,000,000.00000000;191
2013-01-03T00:03:00.0000000;Delta;634927681800000000;184
2016-08-07T00:01:00.0000000;Rho;6.360612486E+17;883
2012-11-27T00:02:00.0000000;Sigma;634895713200000000;779
2015-09-11T00:01:00.0000000;Tau;6.35775E+017;157
2011-01-14T00:01:00.0000000;Sigma;6.34306E+017;670
2012-11-28T00:01:00.0000000;Psi;634896576600000000;565
2016-03-21T00:02:00.0000000;Alpha;635,941,153,200,000,000.00000000;231
2018-04-30T00:03:00.0000000;Zeta;6.366064338E+17;923
2016-11-14T00:02:00.0000000;Epsilon;636,146,785,200,000,000.00000000;554
2019-06-26T00:01:00.0000000;Sigma;6.369710406E+17;397
2010-05-12T00:01:00.0000000;Gamma;6.340921926E+17;945
2017-09-15T00:01:00.0000000;Beta;636410304600000000;636
2019-12-30T00:01:00.0000000;Nu;637,132,608,600,000,000.00000000;226
2012-02-10T00:02:00.0000000;Tau;634,644,289,200,000,000.00000000;61
2017-07-11T00:02:00.0000000;Psi;6.36353E+017;79
2011-11-20T00:01:00.0000000;Zeta;6.345734406E+17;382
2015-10-26T00:02:00.0000000;Theta;635814145200000000;368
2010-02-08T00:01:00.0000000;Omega;6.340118406E+17;270
2012-02-27T00:01:00.0000000;Omega;634,658,976,600,000,000.00000000;353
2013-01-20T00:01:00.0000000;Delta;634,942,368,600,000,000.00000000;300
2019-11-21T00:01:00.0000000;Omega;637098912600000000;434
2014-03-29T00:01:00.0000000;Sigma;635,316,480,600,000,000.00000000;745
2016-07-18T00:02:00.0000000;Tau;6.360439692E+17;69
2013-09-06T00:02:00.0000000;Zeta;6.351402252E+17;981
2014-04-09T00:01:00.0000000;Epsilon;6.353259846E+17;918
2018-08-23T00:03:00.0000000;Omicron;636705793800000000;322
2010-05-11T00:02:00.0000000;Alpha;6.340913292E+17;214
2010-09-25T00:01:00.0000000;Upsilon;634209696600000000;616
2010-10-15T00:01:00.0000000;Iota;6.34227E+017;180
2019-11-04T00:01:00.0000000;Phi;637,084,224,600,000,000.00000000;584
2015-01-17T00:01:00.0000000;Psi;635570496600000000;225
2010-08-03T00:01:00.0000000;Delta;6.34164E+017;138
2016-04-15T00:02:00.0000000;Theta;6.35963E+017;2
2010-04-22T00:02:00.0000000;Nu;6.340749132E+17;896
2017-05-11T00:03:00.0000000;Nu;636,300,577,800,000,000.00000000;991
2017-03-29T00:02:00.0000000;Sigma;6.362634252E+17;786
2012-03-09T00:01:00.0000000;Eta;6.346684806E+17;104
2011-07-13T00:02:00.0000000;Upsilon;6.34461E+017;831
2010-08-02T00:01:00.0000000;Mu;634163040600000000;663
2010-07-01T00:03:00.0000000;Chi;6.341353938E+17;806
2014-11-19T00:01:00.0000000;Phi;635,519,520,600,000,000.00000000;574
2011-08-16T00:01:00.0000000;Mu;634490496600000000;79
2017-01-21T00:02:00.0000000;Xi;636205537200000000;14
2010-09-13T00:03:00.0000000;Zeta;6.341993298E+17;423
2018-06-03T00:03:00.0000000;Eta;6.36636E+017;563
2010-06-13T00:04:00.0000000;Delta;6.341198424E+17;724
2011-05-24T00:03:00.0000000;Beta;6.344179218E+17;736
2015-07-24T00:02:00.0000000;Xi;6.357329292E+17;581
