TM;Category;unknown;Quantity
2015-06-06T00:01:00.0000000;Delta;635,691,456,600,000,000.00000000;288
2018-09-12T00:01:00.0000000;Omega;636723072600000000;39
2012-02-27T00:01:00.0000000;Omicron;634,658,976,600,000,000.00000000;921
2019-03-10T00:01:00.0000000;Tau;6.368777286E+17;883
2016-07-08T00:01:00.0000000;Chi;636035328600000000;740
2015-10-03T00:01:00.0000000;Beta;6.357942726E+17;511
2012-11-12T00:01:00.0000000;Kappa;634882752600000000;134
2013-03-10T00:01:00.0000000;Delta;6.349847046E+17;192
2011-12-05T00:01:00.0000000;Omicron;6.34586E+017;797
2010-01-21T00:01:00.0000000;Alpha;6.339962886E+17;615
2016-11-04T00:01:00.0000000;Iota;6.361381446E+17;927
2015-04-03T00:01:00.0000000;Mu;6.35636E+017;784
2013-04-13T00:02:00.0000000;Lambda;6.350140812E+17;24
2018-10-01T00:01:00.0000000;Eta;636739488600000000;327
2014-10-01T00:02:00.0000000;Alpha;6.35477E+017;189
2012-12-01T00:01:00.0000000;Lambda;6.34899E+017;937
2012-03-09T00:01:00.0000000;Zeta;6.346684806E+17;496
2016-07-21T00:01:00.0000000;Chi;6.360465606E+17;825
2016-12-26T00:01:00.0000000;Beta;6.36183E+017;606
2013-12-18T00:01:00.0000000;Rho;6.35229E+017;873
2018-08-24T00:02:00.0000000;Lambda;636706657200000000;417
2010-10-16T00:01:00.0000000;Theta;6.34228E+017;728
2018-07-22T00:03:00.0000000;Xi;636,678,145,800,000,000.00000000;474
2019-02-24T00:01:00.0000000;Upsilon;636,865,632,600,000,000.00000000;288
2014-03-31T00:01:00.0000000;Chi;635,318,208,600,000,000.00000000;975
2013-04-20T00:01:00.0000000;Psi;635,020,128,600,000,000.00000000;292
2014-01-19T00:03:00.0000000;Omega;635256865800000000;29
2018-08-12T00:03:00.0000000;Psi;636696289800000000;852
2013-05-18T00:01:00.0000000;Chi;6.350443206E+17;762
2016-07-13T00:01:00.0000000;Rho;636039648600000000;729
2019-04-18T00:02:00.0000000;Delta;636,911,425,200,000,000.00000000;881
2016-02-24T00:01:00.0000000;Pi;6.359186886E+17;887
2016-07-31T00:02:00.0000000;Lambda;636055201200000000;648
2019-04-26T00:01:00.0000000;Zeta;6.36918E+017;858
2010-10-21T00:01:00.0000000;Tau;6.342321606E+17;893
2017-01-17T00:01:00.0000000;Epsilon;6.362020806E+17;195
2014-02-07T00:02:00.0000000;Tau;635273281200000000;95
2011-03-21T00:02:00.0000000;Sigma;634,362,625,200,000,000.00000000;617
2018-02-26T00:03:00.0000000;Omicron;636,552,001,800,000,000.00000000;14
2017-11-29T00:01:00.0000000;Rho;636,475,104,600,000,000.00000000;744
2019-08-02T00:02:00.0000000;Sigma;637003009200000000;374
2019-08-01T00:01:00.0000000;Kappa;6.370021446E+17;634
2016-04-16T00:02:00.0000000;Mu;6.35964E+017;214
2012-06-18T00:01:00.0000000;Xi;634755744600000000;911
2019-08-09T00:01:00.0000000;Omega;637009056600000000;766
2013-12-20T00:01:00.0000000;Mu;6.352309446E+17;901
2010-06-24T00:01:00.0000000;Alpha;634,129,344,600,000,000.00000000;258
2011-06-17T00:01:00.0000000;Tau;634438656600000000;456
2013-04-07T00:01:00.0000000;Zeta;6.35009E+017;829
2017-11-13T00:01:00.0000000;Beta;636461280600000000;292
2019-07-08T00:02:00.0000000;Pi;6.36981E+017;754
2011-08-16T00:02:00.0000000;Theta;634490497200000000;214
2012-08-01T00:01:00.0000000;Beta;6.347937606E+17;171
2013-10-03T00:01:00.0000000;Zeta;635163552600000000;459
2017-04-21T00:01:00.0000000;Mu;6.362832966E+17;218
2014-05-05T00:01:00.0000000;Omega;635,348,448,600,000,000.00000000;57
2015-06-03T00:01:00.0000000;Epsilon;635688864600000000;1
2019-09-30T00:01:00.0000000;Epsilon;637,053,984,600,000,000.00000000;663
2015-06-30T00:02:00.0000000;Mu;6.35712E+017;189
2010-08-30T00:02:00.0000000;Zeta;634187233200000000;298
2018-06-02T00:02:00.0000000;Tau;6.36635E+017;212
2010-10-12T00:02:00.0000000;Omega;634224385200000000;316
2010-12-10T00:01:00.0000000;Xi;6.34275E+017;310
2015-09-01T00:01:00.0000000;Alpha;6.357666246E+17;823
2018-07-21T00:02:00.0000000;Pi;636,677,281,200,000,000.00000000;786
2015-10-10T00:01:00.0000000;Kappa;635800320600000000;998
2016-12-11T00:02:00.0000000;Upsilon;6.361701132E+17;574
2012-11-19T00:02:00.0000000;Phi;6.348888012E+17;996
2017-07-05T00:01:00.0000000;Beta;636348096600000000;471
2018-04-25T00:01:00.0000000;Beta;636602112600000000;964
2010-09-29T00:01:00.0000000;Alpha;6.342131526E+17;631
2016-12-04T00:02:00.0000000;Omega;636164065200000000;263
2019-06-24T00:01:00.0000000;Beta;6.369693126E+17;220
2018-08-11T00:02:00.0000000;Omicron;636695425200000000;509
2012-06-30T00:02:00.0000000;Epsilon;634766113200000000;992
2012-08-12T00:02:00.0000000;Phi;634803265200000000;474
2018-07-28T00:02:00.0000000;Omega;6.36683E+017;107
2017-07-04T00:02:00.0000000;Delta;636347233200000000;837
2014-04-02T00:01:00.0000000;Eta;635319936600000000;926
2015-07-22T00:01:00.0000000;Gamma;6.357312006E+17;327
2015-03-15T00:01:00.0000000;Lambda;6.35620E+017;166
2016-05-17T00:01:00.0000000;Alpha;635,990,400,600,000,000.00000000;14
2012-02-28T00:02:00.0000000;Epsilon;634,659,841,200,000,000.00000000;930
2018-05-24T00:02:00.0000000;Theta;636627169200000000;993
2012-12-05T00:02:00.0000000;Eta;6.349026252E+17;563
2013-08-27T00:03:00.0000000;Beta;635131585800000000;428
2013-02-13T00:02:00.0000000;Omega;6.34963E+017;856
2011-04-07T00:01:00.0000000;Psi;634,377,312,600,000,000.00000000;908
2017-01-29T00:02:00.0000000;Lambda;6.36212E+017;884
2012-11-02T00:01:00.0000000;Pi;6.348741126E+17;490
2010-04-05T00:02:00.0000000;Upsilon;6.340602252E+17;641
2012-11-18T00:02:00.0000000;Phi;6.348879372E+17;83
2010-08-12T00:02:00.0000000;Lambda;634171681200000000;644
2012-12-21T00:02:00.0000000;Alpha;6.349164492E+17;193
2019-03-11T00:02:00.0000000;Tau;636878593200000000;388
2015-04-07T00:03:00.0000000;Phi;6.356396178E+17;253
2016-10-02T00:01:00.0000000;Delta;6.361096326E+17;52
2013-10-07T00:01:00.0000000;Kappa;6.35167E+017;909
2012-07-16T00:02:00.0000000;Psi;6.347799372E+17;527
2013-07-17T00:02:00.0000000;Epsilon;635096161200000000;989
2017-07-07T00:02:00.0000000;Epsilon;636,349,825,200,000,000.00000000;710
2013-02-17T00:02:00.0000000;Tau;6.349665612E+17;211
2019-02-04T00:02:00.0000000;Phi;636848353200000000;897
2015-09-13T00:01:00.0000000;Pi;6.35777E+017;21
