TM;Category;unknown;Quantity
2016-06-27T00:01:00.0000000;Tau;6.36026E+017;105
2014-01-04T00:01:00.0000000;Tau;6.35244E+017;436
2010-10-08T00:01:00.0000000;Sigma;634,220,928,600,000,000.00000000;34
2017-09-15T00:01:00.0000000;Pi;636410304600000000;246
2011-08-23T00:01:00.0000000;Rho;6.344965446E+17;654
2019-06-20T00:01:00.0000000;Kappa;6.36966E+017;264
2019-05-06T00:01:00.0000000;Psi;636926976600000000;960
2016-02-01T00:01:00.0000000;Lambda;635898816600000000;698
2013-09-20T00:01:00.0000000;Chi;6.351523206E+17;262
2013-04-14T00:01:00.0000000;Omicron;6.350149446E+17;160
2010-12-12T00:01:00.0000000;Eta;6.342770886E+17;947
2013-02-20T00:01:00.0000000;Nu;634969152600000000;790
2014-02-06T00:01:00.0000000;Gamma;635272416600000000;329
2011-03-12T00:01:00.0000000;Delta;6.343548486E+17;443
2013-09-28T00:01:00.0000000;Phi;635159232600000000;583
2012-12-30T00:01:00.0000000;Chi;634924224600000000;668
2012-10-21T00:02:00.0000000;Epsilon;634,863,745,200,000,000.00000000;963
2010-05-08T00:01:00.0000000;Eta;6.340887366E+17;709
2012-09-18T00:01:00.0000000;Lambda;634835232600000000;514
2017-02-12T00:01:00.0000000;Epsilon;636,224,544,600,000,000.00000000;164
2013-12-02T00:01:00.0000000;Iota;6.352153926E+17;735
2016-06-18T00:01:00.0000000;Nu;636018048600000000;392
2011-03-26T00:01:00.0000000;Lambda;6.34367E+017;312
2017-03-11T00:01:00.0000000;Theta;6.362478726E+17;159
2010-03-19T00:03:00.0000000;Omega;634045537800000000;154
2010-09-30T00:02:00.0000000;Theta;6.342140172E+17;813
2019-06-11T00:02:00.0000000;Omicron;636,958,081,200,000,000.00000000;651
2016-09-30T00:01:00.0000000;Gamma;6.361079046E+17;955
2011-10-25T00:01:00.0000000;Alpha;634,550,976,600,000,000.00000000;326
2010-03-03T00:01:00.0000000;Omega;634031712600000000;923
2014-06-09T00:01:00.0000000;Phi;635,378,688,600,000,000.00000000;369
2011-05-31T00:01:00.0000000;Upsilon;634423968600000000;441
2018-03-06T00:01:00.0000000;Tau;6.36559E+017;568
2012-08-05T00:01:00.0000000;Phi;634797216600000000;902
2015-03-17T00:01:00.0000000;Chi;6.356214726E+17;78
2018-10-16T00:01:00.0000000;Beta;6.367524486E+17;326
2011-07-29T00:01:00.0000000;Tau;634474944600000000;432
2011-03-06T00:01:00.0000000;Rho;634349664600000000;566
2015-02-20T00:02:00.0000000;Theta;635599873200000000;524
2014-01-09T00:01:00.0000000;Delta;6.352482246E+17;850
2016-06-24T00:02:00.0000000;Zeta;636023233200000000;703
2011-08-02T00:01:00.0000000;Kappa;6.34478E+017;823
2010-02-23T00:01:00.0000000;Iota;6.34025E+017;862
2012-01-13T00:01:00.0000000;Kappa;6.346200966E+17;414
2019-06-12T00:01:00.0000000;Kappa;636,958,944,600,000,000.00000000;775
2010-05-31T00:02:00.0000000;Iota;634108609200000000;106
2018-08-17T00:02:00.0000000;Xi;6.367006092E+17;337
2018-09-06T00:01:00.0000000;Psi;6.367178886E+17;839
2011-05-09T00:01:00.0000000;Psi;6.344049606E+17;874
2013-12-29T00:01:00.0000000;Alpha;635,238,720,600,000,000.00000000;357
2010-06-29T00:01:00.0000000;Sigma;6.34134E+017;576
2013-11-11T00:01:00.0000000;Eta;6.35197E+017;782
2012-01-25T00:02:00.0000000;Zeta;634630465200000000;823
2014-12-02T00:01:00.0000000;Omicron;6.355307526E+17;801
2017-09-15T00:01:00.0000000;Kappa;636410304600000000;19
2010-06-11T00:01:00.0000000;Kappa;6.34118E+017;36
2019-11-26T00:01:00.0000000;Mu;637103232600000000;925
2015-06-05T00:01:00.0000000;Pi;635690592600000000;370
2014-12-02T00:01:00.0000000;Theta;6.355307526E+17;228
2014-10-25T00:01:00.0000000;Zeta;6.354979206E+17;149
2011-10-27T00:02:00.0000000;Sigma;634552705200000000;798
2014-10-25T00:01:00.0000000;Beta;6.354979206E+17;219
2014-02-13T00:01:00.0000000;Mu;6.352784646E+17;961
2015-07-22T00:02:00.0000000;Upsilon;6.357312012E+17;678
2015-12-10T00:01:00.0000000;Tau;635853024600000000;981
2015-06-12T00:01:00.0000000;Pi;635696640600000000;267
2015-04-29T00:02:00.0000000;Sigma;635658625200000000;341
2011-12-07T00:02:00.0000000;Omicron;6.345881292E+17;915
2015-04-24T00:02:00.0000000;Beta;6.356543052E+17;47
2010-03-28T00:02:00.0000000;Rho;6.34053E+017;887
2010-08-22T00:01:00.0000000;Upsilon;6.34180E+017;530
2016-11-14T00:02:00.0000000;Chi;636,146,785,200,000,000.00000000;11
2014-12-15T00:01:00.0000000;Chi;6.35542E+017;680
2012-08-17T00:01:00.0000000;Theta;6.348075846E+17;542
2013-01-08T00:01:00.0000000;Iota;6.34932E+017;921
2015-06-15T00:01:00.0000000;Mu;6.35699E+017;10
2011-05-09T00:01:00.0000000;Zeta;6.344049606E+17;791
2018-03-31T00:01:00.0000000;Psi;6.365805126E+17;838
2018-03-10T00:02:00.0000000;Epsilon;6.365623692E+17;784
2011-05-19T00:02:00.0000000;Delta;6.34414E+017;672
2011-06-15T00:01:00.0000000;Beta;6.344369286E+17;663
2016-07-10T00:01:00.0000000;Chi;636,037,056,600,000,000.00000000;615
2012-07-20T00:02:00.0000000;Sigma;634,783,393,200,000,000.00000000;817
2019-11-24T00:02:00.0000000;Chi;637101505200000000;219
2016-11-05T00:02:00.0000000;Mu;6.361390092E+17;217
2016-11-15T00:01:00.0000000;Phi;636,147,648,600,000,000.00000000;20
2018-03-22T00:02:00.0000000;Lambda;6.36573E+017;518
2011-01-19T00:01:00.0000000;Gamma;6.343099206E+17;488
2016-05-02T00:02:00.0000000;Gamma;635977441200000000;259
2014-08-14T00:01:00.0000000;Alpha;6.354357126E+17;228
2012-02-14T00:01:00.0000000;Eta;634647744600000000;905
2013-03-08T00:01:00.0000000;Sigma;6.349829766E+17;241
2013-11-29T00:01:00.0000000;Chi;6.35213E+017;399
2017-05-31T00:01:00.0000000;Alpha;636,317,856,600,000,000.00000000;925
2013-10-19T00:01:00.0000000;Iota;635,177,376,600,000,000.00000000;727
2014-04-07T00:03:00.0000000;Beta;6.353242578E+17;170
2017-09-17T00:03:00.0000000;Phi;636,412,033,800,000,000.00000000;660
2016-04-14T00:01:00.0000000;Psi;635961888600000000;247
2012-03-20T00:03:00.0000000;Upsilon;634677985800000000;282
2017-09-29T00:01:00.0000000;Eta;6.364224006E+17;296
2017-01-07T00:01:00.0000000;Lambda;636,193,440,600,000,000.00000000;95
2015-03-11T00:02:00.0000000;Nu;635616289200000000;697
