TM;Category;unknown;Quantity
2014-09-17T00:01:00.0000000;Zeta;6.354650886E+17;112
2013-08-02T00:01:00.0000000;Rho;635109984600000000;502
2011-05-09T00:02:00.0000000;Omicron;6.344049612E+17;517
2019-02-11T00:01:00.0000000;Epsilon;6.36854E+017;548
2015-07-13T00:01:00.0000000;Beta;635,723,424,600,000,000.00000000;187
2015-03-30T00:01:00.0000000;Xi;635632704600000000;76
2019-06-27T00:01:00.0000000;Nu;636971904600000000;106
2016-04-11T00:01:00.0000000;Omicron;635,959,296,600,000,000.00000000;280
2011-09-10T00:02:00.0000000;Eta;6.345120972E+17;401
2010-12-11T00:01:00.0000000;Iota;6.342762246E+17;72
2010-03-11T00:01:00.0000000;Omicron;6.34039E+017;384
2013-09-03T00:01:00.0000000;Delta;6.351376326E+17;704
2016-10-15T00:02:00.0000000;Omicron;6.36121E+017;949
2016-03-17T00:01:00.0000000;Rho;6.359376966E+17;252
2014-12-25T00:01:00.0000000;Omega;635,550,624,600,000,000.00000000;940
2017-05-23T00:01:00.0000000;Eta;6.363109446E+17;194
2019-03-07T00:01:00.0000000;Eta;6.368751366E+17;213
2010-08-07T00:01:00.0000000;Theta;6.341673606E+17;984
2010-09-16T00:01:00.0000000;Alpha;6.342019206E+17;315
2013-08-06T00:02:00.0000000;Sigma;635,113,441,200,000,000.00000000;274
2017-01-05T00:01:00.0000000;Omega;636191712600000000;481
2017-04-09T00:01:00.0000000;Gamma;636272928600000000;455
2017-06-07T00:01:00.0000000;Sigma;6.36324E+017;762
2014-12-29T00:01:00.0000000;Alpha;635554080600000000;398
2013-07-22T00:02:00.0000000;Alpha;635100481200000000;646
2018-02-06T00:02:00.0000000;Kappa;636534721200000000;677
2011-08-26T00:02:00.0000000;Theta;634499137200000000;349
2019-01-22T00:02:00.0000000;Xi;636837121200000000;737
2017-12-28T00:02:00.0000000;Theta;6.365001612E+17;374
2017-02-09T00:01:00.0000000;Mu;636221952600000000;343
2012-02-26T00:01:00.0000000;Alpha;634658112600000000;823
2018-06-23T00:01:00.0000000;Psi;6.36653E+017;685
2018-11-05T00:01:00.0000000;Alpha;636769728600000000;567
2010-07-02T00:02:00.0000000;Pi;6.341362572E+17;18
2013-11-24T00:01:00.0000000;Gamma;635,208,480,600,000,000.00000000;468
2013-11-26T00:01:00.0000000;Beta;635210208600000000;685
2016-01-23T00:01:00.0000000;Eta;6.358910406E+17;480
2014-08-05T00:02:00.0000000;Omega;635427937200000000;432
2011-06-17T00:02:00.0000000;Zeta;634438657200000000;821
