TM;Category;unknown;Quantity
2012-06-30T00:01:00.0000000;Chi;634766112600000000;273
2012-01-19T00:01:00.0000000;Rho;634625280600000000;922
2018-05-22T00:01:00.0000000;Theta;6.366254406E+17;155
2015-07-09T00:01:00.0000000;Omicron;6.357199686E+17;324
2012-07-19T00:01:00.0000000;Alpha;634782528600000000;12
2011-06-16T00:01:00.0000000;Tau;634437792600000000;415
2016-04-04T00:01:00.0000000;Zeta;6.359532486E+17;590
2011-05-18T00:01:00.0000000;Beta;634412736600000000;429
2011-07-27T00:01:00.0000000;Epsilon;634,473,216,600,000,000.00000000;701
2014-11-30T00:01:00.0000000;Pi;6.355290246E+17;592
2015-06-13T00:01:00.0000000;Xi;6.35698E+017;256
2017-01-25T00:02:00.0000000;Kappa;636,208,993,200,000,000.00000000;544
2019-12-03T00:02:00.0000000;Mu;6.371092812E+17;36
2011-11-07T00:01:00.0000000;Upsilon;6.345622086E+17;642
2010-05-20T00:01:00.0000000;Xi;634099104600000000;603
2013-03-22T00:01:00.0000000;Pi;6.34995E+017;883
2015-03-12T00:02:00.0000000;Gamma;635617153200000000;142
2013-06-18T00:01:00.0000000;Gamma;6.35071E+017;399
2019-12-31T00:02:00.0000000;Xi;637133473200000000;411
2018-10-29T00:01:00.0000000;Theta;6.367636806E+17;213
2011-01-16T00:01:00.0000000;Kappa;6.343073286E+17;635
2013-06-29T00:02:00.0000000;Nu;635,080,609,200,000,000.00000000;376
2019-07-04T00:02:00.0000000;Chi;636977953200000000;978
2017-01-31T00:01:00.0000000;Iota;6.36214E+017;900
2010-06-02T00:01:00.0000000;Pi;634110336600000000;101
2019-01-22T00:01:00.0000000;Eta;636837120600000000;723
2019-07-07T00:01:00.0000000;Beta;6.36981E+017;861
2016-04-27T00:02:00.0000000;Theta;635,973,121,200,000,000.00000000;545
2012-06-18T00:03:00.0000000;Chi;634755745800000000;473
2015-11-24T00:01:00.0000000;Xi;6.35839E+017;183
